ENSSCAP00000009362	ENSSCAG00000007145	Serinus_canaria
ENSLSDP00000018311	ENSLSDG00000013064	Lonchura_striata_domestica
ENSJHYP00000010665	ENSJHYG00000008371	Junco_hyemalis
ENSZALP00000019977	ENSZALG00000015766	Zonotrichia_albicollis
ENSPMJP00000026036	ENSPMJG00000019043	Parus_major
ENSCCEP00000006153	ENSCCEG00000006646	Cyanistes_caeruleus
ENSFALP00000006843	ENSFALG00000006561	Ficedula_albicollis
ENSCPGP00000010955	ENSCPGG00000007803	Calidris_pygmaea
ENSMUNP00000005626	ENSMUNG00000004600	Melopsittacus_undulatus
ENSNMEP00000017973	ENSNMEG00000015652	Numida_meleagris
ENSMGAP00000019781	ENSMGAG00000017075	Meleagris_gallopavo
ENSAPLP00000021231	ENSAPLG00000029865	Anas_platyrhynchos_platyrhynchos
ENSMVIP00005015115	ENSMVIG00005010881	Manacus_vitellinus
ENSLCOP00000015503	ENSLCOG00000011063	Lepidothrix_coronata
ENSTGUP00000005970	ENSTGUG00000005811	Taeniopygia_guttata
ENSABRP00000012716	ENSABRG00000011407	Anser_brachyrhynchus	ENSABRT00000018249
ENSCJPP00005013378	ENSCJPG00005011297	Coturnix_japonica
ENSCPUP00000000108	ENSCPUG00000000101	Calidris_pugnax
ENSARWP00000021222	ENSARWG00000014501	Apteryx_rowi
ENSAOWP00000021526	ENSAOWG00000014545	Apteryx_owenii
ENSAHAP00000001019	ENSAHAG00000000876	Apteryx_haastii
ENSDNVP00000012079	ENSDNVG00000008518	Dromaius_novaehollandiae
ENSNPEP00000001006	ENSNPEG00000000797	Nothoprocta_perdicaria
ENSCPRP00005022801	ENSCPRG00005015891	Crocodylus_porosus
ENSGAGP00000018391	ENSGAGG00000013615	Gopherus_agassizii
ENSCABP00000028278	ENSCABG00000020770	Chelonoidis_abingdonii
ENSCPBP00000028882	ENSCPBG00000020375	Chrysemys_picta_bellii
ENSPSIP00000001110	ENSPSIG00000001112	Pelodiscus_sinensis
ENSVURP00010010312	ENSVURG00010007973	Vombatus_ursinus
ENSMEUP00000014173	ENSMEUG00000015529	Notamacropus_eugenii
