ENSSLDP00000029863	ENSSLDG00000023033	Seriola_lalandi_dorsalis
ENSSDUP00000012233	ENSSDUG00000008909	Seriola_dumerili	ENSSDUT00000012453
ENSTRUP00000056825	ENSTRUG00000025621	Takifugu_rubripes
ENSAPEP00000020060	ENSAPEG00000014328	Amphiprion_percula
ENSHCOP00000019909	ENSHCOG00000005538	Hippocampus_comes
ENSPMGP00000004702	ENSPMGG00000003989	Periophthalmus_magnuspinnatus
ENSAMXP00000036252	ENSAMXG00000031854	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005054984	ENSAMXG00005024560	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000014977	ENSPNAG00000020961	Pygocentrus_nattereri
ENSEEEP00000029527	ENSEEEG00000014140	Electrophorus_electricus
ENSIPUP00000032456	ENSIPUG00000021810	Ictalurus_punctatus
ENSDARP00000130477	ENSDARG00000101619	Danio_rerio
ENSCHAP00000057542	ENSCHAG00000025983	Clupea_harengus
ENSPNYP00000018075	ENSPNYG00000013653	Pundamilia_nyererei
ENSELUP00000015673	ENSELUG00000015601	Esox_lucius
ENSLOCP00000009164	ENSLOCG00000007554	Lepisosteus_oculatus
ENSCSAVP00000004340	ENSCSAVG00000002569	Ciona_savignyi
ENSCINP00000034646	ENSCING00000022049	Ciona_intestinalis
F54A3.5.1	WBGene00018784	Caenorhabditis_elegans_strain_N2
