ENSCGRP00001004543	ENSCGRG00001005787	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015009931	ENSCGRG00015007658	Cricetulus_griseus_CriGri-PICR
ENSMOCP00000016810	ENSMOCG00000015606	Microtus_ochrogaster
ENSPEMP00000028941	ENSPEMG00000024783	Peromyscus_maniculatus_bairdii
ENSMSIP00000014382	ENSMSIG00000012415	Mus_spicilegus
MGP_SPRETEiJ_P0061279	MGP_SPRETEiJ_G0026218	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000141278	ENSMUSG00000103523	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0058920	MGP_CAROLIEiJ_G0025272	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0069876	MGP_PahariEiJ_G0026718	Mus_pahari_strain_PAHARI_EIJ
ENSMUGP00000027940	ENSMUGG00000023229	Meriones_unguiculatus
ENSCCNP00000008789	ENSCCNG00000009290	Castor_canadensis
ENSCLAP00000003565	ENSCLAG00000002543	Chinchilla_lanigera
ENSSDAP00000002261	ENSSDAG00000002183	Spermophilus_dauricus
ENSMMMP00000020654	ENSMMMG00000018216	Marmota_marmota_marmota
ENSUPAP00010020972	ENSUPAG00010016647	Urocitellus_parryii
ENSPTEP00000026842	ENSPTEG00000026819	Piliocolobus_tephrosceles
ENSTGEP00000022461	ENSTGEG00000018182	Theropithecus_gelada
ENSP00000497579	ENSG00000285946	Homo_sapiens
ENSCJAP00000077137	ENSCJAG00000052117	Callithrix_jacchus
ENSPSMP00000000419	ENSPSMG00000000352	Prolemur_simus
ENSCAFP00000035891	ENSCAFG00000030327	Canis_lupus_familiaris
ENSCAFP00020011658	ENSCAFG00020009396	Canis_lupus_dingo
ENSVVUP00000021418	ENSVVUG00000015738	Vulpes_vulpes
ENSNVIP00000009413	ENSNVIG00000007444	Neovison_vison
ENSFCAP00000060169	ENSFCAG00000053780	Felis_catus
ENSEASP00005006995	ENSEASG00005005156	Equus_asinus_asinus
ENSECAP00000027836	ENSECAG00000036893	Equus_caballus
