ENSCJPP00005018984	ENSCJPG00005015435	Coturnix_japonica
ENSMGAP00000010522	ENSMGAG00000010144	Meleagris_gallopavo
ENSGALP00000015930	ENSGALG00000009805	Gallus_gallus
ENSNMEP00000013439	ENSNMEG00000012256	Numida_meleagris
ENSABRP00000008271	ENSABRG00000007468	Anser_brachyrhynchus
ENSAPLP00000026477	ENSAPLG00000014950	Anas_platyrhynchos_platyrhynchos
ENSPMJP00000016658	ENSPMJG00000012553	Parus_major
ENSCCEP00000009717	ENSCCEG00000009802	Cyanistes_caeruleus
ENSFALP00000010273	ENSFALG00000009841	Ficedula_albicollis
ENSSCAP00000000673	ENSSCAG00000000542	Serinus_canaria
ENSLSDP00000022798	ENSLSDG00000016092	Lonchura_striata_domestica
ENSTGUP00000006529	ENSTGUG00000006354	Taeniopygia_guttata
ENSZALP00000011561	ENSZALG00000009748	Zonotrichia_albicollis
ENSJHYP00000000974	ENSJHYG00000000870	Junco_hyemalis
ENSLCOP00000021635	ENSLCOG00000015299	Lepidothrix_coronata
ENSMVIP00005006790	ENSMVIG00005005122	Manacus_vitellinus
ENSCPGP00000011761	ENSCPGG00000008393	Calidris_pygmaea
ENSCPUP00000006661	ENSCPUG00000004816	Calidris_pugnax
ENSMUNP00000000250	ENSMUNG00000000277	Melopsittacus_undulatus
ENSAHAP00000013650	ENSAHAG00000009657	Apteryx_haastii
ENSARWP00000006150	ENSARWG00000004374	Apteryx_rowi
ENSAOWP00000008660	ENSAOWG00000005894	Apteryx_owenii
ENSDNVP00000011792	ENSDNVG00000008311	Dromaius_novaehollandiae
ENSNPEP00000014176	ENSNPEG00000010604	Nothoprocta_perdicaria
ENSCPRP00005010912	ENSCPRG00005007789	Crocodylus_porosus
ENSCABP00000012177	ENSCABG00000009121	Chelonoidis_abingdonii
ENSGAGP00000027497	ENSGAGG00000019983	Gopherus_agassizii
ENSCPBP00000000924	ENSCPBG00000000753	Chrysemys_picta_bellii
ENSPSIP00000011141	ENSPSIG00000010054	Pelodiscus_sinensis
ENSPVIP00000015880	ENSPVIG00000012261	Pogona_vitticeps
