ENSPCOP00000030846	ENSPCOG00000028171	Propithecus_coquereli	ENSPCOT00000041798
ENSPSMP00000005535	ENSPSMG00000004219	Prolemur_simus	ENSPSMT00000006591
ENSMICP00000047275	ENSMICG00000042461	Microcebus_murinus	ENSMICT00000066583
ENSPTEP00000035906	ENSPTEG00000033822	Piliocolobus_tephrosceles	ENSPTET00000048809
ENSCANP00000037187	ENSCANG00000042272	Colobus_angolensis_palliatus
ENSRBIP00000038379	ENSRBIG00000042711	Rhinopithecus_bieti
ENSTGEP00000018162	ENSTGEG00000014669	Theropithecus_gelada
ENSGGOP00000045870	ENSGGOG00000023489	Gorilla_gorilla
ENSP00000316012	ENSG00000178287	Homo_sapiens
ENSPPYP00000020544	ENSPPYG00000018336	Pongo_abelii
ENSP00000381480	ENSG00000164871	Homo_sapiens	ENST00000398462
ENSNLEP00000000489	ENSNLEG00000000419	Nomascus_leucogenys	ENSNLET00000000523
ENSCJAP00000067365	ENSCJAG00000003899	Callithrix_jacchus
ENSBMUP00000011185	ENSBMUG00000008629	Bos_mutus
ENSOARP00000004362	ENSOARG00000004082	Ovis_aries
ENSSSCP00000019762	ENSSSCG00000020934	Sus_scrofa_strain_reference
ENSPVAP00000012201	ENSPVAG00000012939	Pteropus_vampyrus
ENSMLUP00000021475	ENSMLUG00000000706	Myotis_lucifugus
ENSCCAP00000000569	ENSCCAG00000003425	Cebus_capucinus_imitator
ENSTSYP00000017135	ENSTSYG00000036233	Carlito_syrichta
ENSCCNP00000001837	ENSCCNG00000002041	Castor_canadensis
ENSDORP00000008938	ENSDORG00000009515	Dipodomys_ordii
ENSODEP00000003018	ENSODEG00000002316	Octodon_degus
ENSCLAP00000024546	ENSCLAG00000016856	Chinchilla_lanigera
ENSCPOP00000029215	ENSCPOG00000039861	Cavia_porcellus
ENSSDAP00000010160	ENSSDAG00000009261	Spermophilus_dauricus
ENSMMMP00000026851	ENSMMMG00000023493	Marmota_marmota_marmota
ENSSTOP00000017066	ENSSTOG00000021681	Ictidomys_tridecemlineatus
ENSCGRP00000021630	ENSCGRG00000015697	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001007748	ENSCGRG00001010132	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000011469	ENSMAUG00000012053	Mesocricetus_auratus
ENSMOCP00000005283	ENSMOCG00000004756	Microtus_ochrogaster
ENSPEMP00000010960	ENSPEMG00000011769	Peromyscus_maniculatus_bairdii
ENSMUSP00000055391	ENSMUSG00000079842	Mus_musculus_strain_reference_(CL57BL6)
ENSMUSP00000148411	ENSMUSG00000110641	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0087361	MGP_SPRETEiJ_G0031984	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000035654	ENSMSIG00000029666	Mus_spicilegus
MGP_CAROLIEiJ_P0083913	MGP_CAROLIEiJ_G0030875	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0046796	MGP_PahariEiJ_G0021340	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000018741	ENSRNOG00000013957	Rattus_norvegicus
ENSMUGP00000003061	ENSMUGG00000002878	Meriones_unguiculatus
ENSOCUP00000026072	ENSOCUG00000029027	Oryctolagus_cuniculus
ENSBIXP00005013585	ENSBIXG00005017697	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000030099	ENSBIXG00000011910	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000051941	ENSBTAG00000049568	Bos_taurus
ENSBBBP00000025926	ENSBBBG00000021432	Bison_bison_bison
ENSCHIP00000015050	ENSCHIG00000015837	Capra_hircus
ENSUAMP00000012574	ENSUAMG00000010177	Ursus_americanus
ENSUMAP00000034603	ENSUMAG00000024909	Ursus_maritimus
ENSAMEP00000013387	ENSAMEG00000012723	Ailuropoda_melanoleuca
ENSNVIP00000011263	ENSNVIG00000008939	Neovison_vison
ENSCAFP00020015599	ENSCAFG00020012538	Canis_lupus_dingo
ENSCAFP00000034214	ENSCAFG00000024886	Canis_lupus_familiaris
ENSVVUP00000041665	ENSVVUG00000029650	Vulpes_vulpes
ENSPTIP00000009752	ENSPTIG00000010741	Panthera_tigris_altaica
ENSPPRP00000018038	ENSPPRG00000009819	Panthera_pardus
ENSFCAP00000041426	ENSFCAG00000046761	Felis_catus
ENSEASP00005032707	ENSEASG00005022341	Equus_asinus_asinus
ENSECAP00000042003	ENSECAG00000034053	Equus_caballus
ENSGGOP00000015964	ENSGGOG00000016364	Gorilla_gorilla
ENSPTRP00000034197	ENSPTRG00000019963	Pan_troglodytes
ENSMNEP00000009617	ENSMNEG00000029228	Macaca_nemestrina
ENSMMUP00000064069	ENSMMUG00000007467	Macaca_mulatta
