ENSPPRP00000026446	ENSPPRG00000017175	Panthera_pardus
ENSPTIP00000024990	ENSPTIG00000020915	Panthera_tigris_altaica
ENSFCAP00000034526	ENSFCAG00000034076	Felis_catus
ENSBIXP00000021967	ENSBIXG00000024953	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005019855	ENSBIXG00005023046	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000066046	ENSBTAG00000048934	Bos_taurus
ENSBMUP00000018849	ENSBMUG00000014296	Bos_mutus
ENSBBBP00000015718	ENSBBBG00000006132	Bison_bison_bison
ENSCHIP00000013153	ENSCHIG00000014679	Capra_hircus
ENSSSCP00000032568	ENSSSCG00000032358	Sus_scrofa_strain_reference
ENSPSMP00000025064	ENSPSMG00000017637	Prolemur_simus
ENSPCOP00000009504	ENSPCOG00000016126	Propithecus_coquereli
ENSCCNP00000025526	ENSCCNG00000024886	Castor_canadensis
