ENSNGAP00000001352	ENSNGAG00000001010	Nannospalax_galili
ENSECRP00000024923	ENSECRG00000016878	Erpetoichthys_calabaricus
ENSPTRP00000010434	ENSPTRG00000006153	Pan_troglodytes
ENSDCDP00000003289	ENSDCDG00000001699	Denticeps_clupeoides
ENSPKIP00000020326	ENSPKIG00000005146	Paramormyrops_kingsleyae
ENSTTRP00000001418	ENSTTRG00000001502	Tursiops_truncatus
ENSIPUP00000027893	ENSIPUG00000018895	Ictalurus_punctatus
ENSOCUP00000011267	ENSOCUG00000013088	Oryctolagus_cuniculus
ENSATEP00000028136	ENSATEG00000019439	Anabas_testudineus
ENSCCNP00000025789	ENSCCNG00000025117	Castor_canadensis
ENSSHAP00000015385	ENSSHAG00000013113	Sarcophilus_harrisii
ENSRROP00000016724	ENSRROG00000032488	Rhinopithecus_roxellana
ENSLCAP00010017599	ENSLCAG00010008361	Lates_calcarifer
ENSMMMP00000015400	ENSMMMG00000013733	Marmota_marmota_marmota
ENSACIP00000027283	ENSACIG00000021115	Amphilophus_citrinellus
ENSELUP00000035512	ENSELUG00000014514	Esox_lucius
ENSHGLP00100008921	ENSHGLG00100006637	Heterocephalus_glaber_HetGla_1.0
ENSPVAP00000013004	ENSPVAG00000013790	Pteropus_vampyrus
ENSNVIP00000027159	ENSNVIG00000020969	Neovison_vison
ENSBMUP00000024447	ENSBMUG00000018324	Bos_mutus
ENSCJAP00000015457	ENSCJAG00000008389	Callithrix_jacchus
ENSCSAVP00000005187	ENSCSAVG00000003091	Ciona_savignyi
ENSGWIP00000006857	ENSGWIG00000004013	Gouania_willdenowi
ENSOANP00000017001	ENSOANG00000010721	Ornithorhynchus_anatinus
ENSCHOP00000007462	ENSCHOG00000008438	Choloepus_hoffmanni
ENSOPRP00000001044	ENSOPRG00000001137	Ochotona_princeps
ENSCHIP00000020691	ENSCHIG00000019264	Capra_hircus
ENSCGOP00000016414	ENSCGOG00000007880	Cottoperca_gobio
ENSCSAP00000012199	ENSCSAG00000016126	Chlorocebus_sabaeus
ENSPREP00000002824	ENSPREG00000002010	Poecilia_reticulata
ENSPLAP00000004388	ENSPLAG00000006064	Poecilia_latipinna
ENSMLEP00000020914	ENSMLEG00000034663	Mandrillus_leucophaeus
ENSEEEP00000016119	ENSEEEG00000007976	Electrophorus_electricus
ENSSMAP00000022382	ENSSMAG00000013696	Scophthalmus_maximus
ENSUPAP00010013988	ENSUPAG00010011240	Urocitellus_parryii
ENSGAFP00000003013	ENSGAFG00000002027	Gambusia_affinis
ENSTGEP00000020130	ENSTGEG00000016192	Theropithecus_gelada
ENSMFAP00000012572	ENSMFAG00000025106	Macaca_fascicularis
ENSHCOP00000008219	ENSHCOG00000010489	Hippocampus_comes
ENSGAGP00000005933	ENSGAGG00000004823	Gopherus_agassizii
ENSAPLP00000017577	ENSAPLG00000019999	Anas_platyrhynchos_platyrhynchos
ENSFHEP00000021020	ENSFHEG00000022986	Fundulus_heteroclitus
ENSEBUP00000009417	ENSEBUG00000006068	Eptatretus_burgeri	ENSEBUT00000009939
ENSNLEP00000018096	ENSNLEG00000014853	Nomascus_leucogenys
ENSPFOP00000007072	ENSPFOG00000007084	Poecilia_formosa
ENSTRUP00000027913	ENSTRUG00000011057	Takifugu_rubripes
ENSSPAP00000010454	ENSSPAG00000007961	Stegastes_partitus
ENSSSCP00000044059	ENSSSCG00000033178	Sus_scrofa_strain_reference
ENSMNEP00000033584	ENSMNEG00000040020	Macaca_nemestrina
ENSGWIP00000046137	ENSGWIG00000022810	Gouania_willdenowi
ENSPANP00000018016	ENSPANG00000015306	Papio_anubis
ENSCSEP00000021433	ENSCSEG00000013680	Cynoglossus_semilaevis
ENSTGEP00000023446	ENSTGEG00000018939	Theropithecus_gelada
ENSAMXP00000035798	ENSAMXG00000007907	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSHBUP00000007602	ENSHBUG00000009106	Haplochromis_burtoni
ENSAPEP00000024154	ENSAPEG00000017183	Amphiprion_percula
ENSPTEP00000018269	ENSPTEG00000019714	Piliocolobus_tephrosceles
ENSMMUP00000043475	ENSMMUG00000002668	Macaca_mulatta
ENSDNOP00000026588	ENSDNOG00000048998	Dasypus_novemcinctus
ENSCANP00000029327	ENSCANG00000038243	Colobus_angolensis_palliatus
ENSLAFP00000010831	ENSLAFG00000012956	Loxodonta_africana
ENSPRNP00000030485	ENSPRNG00000015203	Parambassis_ranga
ENSPPRP00000017541	ENSPPRG00000009505	Panthera_pardus
ENSTNIP00000007787	ENSTNIG00000005119	Tetraodon_nigroviridis
ENSCJAP00000052915	ENSCJAG00000041362	Callithrix_jacchus
ENSCLAP00000019019	ENSCLAG00000013026	Chinchilla_lanigera
ENSAOCP00000022453	ENSAOCG00000007924	Amphiprion_ocellaris
ENSMAMP00000006744	ENSMAMG00000004594	Mastacembelus_armatus
ENSANAP00000040101	ENSANAG00000037413	Aotus_nancymaae
ENSORLP00020028872	ENSORLG00020012585	Oryzias_latipes_ASM223471v1
ENSPCIP00000037712	ENSPCIG00000027771	Phascolarctos_cinereus
ENSSARP00000009950	ENSSARG00000011027	Sorex_araneus	ENSSART00000011026
ENSNSUP00000020368	ENSNSUG00000014845	Notechis_scutatus
ENSVURP00010026882	ENSVURG00010020603	Vombatus_ursinus
ENSONIP00000023131	ENSONIG00000018372	Oreochromis_niloticus
