ENSMMUP00000074113	ENSMMUG00000056054	Macaca_mulatta
ENSMFAP00000034035	ENSMFAG00000003520	Macaca_fascicularis
ENSMNEP00000016379	ENSMNEG00000032222	Macaca_nemestrina
ENSMLEP00000036843	ENSMLEG00000042521	Mandrillus_leucophaeus
ENSCATP00000021426	ENSCATG00000034435	Cercocebus_atys
ENSTGEP00000019355	ENSTGEG00000015576	Theropithecus_gelada
ENSPANP00000001592	ENSPANG00000008469	Papio_anubis
ENSCSAP00000003000	ENSCSAG00000006712	Chlorocebus_sabaeus
ENSPTEP00000012786	ENSPTEG00000014364	Piliocolobus_tephrosceles	ENSPTET00000019237
ENSCANP00000005120	ENSCANG00000017654	Colobus_angolensis_palliatus
ENSRROP00000030334	ENSRROG00000038933	Rhinopithecus_roxellana
ENSRBIP00000024662	ENSRBIG00000036228	Rhinopithecus_bieti
ENSPPAP00000017190	ENSPPAG00000031673	Pan_paniscus
ENSPTRP00000006505	ENSPTRG00000003785	Pan_troglodytes
ENSP00000378286	ENSG00000185670	Homo_sapiens
ENSGGOP00000011444	ENSGGOG00000011735	Gorilla_gorilla
ENSPPYP00000003637	ENSPPYG00000003148	Pongo_abelii
ENSNLEP00000027920	ENSNLEG00000031633	Nomascus_leucogenys
ENSCCAP00000008488	ENSCCAG00000021977	Cebus_capucinus_imitator
ENSCJAP00000034729	ENSCJAG00000018693	Callithrix_jacchus
ENSSBOP00000031542	ENSSBOG00000032000	Saimiri_boliviensis_boliviensis
ENSANAP00000017685	ENSANAG00000026704	Aotus_nancymaae
ENSTSYP00000029304	ENSTSYG00000031557	Carlito_syrichta
ENSPSMP00000033321	ENSPSMG00000022991	Prolemur_simus
ENSMICP00000009066	ENSMICG00000009961	Microcebus_murinus
ENSPCOP00000017663	ENSPCOG00000020656	Propithecus_coquereli
ENSOGAP00000010222	ENSOGAG00000011414	Otolemur_garnettii
ENSMUSP00000127746	ENSMUSG00000071661	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0050010	MGP_SPRETEiJ_G0023567	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000037467	ENSMSIG00000031218	Mus_spicilegus
MGP_CAROLIEiJ_P0048039	MGP_CAROLIEiJ_G0022654	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0021043	MGP_PahariEiJ_G0014149	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000026320	ENSRNOG00000019461	Rattus_norvegicus
ENSMUGP00000002384	ENSMUGG00000002238	Meriones_unguiculatus
ENSCGRP00001005206	ENSCGRG00001006797	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000007452	ENSCGRG00000005423	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015006280	ENSCGRG00015004871	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000012856	ENSMAUG00000013055	Mesocricetus_auratus
ENSPEMP00000020759	ENSPEMG00000018613	Peromyscus_maniculatus_bairdii
ENSMOCP00000003706	ENSMOCG00000002963	Microtus_ochrogaster
ENSNGAP00000003543	ENSNGAG00000004122	Nannospalax_galili
ENSJJAP00000024908	ENSJJAG00000024243	Jaculus_jaculus
ENSCCNP00000000028	ENSCCNG00000000029	Castor_canadensis
ENSDORP00000018078	ENSDORG00000015697	Dipodomys_ordii
ENSSTOP00000017057	ENSSTOG00000027839	Ictidomys_tridecemlineatus
ENSMMMP00000003671	ENSMMMG00000003369	Marmota_marmota_marmota
ENSSDAP00000006895	ENSSDAG00000006372	Spermophilus_dauricus
ENSUPAP00010006527	ENSUPAG00010005239	Urocitellus_parryii
ENSOCUP00000007701	ENSOCUG00000008921	Oryctolagus_cuniculus
ENSPVAP00000003287	ENSPVAG00000003477	Pteropus_vampyrus
ENSMLUP00000010030	ENSMLUG00000011020	Myotis_lucifugus
ENSBMUP00000031407	ENSBMUG00000023437	Bos_mutus
ENSBTAP00000051139	ENSBTAG00000021329	Bos_taurus
ENSBBBP00000024575	ENSBBBG00000019531	Bison_bison_bison
ENSOARP00000018182	ENSOARG00000016929	Ovis_aries
ENSCHIP00000003848	ENSCHIG00000008054	Capra_hircus
ENSTTRP00000002321	ENSTTRG00000002477	Tursiops_truncatus
ENSSSCP00000031871	ENSSSCG00000037745	Sus_scrofa_strain_reference
ENSSARP00000007922	ENSSARG00000008770	Sorex_araneus
ENSUAMP00000034084	ENSUAMG00000025969	Ursus_americanus
ENSUMAP00000019852	ENSUMAG00000014533	Ursus_maritimus
ENSAMEP00000006754	ENSAMEG00000006419	Ailuropoda_melanoleuca
ENSNVIP00000026790	ENSNVIG00000020739	Neovison_vison
ENSMPUP00000013591	ENSMPUG00000013694	Mustela_putorius_furo
ENSCAFP00000023004	ENSCAFG00000015650	Canis_lupus_familiaris
ENSCAFP00020016365	ENSCAFG00020013133	Canis_lupus_dingo
ENSPPRP00000012333	ENSPPRG00000005891	Panthera_pardus
ENSPTIP00000018728	ENSPTIG00000016774	Panthera_tigris_altaica
ENSFCAP00000051197	ENSFCAG00000044175	Felis_catus
ENSECAP00000032349	ENSECAG00000021457	Equus_caballus
ENSEASP00005016395	ENSEASG00005011353	Equus_asinus_asinus
ENSDNOP00000026971	ENSDNOG00000043011	Dasypus_novemcinctus
ENSDNOP00000005069	ENSDNOG00000006546	Dasypus_novemcinctus
ENSCHOP00000011364	ENSCHOG00000012845	Choloepus_hoffmanni
ENSCPOP00000010491	ENSCPOG00000011665	Cavia_porcellus
ENSCLAP00000001121	ENSCLAG00000000861	Chinchilla_lanigera
ENSHGLP00000006162	ENSHGLG00000004500	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100022750	ENSHGLG00100016727	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000001233	ENSFDAG00000011267	Fukomys_damarensis
ENSPCAP00000009188	ENSPCAG00000009873	Procavia_capensis
ENSETEP00000009180	ENSETEG00000011323	Echinops_telfairi
ENSPCIP00000020003	ENSPCIG00000015249	Phascolarctos_cinereus	ENSPCIT00000024687
ENSMEUP00000014297	ENSMEUG00000015659	Notamacropus_eugenii	ENSMEUT00000015703
ENSMODP00000009896	ENSMODG00000007952	Monodelphis_domestica	ENSMODT00000010088
ENSOANP00000002096	ENSOANG00000001309	Ornithorhynchus_anatinus
ENSLSDP00000008004	ENSLSDG00000005995	Lonchura_striata_domestica
ENSCCEP00000004838	ENSCCEG00000005326	Cyanistes_caeruleus
ENSABRP00000021568	ENSABRG00000018293	Anser_brachyrhynchus
ENSAPLP00000020730	ENSAPLG00000028411	Anas_platyrhynchos_platyrhynchos
ENSPVIP00000026494	ENSPVIG00000019784	Pogona_vitticeps
ENSNSUP00000002216	ENSNSUG00000001869	Notechis_scutatus
ENSSMRP00000014317	ENSSMRG00000011146	Salvator_merianae
ENSSPUP00000011199	ENSSPUG00000008600	Sphenodon_punctatus
ENSCABP00000029873	ENSCABG00000021916	Chelonoidis_abingdonii
ENSGAGP00000022942	ENSGAGG00000016829	Gopherus_agassizii
ENSCPBP00000025242	ENSCPBG00000017969	Chrysemys_picta_bellii
ENSPSIP00000001779	ENSPSIG00000001786	Pelodiscus_sinensis
ENSXETP00000036918	ENSXETG00000013190	Xenopus_tropicalis
ENSLACP00000007766	ENSLACG00000006879	Latimeria_chalumnae
ENSPNAP00000031664	ENSPNAG00000019119	Pygocentrus_nattereri
ENSIPUP00000026684	ENSIPUG00000018082	Ictalurus_punctatus
ENSEEEP00000035550	ENSEEEG00000016935	Electrophorus_electricus
ENSAMXP00000038526	ENSAMXG00000044033	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005006427	ENSAMXG00005003832	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSDARP00000140629	ENSDARG00000036235	Danio_rerio
ENSDCDP00000038637	ENSDCDG00000025893	Denticeps_clupeoides
ENSHHUP00000090228	ENSHHUG00000052101	Hucho_hucho
ENSHHUP00000072043	ENSHHUG00000042310	Hucho_hucho
ENSELUP00000030228	ENSELUG00000007359	Esox_lucius
ENSGACP00000022367	ENSGACG00000016930	Gasterosteus_aculeatus
ENSGWIP00000014611	ENSGWIG00000008232	Gouania_willdenowi
ENSHBUP00000028790	ENSHBUG00000012788	Haplochromis_burtoni
ENSACLP00000024895	ENSACLG00000016934	Astatotilapia_calliptera
ENSMZEP00005006147	ENSMZEG00005004788	Maylandia_zebra
ENSPNYP00000019565	ENSPNYG00000014790	Pundamilia_nyererei
ENSNBRP00000001842	ENSNBRG00000001498	Neolamprologus_brichardi
ENSONIP00000006710	ENSONIG00000005336	Oreochromis_niloticus
ENSACIP00000028953	ENSACIG00000022425	Amphilophus_citrinellus
ENSMAMP00000032134	ENSMAMG00000021614	Mastacembelus_armatus
ENSTRUP00000049311	ENSTRUG00000022321	Takifugu_rubripes
ENSTNIP00000005969	ENSTNIG00000003382	Tetraodon_nigroviridis
ENSCSEP00000009097	ENSCSEG00000005836	Cynoglossus_semilaevis
ENSATEP00000020628	ENSATEG00000014387	Anabas_testudineus
ENSBSLP00000044257	ENSBSLG00000021055	Betta_splendens
ENSMALP00000017456	ENSMALG00000012184	Monopterus_albus
