ENSAHAP00000009931	ENSAHAG00000007196	Apteryx_haastii	ENSAHAT00000011011
ENSARWP00000012591	ENSARWG00000008709	Apteryx_rowi	ENSARWT00000014363
ENSAOWP00000006345	ENSAOWG00000004365	Apteryx_owenii	ENSAOWT00000007181
ENSDNVP00000016539	ENSDNVG00000011592	Dromaius_novaehollandiae	ENSDNVT00000019862
ENSCPRP00005018169	ENSCPRG00005012670	Crocodylus_porosus
ENSPSIP00000007660	ENSPSIG00000006971	Pelodiscus_sinensis
ENSCPBP00000013290	ENSCPBG00000009961	Chrysemys_picta_bellii
ENSCLAP00000022370	ENSCLAG00000015345	Chinchilla_lanigera
ENSCPOP00000032954	ENSCPOG00000039097	Cavia_porcellus
ENSHGLP00000002522	ENSHGLG00000001902	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100010123	ENSHGLG00100007523	Heterocephalus_glaber_HetGla_1.0
ENSCCNP00000020162	ENSCCNG00000020178	Castor_canadensis
ENSSTOP00000010863	ENSSTOG00000012112	Ictidomys_tridecemlineatus
ENSSDAP00000027183	ENSSDAG00000024624	Spermophilus_dauricus
ENSMMMP00000015509	ENSMMMG00000013833	Marmota_marmota_marmota
ENSMUSP00000032240	ENSMUSG00000030144	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000018978	ENSMSIG00000016161	Mus_spicilegus
MGP_SPRETEiJ_P0079121	MGP_SPRETEiJ_G0029872	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0075933	MGP_CAROLIEiJ_G0028837	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0052231	MGP_PahariEiJ_G0022592	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000013536	ENSRNOG00000010181	Rattus_norvegicus
ENSMUGP00000032641	ENSMUGG00000027114	Meriones_unguiculatus
ENSCGRP00000005009	ENSCGRG00000003667	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001015261	ENSCGRG00001015907	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015015457	ENSCGRG00015011859	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000003980	ENSMAUG00000004749	Mesocricetus_auratus
ENSMOCP00000010190	ENSMOCG00000010391	Microtus_ochrogaster
ENSPEMP00000025340	ENSPEMG00000021801	Peromyscus_maniculatus_bairdii
ENSNGAP00000003245	ENSNGAG00000003581	Nannospalax_galili
ENSJJAP00000000354	ENSJJAG00000000318	Jaculus_jaculus
ENSOCUP00000010596	ENSOCUG00000012312	Oryctolagus_cuniculus
ENSTBEP00000003809	ENSTBEG00000004427	Tupaia_belangeri
ENSPCOP00000022614	ENSPCOG00000023414	Propithecus_coquereli
ENSPSMP00000010002	ENSPSMG00000007300	Prolemur_simus
ENSMICP00000019441	ENSMICG00000028843	Microcebus_murinus
ENSOGAP00000008293	ENSOGAG00000009259	Otolemur_garnettii
ENSPPAP00000030087	ENSPPAG00000038051	Pan_paniscus
ENSPTRP00000007917	ENSPTRG00000004638	Pan_troglodytes
ENSP00000299665	ENSG00000166527	Homo_sapiens
ENSGGOP00000007722	ENSGGOG00000007892	Gorilla_gorilla
ENSNLEP00000002255	ENSNLEG00000001828	Nomascus_leucogenys
ENSCATP00000019385	ENSCATG00000033491	Cercocebus_atys
ENSCSAP00000005950	ENSCSAG00000009705	Chlorocebus_sabaeus
ENSMFAP00000041419	ENSMFAG00000041454	Macaca_fascicularis
ENSMMUP00000018021	ENSMMUG00000013703	Macaca_mulatta
ENSMNEP00000024727	ENSMNEG00000035899	Macaca_nemestrina
ENSTGEP00000007236	ENSTGEG00000005925	Theropithecus_gelada
ENSPANP00000002774	ENSPANG00000006039	Papio_anubis
ENSMLEP00000016023	ENSMLEG00000032215	Mandrillus_leucophaeus
ENSPTEP00000011538	ENSPTEG00000013001	Piliocolobus_tephrosceles
ENSCANP00000024772	ENSCANG00000035800	Colobus_angolensis_palliatus
ENSRROP00000040733	ENSRROG00000043601	Rhinopithecus_roxellana
ENSRBIP00000010216	ENSRBIG00000028964	Rhinopithecus_bieti
ENSSBOP00000040201	ENSSBOG00000036094	Saimiri_boliviensis_boliviensis
ENSCCAP00000025775	ENSCCAG00000030690	Cebus_capucinus_imitator
ENSCJAP00000035124	ENSCJAG00000018913	Callithrix_jacchus
ENSANAP00000038384	ENSANAG00000036634	Aotus_nancymaae
ENSUAMP00000000796	ENSUAMG00000000771	Ursus_americanus
ENSUMAP00000003774	ENSUMAG00000003097	Ursus_maritimus
ENSAMEP00000014098	ENSAMEG00000013378	Ailuropoda_melanoleuca
ENSMPUP00000016640	ENSMPUG00000016744	Mustela_putorius_furo
ENSNVIP00000012944	ENSNVIG00000010252	Neovison_vison
ENSCAFP00020004182	ENSCAFG00020003458	Canis_lupus_dingo
ENSCAFP00000046211	ENSCAFG00000025324	Canis_lupus_familiaris
ENSVVUP00000014501	ENSVVUG00000010603	Vulpes_vulpes
ENSPTIP00000007756	ENSPTIG00000009303	Panthera_tigris_altaica
ENSPPRP00000005544	ENSPPRG00000001276	Panthera_pardus
ENSFCAP00000006567	ENSFCAG00000007076	Felis_catus
ENSECAP00000007844	ENSECAG00000009973	Equus_caballus
ENSEASP00005023487	ENSEASG00005015987	Equus_asinus_asinus
ENSOARP00000002780	ENSOARG00000002619	Ovis_aries
ENSCHIP00000008250	ENSCHIG00000011494	Capra_hircus
ENSBIXP00000032495	ENSBIXG00000015121	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005008978	ENSBIXG00005013972	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000052843	ENSBTAG00000039347	Bos_taurus
ENSBMUP00000019597	ENSBMUG00000014794	Bos_mutus
ENSBBBP00000007468	ENSBBBG00000015538	Bison_bison_bison
ENSTTRP00000013514	ENSTTRG00000014263	Tursiops_truncatus
ENSSSCP00000032368	ENSSSCG00000037528	Sus_scrofa_strain_reference
ENSSSCP00000049164	ENSSSCG00000031242	Sus_scrofa_strain_reference
ENSVPAP00000009877	ENSVPAG00000010611	Vicugna_pacos
ENSPVAP00000001603	ENSPVAG00000001698	Pteropus_vampyrus
ENSMLUP00000022016	ENSMLUG00000027823	Myotis_lucifugus
ENSEEUP00000012609	ENSEEUG00000013851	Erinaceus_europaeus
ENSLAFP00000000818	ENSLAFG00000000977	Loxodonta_africana
ENSPCAP00000003276	ENSPCAG00000003520	Procavia_capensis
ENSETEP00000006598	ENSETEG00000008115	Echinops_telfairi
ENSCHOP00000007363	ENSCHOG00000008328	Choloepus_hoffmanni
ENSDNOP00000022512	ENSDNOG00000047598	Dasypus_novemcinctus
