ENSEEUP00000010466	ENSEEUG00000011471	Erinaceus_europaeus
ENSVPAP00000009924	ENSVPAG00000010660	Vicugna_pacos
ENSPCAP00000014570	ENSPCAG00000015612	Procavia_capensis
ENSLAFP00000017134	ENSLAFG00000022307	Loxodonta_africana
ENSETEP00000006800	ENSETEG00000008370	Echinops_telfairi
ENSTBEP00000003469	ENSTBEG00000004013	Tupaia_belangeri
ENSMEUP00000003273	ENSMEUG00000003585	Notamacropus_eugenii
ENSGAGP00000013376	ENSGAGG00000010236	Gopherus_agassizii
ENSGAGP00000003422	ENSGAGG00000002767	Gopherus_agassizii
ENSCABP00000019189	ENSCABG00000014184	Chelonoidis_abingdonii
ENSCPBP00000022018	ENSCPBG00000015771	Chrysemys_picta_bellii
ENSCABP00000019195	ENSCABG00000014186	Chelonoidis_abingdonii
ENSPSIP00000008559	ENSPSIG00000007735	Pelodiscus_sinensis
ENSCPGP00000011593	ENSCPGG00000008233	Calidris_pygmaea
ENSCPUP00000029818	ENSCPUG00000019967	Calidris_pugnax
ENSMUNP00000016886	ENSMUNG00000012988	Melopsittacus_undulatus
ENSLCOP00000001248	ENSLCOG00000001042	Lepidothrix_coronata
ENSMVIP00005020706	ENSMVIG00005014600	Manacus_vitellinus
ENSJHYP00000013936	ENSJHYG00000010795	Junco_hyemalis
ENSZALP00000006739	ENSZALG00000006099	Zonotrichia_albicollis
ENSSCAP00000002370	ENSSCAG00000002079	Serinus_canaria
ENSPMJP00000013996	ENSPMJG00000010621	Parus_major
ENSCCEP00000024545	ENSCCEG00000021782	Cyanistes_caeruleus
ENSFALP00000008345	ENSFALG00000008002	Ficedula_albicollis
ENSABRP00000027273	ENSABRG00000022703	Anser_brachyrhynchus
ENSAPLP00000029801	ENSAPLG00000009854	Anas_platyrhynchos_platyrhynchos
ENSGALP00000050610	ENSGALG00000042986	Gallus_gallus
ENSMGAP00000003025	ENSMGAG00000003316	Meleagris_gallopavo
ENSCJPP00005027682	ENSCJPG00005021426	Coturnix_japonica
ENSNMEP00000001454	ENSNMEG00000001843	Numida_meleagris
ENSAHAP00000005418	ENSAHAG00000004187	Apteryx_haastii
ENSARWP00000006073	ENSARWG00000004322	Apteryx_rowi
ENSAOWP00000017712	ENSAOWG00000012096	Apteryx_owenii
ENSDNVP00000022792	ENSDNVG00000015859	Dromaius_novaehollandiae
ENSNPEP00000019765	ENSNPEG00000014709	Nothoprocta_perdicaria
ENSPVIP00000024892	ENSPVIG00000018716	Pogona_vitticeps
ENSACAP00000004834	ENSACAG00000004961	Anolis_carolinensis
ENSNSUP00000019513	ENSNSUG00000014268	Notechis_scutatus
ENSSMRP00000014591	ENSSMRG00000011359	Salvator_merianae
ENSSPUP00000005293	ENSSPUG00000004096	Sphenodon_punctatus
ENSPCIP00000023947	ENSPCIG00000018112	Phascolarctos_cinereus
ENSVURP00010012988	ENSVURG00010010003	Vombatus_ursinus
ENSOCUP00000043024	ENSOCUG00000015922	Oryctolagus_cuniculus
ENSOANP00000001554	ENSOANG00000000982	Ornithorhynchus_anatinus
ENSCPBP00000022024	ENSCPBG00000015776	Chrysemys_picta_bellii
ENSCAPP00000001392	ENSCAPG00000002653	Cavia_aperea
ENSCPOP00000016465	ENSCPOG00000025198	Cavia_porcellus
ENSHGLP00000006757	ENSHGLG00000004930	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100013289	ENSHGLG00100009841	Heterocephalus_glaber_HetGla_1.0
