ENSCHAP00000038985	ENSCHAG00000016936	Clupea_harengus
ENSDCDP00000012529	ENSDCDG00000007442	Denticeps_clupeoides
ENSEEEP00000027473	ENSEEEG00000013239	Electrophorus_electricus
ENSIPUP00000012957	ENSIPUG00000008763	Ictalurus_punctatus
ENSAMXP00000006333	ENSAMXG00000006174	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005021240	ENSAMXG00005010164	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000027880	ENSPNAG00000013471	Pygocentrus_nattereri
ENSDARP00000059227	ENSDARG00000040466	Danio_rerio
ENSHHUP00000035640	ENSHHUG00000022436	Hucho_hucho
ENSHHUP00000015932	ENSHHUG00000009907	Hucho_hucho
ENSELUP00000034427	ENSELUG00000013040	Esox_lucius
ENSHHUP00000057550	ENSHHUG00000034211	Hucho_hucho
ENSHHUP00000088624	ENSHHUG00000051197	Hucho_hucho
ENSSFOP00015026082	ENSSFOG00015016742	Scleropages_formosus
ENSPKIP00000035923	ENSPKIG00000014665	Paramormyrops_kingsleyae
ENSHHUP00000088634	ENSHHUG00000051200	Hucho_hucho
ENSCMIP00000014747	ENSCMIG00000007254	Callorhinchus_milii
ENSLOCP00000010970	ENSLOCG00000008995	Lepisosteus_oculatus
ENSEBUP00000024615	ENSEBUG00000015190	Eptatretus_burgeri
ENSACAP00000002225	ENSACAG00000002214	Anolis_carolinensis
ENSACAP00000002089	ENSACAG00000002087	Anolis_carolinensis
ENSPVIP00000028967	ENSPVIG00000021410	Pogona_vitticeps
ENSNSUP00000016390	ENSNSUG00000012097	Notechis_scutatus
ENSSMRP00000014505	ENSSMRG00000011298	Salvator_merianae
ENSSPUP00000016912	ENSSPUG00000013084	Sphenodon_punctatus
ENSGALP00000058215	ENSGALG00000037286	Gallus_gallus
ENSCJPP00005015860	ENSCJPG00005013096	Coturnix_japonica
ENSMGAP00000012021	ENSMGAG00000011483	Meleagris_gallopavo
ENSNMEP00000027351	ENSNMEG00000022903	Numida_meleagris
ENSABRP00000026457	ENSABRG00000022126	Anser_brachyrhynchus
ENSMUNP00000017017	ENSMUNG00000012994	Melopsittacus_undulatus
ENSAPLP00000017696	ENSAPLG00000025266	Anas_platyrhynchos_platyrhynchos
ENSPMJP00000027081	ENSPMJG00000019744	Parus_major
