ENSVURP00010022578	ENSVURG00010017299	Vombatus_ursinus
ENSPCIP00000029313	ENSPCIG00000021824	Phascolarctos_cinereus
ENSMEUP00000000563	ENSMEUG00000000618	Notamacropus_eugenii
ENSSHAP00000014470	ENSSHAG00000012353	Sarcophilus_harrisii
ENSMODP00000009206	ENSMODG00000007418	Monodelphis_domestica
ENSDORP00000010396	ENSDORG00000011061	Dipodomys_ordii
ENSCCNP00000006824	ENSCCNG00000007267	Castor_canadensis
MGP_SPRETEiJ_P0084259	MGP_SPRETEiJ_G0031155	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000033266	ENSMSIG00000027833	Mus_spicilegus
ENSMUSP00000032963	ENSMUSG00000030718	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0080887	MGP_CAROLIEiJ_G0030044	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0017728	MGP_PahariEiJ_G0013266	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000023649	ENSRNOG00000017227	Rattus_norvegicus
ENSMUGP00000004163	ENSMUGG00000003832	Meriones_unguiculatus
ENSMOCP00000008651	ENSMOCG00000008664	Microtus_ochrogaster
ENSPEMP00000026691	ENSPEMG00000022717	Peromyscus_maniculatus_bairdii
ENSCGRP00000008267	ENSCGRG00000006031	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001004822	ENSCGRG00001006185	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000009199	ENSMAUG00000010412	Mesocricetus_auratus
ENSNGAP00000003815	ENSNGAG00000004604	Nannospalax_galili
ENSJJAP00000003723	ENSJJAG00000007410	Jaculus_jaculus
ENSSTOP00000007061	ENSSTOG00000007881	Ictidomys_tridecemlineatus
ENSMMMP00000011664	ENSMMMG00000010421	Marmota_marmota_marmota
ENSSDAP00000021652	ENSSDAG00000019679	Spermophilus_dauricus
ENSUPAP00010029356	ENSUPAG00010023113	Urocitellus_parryii
ENSHGLP00100024341	ENSHGLG00100017874	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000005116	ENSHGLG00000003747	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000000277	ENSFDAG00000010575	Fukomys_damarensis
ENSCLAP00000024009	ENSCLAG00000016482	Chinchilla_lanigera
ENSODEP00000008046	ENSODEG00000005995	Octodon_degus
ENSCPOP00000003250	ENSCPOG00000003599	Cavia_porcellus
ENSCAPP00000004834	ENSCAPG00000007296	Cavia_aperea
ENSOCUP00000022794	ENSOCUG00000026735	Oryctolagus_cuniculus
ENSOCUP00000022370	ENSOCUG00000008731	Oryctolagus_cuniculus
ENSOPRP00000015450	ENSOPRG00000016922	Ochotona_princeps
ENSPPAP00000026526	ENSPPAG00000036326	Pan_paniscus
ENSPTRP00000045835	ENSPTRG00000004061	Pan_troglodytes
ENSP00000381461	ENSG00000214517	Homo_sapiens
ENSGGOP00000000342	ENSGGOG00000000347	Gorilla_gorilla
ENSPPYP00000004196	ENSPPYG00000003671	Pongo_abelii
ENSNLEP00000028108	ENSNLEG00000029165	Nomascus_leucogenys
ENSTGEP00000034423	ENSTGEG00000027443	Theropithecus_gelada
ENSCSAP00000000382	ENSCSAG00000004025	Chlorocebus_sabaeus
ENSMLEP00000028251	ENSMLEG00000038271	Mandrillus_leucophaeus
ENSPANP00000000500	ENSPANG00000006478	Papio_anubis
ENSMFAP00000017165	ENSMFAG00000031619	Macaca_fascicularis
ENSMNEP00000014879	ENSMNEG00000031477	Macaca_nemestrina
ENSCATP00000019302	ENSCATG00000033372	Cercocebus_atys
ENSMMUP00000075260	ENSMMUG00000017398	Macaca_mulatta
ENSRBIP00000017502	ENSRBIG00000032741	Rhinopithecus_bieti
ENSRROP00000014667	ENSRROG00000031513	Rhinopithecus_roxellana
ENSPTEP00000023437	ENSPTEG00000024146	Piliocolobus_tephrosceles
ENSCANP00000003545	ENSCANG00000012722	Colobus_angolensis_palliatus
ENSCCAP00000016890	ENSCCAG00000026198	Cebus_capucinus_imitator
ENSCJAP00000029013	ENSCJAG00000015734	Callithrix_jacchus
ENSSBOP00000029966	ENSSBOG00000031236	Saimiri_boliviensis_boliviensis
ENSTSYP00000004950	ENSTSYG00000005416	Carlito_syrichta
ENSPSMP00000004405	ENSPSMG00000003532	Prolemur_simus
ENSMICP00000020689	ENSMICG00000002244	Microcebus_murinus
ENSOGAP00000001523	ENSOGAG00000001708	Otolemur_garnettii
ENSECAP00000008781	ENSECAG00000010756	Equus_caballus
ENSEASP00005026232	ENSEASG00005017891	Equus_asinus_asinus
ENSEEUP00000012023	ENSEEUG00000013193	Erinaceus_europaeus
ENSTBEP00000010525	ENSTBEG00000012143	Tupaia_belangeri
ENSUAMP00000003437	ENSUAMG00000003021	Ursus_americanus
ENSCGRP00015018550	ENSCGRG00015014281	Cricetulus_griseus_CriGri-PICR
ENSDNOP00000022347	ENSDNOG00000038180	Dasypus_novemcinctus
ENSLAFP00000004542	ENSLAFG00000005421	Loxodonta_africana
