ENSOARP00000013396	ENSOARG00000012502	Ovis_aries
ENSPMEP00000031004	ENSPMEG00000017848	Poecilia_mexicana
ENSECAP00000017441	ENSECAG00000019931	Equus_caballus
ENSMUNP00000006506	ENSMUNG00000005220	Melopsittacus_undulatus
ENSSPAP00000007904	ENSSPAG00000006038	Stegastes_partitus
ENSBIXP00005041422	ENSBIXG00005024597	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCSEP00000019489	ENSCSEG00000012464	Cynoglossus_semilaevis
ENSBMUP00000005969	ENSBMUG00000004679	Bos_mutus
ENSPCAP00000004602	ENSPCAG00000004941	Procavia_capensis
ENSPMJP00000014643	ENSPMJG00000011114	Parus_major
ENSOANP00000006160	ENSOANG00000003889	Ornithorhynchus_anatinus
ENSCPBP00000029682	ENSCPBG00000020904	Chrysemys_picta_bellii
ENSMZEP00005034492	ENSMZEG00005025771	Maylandia_zebra
ENSARWP00000023302	ENSARWG00000015884	Apteryx_rowi
ENSCVAP00000008491	ENSCVAG00000010296	Cyprinodon_variegatus
ENSPEMP00000035337	ENSPEMG00000025952	Peromyscus_maniculatus_bairdii
ENSOGAP00000002803	ENSOGAG00000003135	Otolemur_garnettii
ENSVVUP00000036691	ENSVVUG00000026266	Vulpes_vulpes
ENSLOCP00000010474	ENSLOCG00000008616	Lepisosteus_oculatus
ENSDARP00000072514	ENSDARG00000055659	Danio_rerio
ENSMUGP00000018074	ENSMUGG00000015339	Meriones_unguiculatus
ENSCCAP00000008022	ENSCCAG00000021768	Cebus_capucinus_imitator
ENSHHUP00000003073	ENSHHUG00000001946	Hucho_hucho
ENSMMUP00000053735	ENSMMUG00000010395	Macaca_mulatta
ENSBSLP00000034343	ENSBSLG00000016592	Betta_splendens
ENSSMAP00000031455	ENSSMAG00000019278	Scophthalmus_maximus
ENSCAFP00000022573	ENSCAFG00000015316	Canis_lupus_familiaris
ENSACLP00000004424	ENSACLG00000002956	Astatotilapia_calliptera
ENSMMMP00000021342	ENSMMMG00000018796	Marmota_marmota_marmota
ENSEBUP00000019921	ENSEBUG00000012367	Eptatretus_burgeri
ENSCATP00000006681	ENSCATG00000020613	Cercocebus_atys
ENSCPGP00000002048	ENSCPGG00000001524	Calidris_pygmaea
ENSPMEP00000024667	ENSPMEG00000007135	Poecilia_mexicana
ENSCGOP00000016790	ENSCGOG00000008056	Cottoperca_gobio
ENSLCRP00005041647	ENSLCRG00005015997	Larimichthys_crocea
ENSNBRP00000006934	ENSNBRG00000005426	Neolamprologus_brichardi
ENSGMOP00000003945	ENSGMOG00000003731	Gadus_morhua
ENSDORP00000014938	ENSDORG00000015879	Dipodomys_ordii
ENSDARP00000126068	ENSDARG00000058903	Danio_rerio
ENSORLP00000011378	ENSORLG00000009074	Oryzias_latipes_ASM223467v1
ENSAPOP00000006239	ENSAPOG00000008056	Acanthochromis_polyacanthus
ENSCHAP00000049977	ENSCHAG00000022945	Clupea_harengus
ENSTGUP00000013835	ENSTGUG00000013437	Taeniopygia_guttata
ENSABRP00000010126	ENSABRG00000009067	Anser_brachyrhynchus
ENSCABP00000030234	ENSCABG00000022137	Chelonoidis_abingdonii
ENSNVIP00000031830	ENSNVIG00000024498	Neovison_vison
ENSCCAP00000039028	ENSCCAG00000037357	Cebus_capucinus_imitator
ENSSBOP00000027340	ENSSBOG00000030060	Saimiri_boliviensis_boliviensis
ENSPLAP00000030055	ENSPLAG00000020805	Poecilia_latipinna
ENSCLAP00000007564	ENSCLAG00000005310	Chinchilla_lanigera
ENSPPAP00000011797	ENSPPAG00000029093	Pan_paniscus
ENSLSDP00000007527	ENSLSDG00000005652	Lonchura_striata_domestica
ENSMLUP00000010843	ENSMLUG00000011902	Myotis_lucifugus
ENSRROP00000032745	ENSRROG00000040012	Rhinopithecus_roxellana
ENSCGRP00000008632	ENSCGRG00000006300	Cricetulus_griseus_CriGri_1.0
ENSBBBP00000010009	ENSBBBG00000008386	Bison_bison_bison
ENSVPAP00000009830	ENSVPAG00000010562	Vicugna_pacos
ENSCAFP00020029063	ENSCAFG00020022721	Canis_lupus_dingo
ENSTNIP00000016908	ENSTNIG00000013903	Tetraodon_nigroviridis
ENSNMEP00000020071	ENSNMEG00000017242	Numida_meleagris
