ENSJHYP00000022917	ENSJHYG00000017271	Junco_hyemalis
ENSZALP00000020287	ENSZALG00000015961	Zonotrichia_albicollis
ENSSCAP00000015608	ENSSCAG00000011438	Serinus_canaria
ENSLSDP00000019486	ENSLSDG00000013855	Lonchura_striata_domestica
ENSTGUP00000005422	ENSTGUG00000005243	Taeniopygia_guttata
ENSFALP00000004021	ENSFALG00000003852	Ficedula_albicollis
ENSPMJP00000013790	ENSPMJG00000010471	Parus_major
ENSCCEP00000008860	ENSCCEG00000009042	Cyanistes_caeruleus
ENSLCOP00000008034	ENSLCOG00000005899	Lepidothrix_coronata
ENSMVIP00005005894	ENSMVIG00005004494	Manacus_vitellinus
ENSMUNP00000001985	ENSMUNG00000001755	Melopsittacus_undulatus
ENSCPUP00000024858	ENSCPUG00000016829	Calidris_pugnax	ENSCPUT00000029286
ENSCPGP00000026894	ENSCPGG00000018535	Calidris_pygmaea	ENSCPGT00000029366
ENSGALP00000059540	ENSGALG00000040905	Gallus_gallus
ENSCJPP00005016393	ENSCJPG00005013478	Coturnix_japonica
ENSMGAP00000000214	ENSMGAG00000000830	Meleagris_gallopavo
ENSNMEP00000004223	ENSNMEG00000004651	Numida_meleagris
ENSABRP00000027116	ENSABRG00000022599	Anser_brachyrhynchus
ENSAPLP00000004448	ENSAPLG00000004890	Anas_platyrhynchos_platyrhynchos
ENSAOWP00000004736	ENSAOWG00000003307	Apteryx_owenii
ENSARWP00000006389	ENSARWG00000004530	Apteryx_rowi
ENSAHAP00000009505	ENSAHAG00000006895	Apteryx_haastii
ENSDNVP00000024541	ENSDNVG00000017034	Dromaius_novaehollandiae
ENSNPEP00000008126	ENSNPEG00000006092	Nothoprocta_perdicaria
ENSCPRP00005005677	ENSCPRG00005004066	Crocodylus_porosus
ENSCABP00000030838	ENSCABG00000022536	Chelonoidis_abingdonii
ENSGAGP00000018405	ENSGAGG00000013624	Gopherus_agassizii
ENSCPBP00000028841	ENSCPBG00000020339	Chrysemys_picta_bellii
ENSPSIP00000006884	ENSPSIG00000006291	Pelodiscus_sinensis
ENSPVIP00000000082	ENSPVIG00000000091	Pogona_vitticeps
ENSACAP00000003795	ENSACAG00000003857	Anolis_carolinensis
ENSNSUP00000004175	ENSNSUG00000003317	Notechis_scutatus
ENSSMRP00000005564	ENSSMRG00000004513	Salvator_merianae
ENSSPUP00000009673	ENSSPUG00000007490	Sphenodon_punctatus
ENSMEUP00000006672	ENSMEUG00000007311	Notamacropus_eugenii
ENSPCIP00000022290	ENSPCIG00000016899	Phascolarctos_cinereus
ENSVURP00010011559	ENSVURG00010008923	Vombatus_ursinus
ENSSHAP00000012922	ENSSHAG00000011055	Sarcophilus_harrisii
ENSMODP00000005632	ENSMODG00000004568	Monodelphis_domestica
ENSTGEP00000030888	ENSTGEG00000024767	Theropithecus_gelada
