ENSFCAP00000050669	ENSFCAG00000045877	Felis_catus
ENSNVIP00000005512	ENSNVIG00000004434	Neovison_vison
ENSPVAP00000012661	ENSPVAG00000013425	Pteropus_vampyrus
ENSBIXP00005043237	ENSBIXG00005026869	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000029742	ENSBIXG00000011475	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000015476	ENSBMUG00000011766	Bos_mutus
ENSBBBP00000025002	ENSBBBG00000019989	Bison_bison_bison
ENSOARP00000013518	ENSOARG00000012618	Ovis_aries
ENSSSCP00000029452	ENSSSCG00000031069	Sus_scrofa_strain_reference
ENSVPAP00000011275	ENSVPAG00000012124	Vicugna_pacos
ENSECAP00000046961	ENSECAG00000041116	Equus_caballus
ENSOCUP00000046774	ENSOCUG00000035733	Oryctolagus_cuniculus
ENSP00000485031	ENSG00000214643	Homo_sapiens
ENSPTRP00000054243	ENSPTRG00000032458	Pan_troglodytes
ENSGGOP00000027994	ENSGGOG00000022278	Gorilla_gorilla
ENSPPYP00000018677	ENSPPYG00000016694	Pongo_abelii
ENSNLEP00000004828	ENSNLEG00000003997	Nomascus_leucogenys
ENSCJAP00000021313	ENSCJAG00000011612	Callithrix_jacchus
ENSPANP00000012958	ENSPANG00000008642	Papio_anubis
ENSCATP00000030620	ENSCATG00000038484	Cercocebus_atys
ENSCANP00000038089	ENSCANG00000042745	Colobus_angolensis_palliatus
ENSANAP00000026149	ENSANAG00000030784	Aotus_nancymaae
ENSPCOP00000003149	ENSPCOG00000009534	Propithecus_coquereli
ENSDNOP00000017281	ENSDNOG00000023728	Dasypus_novemcinctus
ENSPCAP00000008430	ENSPCAG00000009073	Procavia_capensis
