ENSUMAP00000013690	ENSUMAG00000010070	Ursus_maritimus
MGP_CAROLIEiJ_P0079235	MGP_CAROLIEiJ_G0029646	Mus_caroli_strain_CAROLI_EIJ
ENSMMMP00000007464	ENSMMMG00000006715	Marmota_marmota_marmota
ENSBIXP00005034666	ENSBIXG00005015685	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSMSIP00000018705	ENSMSIG00000015939	Mus_spicilegus
ENSRNOP00000025846	ENSRNOG00000019132	Rattus_norvegicus
ENSMAUP00000016706	ENSMAUG00000015754	Mesocricetus_auratus
ENSMSIP00000012989	ENSMSIG00000011252	Mus_spicilegus
ENSVVUP00000016537	ENSVVUG00000012179	Vulpes_vulpes
ENSBMUP00000026177	ENSBMUG00000019640	Bos_mutus
ENSCGRP00001004166	ENSCGRG00001005228	Cricetulus_griseus_CHOK1GS_HDv1
ENSPTIP00000002660	ENSPTIG00000005631	Panthera_tigris_altaica
ENSMOCP00000000642	ENSMOCG00000000511	Microtus_ochrogaster
ENSMSIP00000012084	ENSMSIG00000010529	Mus_spicilegus
ENSCGRP00000021835	ENSCGRG00000015838	Cricetulus_griseus_CriGri_1.0
ENSMSIP00000015573	ENSMSIG00000013369	Mus_spicilegus
ENSMUSP00000071265	ENSMUSG00000045411	Mus_musculus_strain_reference_(CL57BL6)
ENSAMEP00000020493	ENSAMEG00000019440	Ailuropoda_melanoleuca
ENSBIXP00000013793	ENSBIXG00000018662	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSCHIP00000002977	ENSCHIG00000006752	Capra_hircus
ENSBTAP00000014709	ENSBTAG00000011079	Bos_taurus
MGP_PahariEiJ_P0016100	MGP_PahariEiJ_G0012877	Mus_pahari_strain_PAHARI_EIJ
ENSPEMP00000029250	ENSPEMG00000027581	Peromyscus_maniculatus_bairdii
ENSSDAP00000012256	ENSSDAG00000011049	Spermophilus_dauricus	ENSSDAT00000013871
ENSMUGP00000009262	ENSMUGG00000008272	Meriones_unguiculatus
ENSBBBP00000000398	ENSBBBG00000009539	Bison_bison_bison
ENSMPUP00000001589	ENSMPUG00000001605	Mustela_putorius_furo
