ENSNVIP00000025513	ENSNVIG00000019727	Neovison_vison
ENSUAMP00000017860	ENSUAMG00000014175	Ursus_americanus
ENSCAFP00000062646	ENSCAFG00000046272	Canis_lupus_familiaris
ENSCAFP00020013086	ENSCAFG00020010512	Canis_lupus_dingo
ENSVVUP00000003975	ENSVVUG00000003118	Vulpes_vulpes
ENSPPRP00000016046	ENSPPRG00000008466	Panthera_pardus
ENSBBBP00000002600	ENSBBBG00000011705	Bison_bison_bison
ENSBTAP00000066353	ENSBTAG00000048340	Bos_taurus	ENSBTAT00000071671
ENSCHIP00000019326	ENSCHIG00000018384	Capra_hircus
ENSBIXP00000001288	ENSBIXG00000028708	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005029491	ENSBIXG00005009424	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSPPAP00000024662	ENSPPAG00000035465	Pan_paniscus
ENSPTRP00000081642	ENSPTRG00000044124	Pan_troglodytes
ENSGGOP00000045834	ENSGGOG00000037598	Gorilla_gorilla
ENSMNEP00000011389	ENSMNEG00000030039	Macaca_nemestrina
ENSMFAP00000033893	ENSMFAG00000003449	Macaca_fascicularis
ENSCATP00000009454	ENSCATG00000028687	Cercocebus_atys
ENSTGEP00000023308	ENSTGEG00000018878	Theropithecus_gelada
ENSPANP00000046249	ENSPANG00000034750	Papio_anubis
ENSMLEP00000037805	ENSMLEG00000042982	Mandrillus_leucophaeus
ENSRROP00000034079	ENSRROG00000040602	Rhinopithecus_roxellana
ENSRBIP00000011621	ENSRBIG00000029700	Rhinopithecus_bieti
ENSCANP00000031358	ENSCANG00000039346	Colobus_angolensis_palliatus
ENSPTEP00000010868	ENSPTEG00000012265	Piliocolobus_tephrosceles
ENSCJAP00000077613	ENSCJAG00000053600	Callithrix_jacchus
ENSECAP00000045298	ENSECAG00000040090	Equus_caballus
ENSEASP00005013650	ENSEASG00005009534	Equus_asinus_asinus
ENSSSCP00000065589	ENSSSCG00000045446	Sus_scrofa_strain_reference
ENSSDAP00000025941	ENSSDAG00000023552	Spermophilus_dauricus
ENSCCNP00000028351	ENSCCNG00000027318	Castor_canadensis
ENSOCUP00000038591	ENSOCUG00000038166	Oryctolagus_cuniculus
ENSPSMP00000036940	ENSPSMG00000025416	Prolemur_simus
