ENSPMAP00000001195	ENSPMAG00000001073	Petromyzon_marinus	ENSPMAT00000001200
ENSEBUP00000026055	ENSEBUG00000016057	Eptatretus_burgeri	ENSEBUT00000026631
ENSAOWP00000009995	ENSAOWG00000006868	Apteryx_owenii
ENSARWP00000008564	ENSARWG00000005986	Apteryx_rowi
ENSARWP00000008562	ENSARWG00000005984	Apteryx_rowi
ENSAHAP00000004734	ENSAHAG00000003660	Apteryx_haastii
ENSDNVP00000004531	ENSDNVG00000003059	Dromaius_novaehollandiae
ENSNPEP00000004434	ENSNPEG00000003397	Nothoprocta_perdicaria
ENSCPGP00000019877	ENSCPGG00000013930	Calidris_pygmaea
ENSCPGP00000019871	ENSCPGG00000013926	Calidris_pygmaea
ENSCPUP00000010461	ENSCPUG00000007421	Calidris_pugnax
ENSMUNP00000009841	ENSMUNG00000007768	Melopsittacus_undulatus
ENSMVIP00005018253	ENSMVIG00005012975	Manacus_vitellinus
ENSLCOP00000005221	ENSLCOG00000003898	Lepidothrix_coronata
ENSLSDP00000018181	ENSLSDG00000012981	Lonchura_striata_domestica
ENSTGUP00000005953	ENSTGUG00000005774	Taeniopygia_guttata
ENSJHYP00000014872	ENSJHYG00000011498	Junco_hyemalis
ENSZALP00000022510	ENSZALG00000017482	Zonotrichia_albicollis
ENSSCAP00000002071	ENSSCAG00000001796	Serinus_canaria
ENSPMJP00000006400	ENSPMJG00000005401	Parus_major
ENSCCEP00000027979	ENSCCEG00000024276	Cyanistes_caeruleus
ENSFALP00000009351	ENSFALG00000008957	Ficedula_albicollis
ENSAPLP00000004761	ENSAPLG00000005171	Anas_platyrhynchos_platyrhynchos
ENSABRP00000021667	ENSABRG00000018349	Anser_brachyrhynchus
ENSGALP00000002452	ENSGALG00000001613	Gallus_gallus
ENSCJPP00005004084	ENSCJPG00005004137	Coturnix_japonica
ENSMGAP00000000258	ENSMGAG00000000848	Meleagris_gallopavo
ENSNMEP00000008036	ENSNMEG00000007934	Numida_meleagris
ENSNMEP00000000813	ENSNMEG00000001202	Numida_meleagris
