ENSCVAP00000024402	ENSCVAG00000008443	Cyprinodon_variegatus
ENSLCRP00005026528	ENSLCRG00005010591	Larimichthys_crocea
ENSPNAP00000032398	ENSPNAG00000020274	Pygocentrus_nattereri
ENSCANP00000034207	ENSCANG00000040783	Colobus_angolensis_palliatus
ENSNLEP00000038768	ENSNLEG00000035658	Nomascus_leucogenys
ENSDORP00000025234	ENSDORG00000029879	Dipodomys_ordii
ENSPTIP00000008242	ENSPTIG00000009651	Panthera_tigris_altaica
ENSNVIP00000017565	ENSNVIG00000013754	Neovison_vison
ENSBBBP00000008556	ENSBBBG00000016579	Bison_bison_bison
ENSBMUP00000027611	ENSBMUG00000020679	Bos_mutus
ENSBMUP00000007011	ENSBMUG00000005551	Bos_mutus
ENSBBBP00000009546	ENSBBBG00000017653	Bison_bison_bison
