ENSMAMP00000012475	ENSMAMG00000008450	Mastacembelus_armatus
ENSMALP00000015796	ENSMALG00000011084	Monopterus_albus
ENSATEP00000036462	ENSATEG00000025053	Anabas_testudineus
ENSCGOP00000037374	ENSCGOG00000017217	Cottoperca_gobio
ENSLBEP00000031048	ENSLBEG00000023414	Labrus_bergylta
ENSLCRP00005060046	ENSLCRG00005022205	Larimichthys_crocea
ENSTRUP00000029671	ENSTRUG00000011750	Takifugu_rubripes
ENSTNIP00000017872	ENSTNIG00000014831	Tetraodon_nigroviridis
ENSMMOP00000007792	ENSMMOG00000006060	Mola_mola
ENSAOCP00000030152	ENSAOCG00000020929	Amphiprion_ocellaris
ENSAPEP00000029489	ENSAPEG00000020959	Amphiprion_percula
ENSAPOP00000033123	ENSAPOG00000021491	Acanthochromis_polyacanthus
ENSSPAP00000012418	ENSSPAG00000009432	Stegastes_partitus
ENSMZEP00005006901	ENSMZEG00005005317	Maylandia_zebra
ENSACLP00000030081	ENSACLG00000020380	Astatotilapia_calliptera
ENSHBUP00000006762	ENSHBUG00000008208	Haplochromis_burtoni
ENSPNYP00000016789	ENSPNYG00000012666	Pundamilia_nyererei
ENSNBRP00000007966	ENSNBRG00000006179	Neolamprologus_brichardi
ENSONIP00000008586	ENSONIG00000006803	Oreochromis_niloticus
ENSACIP00000019759	ENSACIG00000015287	Amphilophus_citrinellus
ENSPRNP00000008362	ENSPRNG00000004999	Parambassis_ranga
ENSXMAP00000005915	ENSXMAG00000005890	Xiphophorus_maculatus
ENSXCOP00000018505	ENSXCOG00000013927	Xiphophorus_couchianus
ENSGAFP00000021105	ENSGAFG00000014230	Gambusia_affinis
ENSPFOP00000002230	ENSPFOG00000002398	Poecilia_formosa
ENSPMEP00000011952	ENSPMEG00000014076	Poecilia_mexicana
ENSPLAP00000002264	ENSPLAG00000003483	Poecilia_latipinna
ENSPREP00000013975	ENSPREG00000009475	Poecilia_reticulata
ENSCVAP00000020932	ENSCVAG00000002649	Cyprinodon_variegatus
ENSFHEP00000031188	ENSFHEG00000016918	Fundulus_heteroclitus
ENSKMAP00000018603	ENSKMAG00000013826	Kryptolebias_marmoratus
ENSORLP00000007586	ENSORLG00000006036	Oryzias_latipes_ASM223467v1
ENSORLP00015028772	ENSORLG00015011580	Oryzias_latipes_ASM223469v1
ENSORLP00020014854	ENSORLG00020015879	Oryzias_latipes_ASM223471v1
ENSOMEP00000031791	ENSOMEG00000016829	Oryzias_melastigma
ENSSLDP00000010411	ENSSLDG00000008305	Seriola_lalandi_dorsalis
ENSSDUP00000032892	ENSSDUG00000023631	Seriola_dumerili
ENSLCAP00010034930	ENSLCAG00010016385	Lates_calcarifer
ENSSMAP00000018316	ENSSMAG00000011217	Scophthalmus_maximus
ENSGACP00000008018	ENSGACG00000006056	Gasterosteus_aculeatus
ENSBSLP00000055399	ENSBSLG00000025893	Betta_splendens
ENSGWIP00000052793	ENSGWIG00000025441	Gouania_willdenowi
ENSGWIP00000052808	ENSGWIG00000025445	Gouania_willdenowi
ENSCSEP00000029875	ENSCSEG00000019145	Cynoglossus_semilaevis
ENSPMGP00000021832	ENSPMGG00000017685	Periophthalmus_magnuspinnatus
ENSHCOP00000011175	ENSHCOG00000014029	Hippocampus_comes
ENSGMOP00000000744	ENSGMOG00000000738	Gadus_morhua
ENSHHUP00000054110	ENSHHUG00000032478	Hucho_hucho
ENSELUP00000023974	ENSELUG00000022786	Esox_lucius
ENSAMXP00000036662	ENSAMXG00000004941	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005012660	ENSAMXG00005006790	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000022489	ENSPNAG00000029872	Pygocentrus_nattereri
ENSEEEP00000015775	ENSEEEG00000007806	Electrophorus_electricus
ENSIPUP00000014742	ENSIPUG00000010047	Ictalurus_punctatus
ENSDARP00000047443	ENSDARG00000031954	Danio_rerio
ENSCHAP00000039069	ENSCHAG00000018283	Clupea_harengus
ENSDCDP00000056471	ENSDCDG00000033185	Denticeps_clupeoides
ENSSFOP00015005219	ENSSFOG00015003424	Scleropages_formosus
ENSPKIP00000038451	ENSPKIG00000016212	Paramormyrops_kingsleyae
ENSLOCP00000008042	ENSLOCG00000006659	Lepisosteus_oculatus
ENSECRP00000013996	ENSECRG00000009329	Erpetoichthys_calabaricus
