ENSUPAP00010000777	ENSUPAG00010000649	Urocitellus_parryii	ENSUPAT00010000869
ENSSDAP00000004496	ENSSDAG00000004237	Spermophilus_dauricus	ENSSDAT00000005162
ENSMMMP00000000014	ENSMMMG00000000019	Marmota_marmota_marmota
ENSCGRP00015008312	ENSCGRG00015006457	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001008074	ENSCGRG00001010412	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000002204	ENSMAUG00000001761	Mesocricetus_auratus
ENSPEMP00000001033	ENSPEMG00000000741	Peromyscus_maniculatus_bairdii
MGP_SPRETEiJ_P0050239	MGP_SPRETEiJ_G0023657	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000150097	ENSMUSG00000067524	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0048259	MGP_CAROLIEiJ_G0022745	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0021241	MGP_PahariEiJ_G0014237	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000028605	ENSRNOG00000021071	Rattus_norvegicus
ENSMUGP00000012520	ENSMUGG00000010886	Meriones_unguiculatus
ENSCCNP00000002571	ENSCCNG00000002821	Castor_canadensis
ENSOCUP00000010853	ENSOCUG00000012613	Oryctolagus_cuniculus
ENSPTRP00000006367	ENSPTRG00000003692	Pan_troglodytes
ENSPPAP00000036009	ENSPPAG00000040787	Pan_paniscus
ENSP00000300127	ENSG00000166884	Homo_sapiens
ENSGGOP00000018017	ENSGGOG00000027715	Gorilla_gorilla
ENSPPYP00000004674	ENSPPYG00000004096	Pongo_abelii
ENSTGEP00000025310	ENSTGEG00000020401	Theropithecus_gelada
ENSMMUP00000071932	ENSMMUG00000060889	Macaca_mulatta
ENSPTEP00000030050	ENSPTEG00000029339	Piliocolobus_tephrosceles
ENSCJAP00000041410	ENSCJAG00000022829	Callithrix_jacchus
ENSTSYP00000015600	ENSTSYG00000002736	Carlito_syrichta
ENSPSMP00000005997	ENSPSMG00000004550	Prolemur_simus
ENSOGAP00000018233	ENSOGAG00000006468	Otolemur_garnettii
ENSTBEP00000014328	ENSTBEG00000016502	Tupaia_belangeri
ENSHGLP00000024369	ENSHGLG00000017368	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100013788	ENSHGLG00100010197	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000021886	ENSFDAG00000007380	Fukomys_damarensis
ENSCPOP00000017545	ENSCPOG00000013019	Cavia_porcellus
ENSEEUP00000011161	ENSEEUG00000012261	Erinaceus_europaeus
ENSEEUP00000011928	ENSEEUG00000013114	Erinaceus_europaeus
ENSSARP00000009685	ENSSARG00000010717	Sorex_araneus
ENSSSCP00000074561	ENSSSCG00000046417	Sus_scrofa_strain_reference
ENSSSCP00000073631	ENSSSCG00000051402	Sus_scrofa_strain_reference
ENSBIXP00005023045	ENSBIXG00005004407	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000034769	ENSBIXG00000017853	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000007086	ENSBMUG00000005614	Bos_mutus
ENSOARP00000014265	ENSOARG00000013308	Ovis_aries
ENSMLUP00000018976	ENSMLUG00000009926	Myotis_lucifugus
ENSUMAP00000025386	ENSUMAG00000018504	Ursus_maritimus
ENSUAMP00000024871	ENSUAMG00000019401	Ursus_americanus
ENSAMEP00000019674	ENSAMEG00000018619	Ailuropoda_melanoleuca
ENSMPUP00000019881	ENSMPUG00000020012	Mustela_putorius_furo
ENSNVIP00000000267	ENSNVIG00000000271	Neovison_vison
ENSCAFP00000041086	ENSCAFG00000031533	Canis_lupus_familiaris
ENSCAFP00020001463	ENSCAFG00020001318	Canis_lupus_dingo
ENSVVUP00000023106	ENSVVUG00000016948	Vulpes_vulpes
ENSPPRP00000027132	ENSPPRG00000018337	Panthera_pardus
ENSPTIP00000001783	ENSPTIG00000004595	Panthera_tigris_altaica
ENSDNOP00000029278	ENSDNOG00000017082	Dasypus_novemcinctus
ENSPCAP00000003811	ENSPCAG00000004115	Procavia_capensis
ENSPCAP00000007200	ENSPCAG00000007728	Procavia_capensis
ENSPCAP00000009035	ENSPCAG00000009729	Procavia_capensis
ENSLAFP00000026979	ENSLAFG00000022962	Loxodonta_africana
ENSETEP00000005337	ENSETEG00000006572	Echinops_telfairi
ENSVURP00010021008	ENSVURG00010016070	Vombatus_ursinus
ENSPCIP00000046240	ENSPCIG00000033502	Phascolarctos_cinereus
ENSMEUP00000009023	ENSMEUG00000009901	Notamacropus_eugenii
ENSSHAP00000000452	ENSSHAG00000000401	Sarcophilus_harrisii
ENSMODP00000025250	ENSMODG00000020191	Monodelphis_domestica
