ENSOANP00000031120	ENSOANG00000031153	Ornithorhynchus_anatinus	ENSOANT00000040361
ENSHHUP00000068278	ENSHHUG00000040253	Hucho_hucho	ENSHHUT00000070569
ENSACLP00000033635	ENSACLG00000022796	Astatotilapia_calliptera
ENSONIP00000016010	ENSONIG00000012721	Oreochromis_niloticus
ENSMZEP00005021955	ENSMZEG00005016461	Maylandia_zebra
ENSSDUP00000019456	ENSSDUG00000014195	Seriola_dumerili
ENSHHUP00000068258	ENSHHUG00000040243	Hucho_hucho
ENSAMXP00005005351	ENSAMXG00005003302	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNYP00000000559	ENSPNYG00000000438	Pundamilia_nyererei
ENSNBRP00000030662	ENSNBRG00000023317	Neolamprologus_brichardi
ENSMZEP00005017173	ENSMZEG00005012902	Maylandia_zebra
ENSAPOP00000021965	ENSAPOG00000002864	Acanthochromis_polyacanthus
ENSORLP00020019374	ENSORLG00020020372	Oryzias_latipes_ASM223471v1
ENSMALP00000004057	ENSMALG00000002971	Monopterus_albus
ENSATEP00000035256	ENSATEG00000024232	Anabas_testudineus
ENSLBEP00000031358	ENSLBEG00000023669	Labrus_bergylta
ENSGMOP00000006189	ENSGMOG00000005804	Gadus_morhua	ENSGMOT00000006366
ENSHHUP00000017969	ENSHHUG00000011209	Hucho_hucho
ENSAMXP00000050554	ENSAMXG00000042690	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSEEEP00000002457	ENSEEEG00000001438	Electrophorus_electricus
ENSBMUP00000029900	ENSBMUG00000022340	Bos_mutus
ENSBTAP00000062048	ENSBTAG00000017233	Bos_taurus
ENSBBBP00000010898	ENSBBBG00000004836	Bison_bison_bison
ENSOANP00000010445	ENSOANG00000006544	Ornithorhynchus_anatinus
ENSTGUP00000003168	ENSTGUG00000003069	Taeniopygia_guttata
ENSZALP00000008634	ENSZALG00000007506	Zonotrichia_albicollis
ENSLCOP00000015196	ENSLCOG00000010852	Lepidothrix_coronata
ENSCPGP00000020780	ENSCPGG00000014512	Calidris_pygmaea
ENSAPLP00000027937	ENSAPLG00000017215	Anas_platyrhynchos_platyrhynchos
ENSPSIP00000015963	ENSPSIG00000014253	Pelodiscus_sinensis
ENSSMRP00000004435	ENSSMRG00000003664	Salvator_merianae
ENSACAP00000015397	ENSACAG00000015680	Anolis_carolinensis
