ENSCINP00000013102	ENSCING00000006358	Ciona_intestinalis
ENSCSAVP00000014326	ENSCSAVG00000008387	Ciona_savignyi
ENSPCIP00000009682	ENSPCIG00000007903	Phascolarctos_cinereus
ENSMEUP00000001886	ENSMEUG00000002058	Notamacropus_eugenii
ENSMODP00000044334	ENSMODG00000044211	Monodelphis_domestica
ENSPCAP00000012031	ENSPCAG00000012901	Procavia_capensis
ENSETEP00000014436	ENSETEG00000017771	Echinops_telfairi
ENSLAFP00000003564	ENSLAFG00000004273	Loxodonta_africana
ENSCGRP00001004467	ENSCGRG00001005694	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015025074	ENSCGRG00015019033	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000017183	ENSMAUG00000016118	Mesocricetus_auratus
ENSMOCP00000023739	ENSMOCG00000020365	Microtus_ochrogaster
ENSPEMP00000020905	ENSPEMG00000018712	Peromyscus_maniculatus_bairdii
ENSMSIP00000004346	ENSMSIG00000003959	Mus_spicilegus
MGP_SPRETEiJ_P0071895	MGP_SPRETEiJ_G0028437	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000079208	ENSMUSG00000057816	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0069237	MGP_CAROLIEiJ_G0027440	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0032393	MGP_PahariEiJ_G0017218	Mus_pahari_strain_PAHARI_EIJ
ENSNGAP00000015023	ENSNGAG00000016161	Nannospalax_galili
ENSJJAP00000019117	ENSJJAG00000020179	Jaculus_jaculus
ENSDORP00000000834	ENSDORG00000000888	Dipodomys_ordii
ENSHGLP00100005294	ENSHGLG00100004015	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000011016	ENSHGLG00000007902	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000017558	ENSFDAG00000006106	Fukomys_damarensis
ENSCLAP00000013594	ENSCLAG00000009393	Chinchilla_lanigera
ENSCPOP00000003657	ENSCPOG00000004055	Cavia_porcellus
ENSODEP00000006578	ENSODEG00000004917	Octodon_degus
ENSMMMP00000006549	ENSMMMG00000005872	Marmota_marmota_marmota
ENSPSMP00000028392	ENSPSMG00000019753	Prolemur_simus
ENSSBOP00000007912	ENSSBOG00000020874	Saimiri_boliviensis_boliviensis
ENSCCAP00000015710	ENSCCAG00000025650	Cebus_capucinus_imitator
ENSCJAP00000066158	ENSCJAG00000015075	Callithrix_jacchus
ENSANAP00000023218	ENSANAG00000029362	Aotus_nancymaae
ENSPPAP00000041462	ENSPPAG00000043350	Pan_paniscus
ENSPTRP00000053561	ENSPTRG00000023807	Pan_troglodytes
ENSP00000425786	ENSG00000197826	Homo_sapiens
ENSGGOP00000042058	ENSGGOG00000036236	Gorilla_gorilla
ENSPPYP00000016615	ENSPPYG00000014881	Pongo_abelii
ENSNLEP00000045613	ENSNLEG00000035919	Nomascus_leucogenys
ENSPTEP00000022024	ENSPTEG00000022986	Piliocolobus_tephrosceles
ENSRROP00000013545	ENSRROG00000031008	Rhinopithecus_roxellana
ENSCANP00000006892	ENSCANG00000023003	Colobus_angolensis_palliatus
ENSMFAP00000000606	ENSMFAG00000036519	Macaca_fascicularis
ENSMMUP00000072142	ENSMMUG00000042925	Macaca_mulatta
ENSMNEP00000017964	ENSMNEG00000032938	Macaca_nemestrina
ENSCATP00000038379	ENSCATG00000041881	Cercocebus_atys
ENSTGEP00000014227	ENSTGEG00000011552	Theropithecus_gelada
ENSPANP00000036419	ENSPANG00000030944	Papio_anubis
ENSMLEP00000029758	ENSMLEG00000039070	Mandrillus_leucophaeus
ENSTBEP00000015358	ENSTBEG00000017657	Tupaia_belangeri
ENSOCUP00000003214	ENSOCUG00000003708	Oryctolagus_cuniculus
ENSOPRP00000013420	ENSOPRG00000014710	Ochotona_princeps
