ENSNVIP00000002980	ENSNVIG00000002371	Neovison_vison	ENSNVIT00000003465
ENSCAFP00020019624	ENSCAFG00020015601	Canis_lupus_dingo
ENSFCAP00000056207	ENSFCAG00000048215	Felis_catus
ENSBIXP00000040332	ENSBIXG00000024372	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000056653	ENSBTAG00000054695	Bos_taurus
ENSBIXP00005028586	ENSBIXG00005008283	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000016535	ENSBMUG00000012541	Bos_mutus
ENSBBBP00000025907	ENSBBBG00000021397	Bison_bison_bison
ENSCHIP00000022765	ENSCHIG00000020619	Capra_hircus
ENSPTEP00000036446	ENSPTEG00000034236	Piliocolobus_tephrosceles
ENSRBIP00000023260	ENSRBIG00000035549	Rhinopithecus_bieti
ENSMLEP00000007502	ENSMLEG00000027815	Mandrillus_leucophaeus
ENSPANP00000029603	ENSPANG00000035528	Papio_anubis
ENSTGEP00000032653	ENSTGEG00000026089	Theropithecus_gelada
ENSMFAP00000009676	ENSMFAG00000034945	Macaca_fascicularis
ENSPPAP00000003716	ENSPPAG00000015674	Pan_paniscus
ENSPTRP00000092267	ENSPTRG00000046920	Pan_troglodytes
ENSSBOP00000040347	ENSSBOG00000036163	Saimiri_boliviensis_boliviensis
ENSCCAP00000009092	ENSCCAG00000022306	Cebus_capucinus_imitator
ENSANAP00000011247	ENSANAG00000023582	Aotus_nancymaae
