ENSSDAP00000010073	ENSSDAG00000009188	Spermophilus_dauricus
ENSUPAP00010001795	ENSUPAG00010001535	Urocitellus_parryii
ENSMMMP00000010148	ENSMMMG00000009050	Marmota_marmota_marmota
ENSOCUP00000032908	ENSOCUG00000031344	Oryctolagus_cuniculus
ENSPSMP00000025588	ENSPSMG00000017969	Prolemur_simus
ENSMICP00000051787	ENSMICG00000049111	Microcebus_murinus	ENSMICT00000073271
ENSMNEP00000027572	ENSMNEG00000037200	Macaca_nemestrina
ENSMFAP00000004930	ENSMFAG00000002146	Macaca_fascicularis
ENSPTEP00000010124	ENSPTEG00000011506	Piliocolobus_tephrosceles	ENSPTET00000015393
ENSNLEP00000041999	ENSNLEG00000033430	Nomascus_leucogenys
ENSRROP00000042183	ENSRROG00000044253	Rhinopithecus_roxellana
ENSRBIP00000034358	ENSRBIG00000040883	Rhinopithecus_bieti
ENSCANP00000021029	ENSCANG00000033956	Colobus_angolensis_palliatus
ENSPANP00000028172	ENSPANG00000034715	Papio_anubis
ENSCATP00000037598	ENSCATG00000041517	Cercocebus_atys
ENSMLEP00000035134	ENSMLEG00000041708	Mandrillus_leucophaeus
ENSTGEP00000028409	ENSTGEG00000022867	Theropithecus_gelada
ENSPTRP00000085525	ENSPTRG00000042710	Pan_troglodytes
ENSPPAP00000004317	ENSPPAG00000018195	Pan_paniscus
ENSGGOP00000044894	ENSGGOG00000039901	Gorilla_gorilla
ENSSBOP00000022835	ENSSBOG00000027939	Saimiri_boliviensis_boliviensis
ENSCCAP00000016909	ENSCCAG00000026259	Cebus_capucinus_imitator
ENSNVIP00000026069	ENSNVIG00000020176	Neovison_vison
ENSUMAP00000005353	ENSUMAG00000004260	Ursus_maritimus
ENSCAFP00020007617	ENSCAFG00020006139	Canis_lupus_dingo
ENSCAFP00000061934	ENSCAFG00000048366	Canis_lupus_familiaris
ENSVVUP00000017974	ENSVVUG00000013239	Vulpes_vulpes
ENSPPRP00000015261	ENSPPRG00000007908	Panthera_pardus
ENSPTIP00000014483	ENSPTIG00000013900	Panthera_tigris_altaica
ENSFCAP00000030206	ENSFCAG00000032434	Felis_catus
ENSECAP00000039174	ENSECAG00000028550	Equus_caballus
ENSEASP00005020477	ENSEASG00005014092	Equus_asinus_asinus
