ENSEBUP00000015043	ENSEBUG00000009481	Eptatretus_burgeri	ENSEBUT00000015619
ENSPMAP00000003813	ENSPMAG00000003501	Petromyzon_marinus	ENSPMAT00000003829
ENSACAP00000014720	ENSACAG00000014950	Anolis_carolinensis	ENSACAT00000015021
ENSPVIP00000006686	ENSPVIG00000005523	Pogona_vitticeps	ENSPVIT00000008639
ENSNSUP00000027398	ENSNSUG00000019598	Notechis_scutatus
ENSSMRP00000013267	ENSSMRG00000010315	Salvator_merianae
ENSSPUP00000017117	ENSSPUG00000013252	Sphenodon_punctatus
ENSAHAP00000019097	ENSAHAG00000013530	Apteryx_haastii
ENSAOWP00000017310	ENSAOWG00000011843	Apteryx_owenii
ENSARWP00000019808	ENSARWG00000013578	Apteryx_rowi
ENSDNVP00000010010	ENSDNVG00000007072	Dromaius_novaehollandiae
ENSNPEP00000011982	ENSNPEG00000008976	Nothoprocta_perdicaria
ENSCPGP00000000214	ENSCPGG00000000167	Calidris_pygmaea
ENSCPUP00000014532	ENSCPUG00000010210	Calidris_pugnax
ENSMUNP00000000843	ENSMUNG00000000773	Melopsittacus_undulatus
ENSLSDP00000011588	ENSLSDG00000008522	Lonchura_striata_domestica
ENSTGUP00000003935	ENSTGUG00000003814	Taeniopygia_guttata
ENSSCAP00000001181	ENSSCAG00000000971	Serinus_canaria
ENSZALP00000002293	ENSZALG00000002525	Zonotrichia_albicollis
ENSJHYP00000011860	ENSJHYG00000009260	Junco_hyemalis
ENSFALP00000009524	ENSFALG00000009130	Ficedula_albicollis
ENSCCEP00000009038	ENSCCEG00000009235	Cyanistes_caeruleus
ENSPMJP00000009459	ENSPMJG00000007564	Parus_major
ENSLCOP00000019528	ENSLCOG00000013813	Lepidothrix_coronata
ENSMVIP00005019467	ENSMVIG00005013780	Manacus_vitellinus
ENSABRP00000003856	ENSABRG00000003636	Anser_brachyrhynchus
ENSAPLP00000020575	ENSAPLG00000007890	Anas_platyrhynchos_platyrhynchos
ENSMGAP00000011742	ENSMGAG00000011239	Meleagris_gallopavo
ENSGALP00000053319	ENSGALG00000040363	Gallus_gallus
ENSCJPP00005015495	ENSCJPG00005012839	Coturnix_japonica
ENSNMEP00000010811	ENSNMEG00000010205	Numida_meleagris
ENSCPRP00005007035	ENSCPRG00005004994	Crocodylus_porosus
ENSGAGP00000031755	ENSGAGG00000022810	Gopherus_agassizii
ENSCABP00000021513	ENSCABG00000015858	Chelonoidis_abingdonii
ENSCPBP00000032451	ENSCPBG00000022755	Chrysemys_picta_bellii
ENSPSIP00000009313	ENSPSIG00000008418	Pelodiscus_sinensis
ENSMEUP00000007322	ENSMEUG00000008030	Notamacropus_eugenii
ENSMEUP00000006432	ENSMEUG00000007051	Notamacropus_eugenii
ENSVURP00010029981	ENSVURG00010022923	Vombatus_ursinus
ENSVURP00010024188	ENSVURG00010018541	Vombatus_ursinus
ENSPCIP00000023494	ENSPCIG00000017796	Phascolarctos_cinereus
ENSSHAP00000021558	ENSSHAG00000018261	Sarcophilus_harrisii
ENSMODP00000019037	ENSMODG00000015241	Monodelphis_domestica
ENSNVIP00000004775	ENSNVIG00000003851	Neovison_vison
ENSMPUP00000012832	ENSMPUG00000012931	Mustela_putorius_furo
ENSUAMP00000002388	ENSUAMG00000002202	Ursus_americanus
ENSUMAP00000020761	ENSUMAG00000015208	Ursus_maritimus
ENSAMEP00000016459	ENSAMEG00000015600	Ailuropoda_melanoleuca
ENSCAFP00020006947	ENSCAFG00020005633	Canis_lupus_dingo
ENSCAFP00000043695	ENSCAFG00000004453	Canis_lupus_familiaris
ENSVVUP00000030357	ENSVVUG00000022141	Vulpes_vulpes
ENSPTIP00000014328	ENSPTIG00000013792	Panthera_tigris_altaica
ENSPPRP00000015846	ENSPPRG00000008335	Panthera_pardus
ENSFCAP00000053427	ENSFCAG00000008874	Felis_catus
ENSECAP00000040210	ENSECAG00000022063	Equus_caballus
ENSEASP00005011310	ENSEASG00005007950	Equus_asinus_asinus
ENSPVAP00000015318	ENSPVAG00000016238	Pteropus_vampyrus
ENSMLUP00000000945	ENSMLUG00000001034	Myotis_lucifugus
ENSSARP00000002109	ENSSARG00000002341	Sorex_araneus
ENSCHIP00000023831	ENSCHIG00000021235	Capra_hircus
ENSOARP00000004512	ENSOARG00000004222	Ovis_aries
ENSBIXP00000001982	ENSBIXG00000008521	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005023907	ENSBIXG00005026574	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000030639	ENSBTAG00000008416	Bos_taurus
ENSBMUP00000023874	ENSBMUG00000017911	Bos_mutus
ENSBBBP00000023418	ENSBBBG00000004433	Bison_bison_bison
ENSTTRP00000016278	ENSTTRG00000017176	Tursiops_truncatus
ENSVPAP00000005966	ENSVPAG00000006430	Vicugna_pacos
ENSSSCP00000012044	ENSSSCG00000011297	Sus_scrofa_strain_reference
ENSPTRP00000089968	ENSPTRG00000014812	Pan_troglodytes
ENSPPAP00000019729	ENSPPAG00000033057	Pan_paniscus
ENSP00000495778	ENSG00000011198	Homo_sapiens
ENSGGOP00000040624	ENSGGOG00000004874	Gorilla_gorilla
ENSPPYP00000015621	ENSPPYG00000013964	Pongo_abelii
ENSNLEP00000044092	ENSNLEG00000005918	Nomascus_leucogenys
ENSRBIP00000001040	ENSRBIG00000005000	Rhinopithecus_bieti
ENSRROP00000024218	ENSRROG00000035919	Rhinopithecus_roxellana
ENSPTEP00000011645	ENSPTEG00000013117	Piliocolobus_tephrosceles
ENSCANP00000000195	ENSCANG00000000360	Colobus_angolensis_palliatus
ENSMFAP00000038637	ENSMFAG00000038665	Macaca_fascicularis
ENSMNEP00000043491	ENSMNEG00000044413	Macaca_nemestrina
