ENSCAFP00000027411	ENSCAFG00000018574	Canis_lupus_familiaris
ENSNBRP00000023700	ENSNBRG00000018089	Neolamprologus_brichardi
ENSNPEP00000008732	ENSNPEG00000006564	Nothoprocta_perdicaria
ENSCVAP00000031831	ENSCVAG00000021509	Cyprinodon_variegatus
ENSSMRP00000020169	ENSSMRG00000013291	Salvator_merianae
ENSOGAP00000000271	ENSOGAG00000000302	Otolemur_garnettii
ENSAHAP00000017106	ENSAHAG00000012190	Apteryx_haastii
ENSEASP00005025547	ENSEASG00005017399	Equus_asinus_asinus
ENSZALP00000023603	ENSZALG00000018246	Zonotrichia_albicollis
ENSUMAP00000033982	ENSUMAG00000024014	Ursus_maritimus
ENSPMGP00000003114	ENSPMGG00000002688	Periophthalmus_magnuspinnatus
ENSPCOP00000000954	ENSPCOG00000001806	Propithecus_coquereli
ENSMUSP00000044677	ENSMUSG00000037475	Mus_musculus_strain_reference_(CL57BL6)
ENSKMAP00000016570	ENSKMAG00000012263	Kryptolebias_marmoratus
ENSCCEP00000023512	ENSCCEG00000020835	Cyanistes_caeruleus
ENSAMXP00005053561	ENSAMXG00005023924	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSSCAP00000023648	ENSSCAG00000016892	Serinus_canaria
ENSABRP00000007115	ENSABRG00000006522	Anser_brachyrhynchus
ENSPTEP00000026899	ENSPTEG00000026837	Piliocolobus_tephrosceles
ENSPKIP00000004799	ENSPKIG00000021719	Paramormyrops_kingsleyae
ENSMALP00000028705	ENSMALG00000019718	Monopterus_albus
MGP_PahariEiJ_P0032593	MGP_PahariEiJ_G0017260	Mus_pahari_strain_PAHARI_EIJ
ENSSBOP00000002473	ENSSBOG00000007245	Saimiri_boliviensis_boliviensis
MGP_PahariEiJ_P0088926	MGP_PahariEiJ_G0031569	Mus_pahari_strain_PAHARI_EIJ
ENSPTRP00000038301	ENSPTRG00000022246	Pan_troglodytes
ENSAPLP00000018283	ENSAPLG00000010614	Anas_platyrhynchos_platyrhynchos
ENSACLP00000017716	ENSACLG00000012036	Astatotilapia_calliptera
ENSMOCP00000022322	ENSMOCG00000019406	Microtus_ochrogaster
ENSCSAVP00000013562	ENSCSAVG00000007943	Ciona_savignyi
ENSGAFP00000008791	ENSGAFG00000005902	Gambusia_affinis
ENSEEUP00000014253	ENSEEUG00000015598	Erinaceus_europaeus
ENSBTAP00000054942	ENSBTAG00000047341	Bos_taurus
ENSTSYP00000015490	ENSTSYG00000012292	Carlito_syrichta
ENSOARP00000003856	ENSOARG00000003614	Ovis_aries
ENSOPRP00000016006	ENSOPRG00000018222	Ochotona_princeps
ENSBIXP00005037506	ENSBIXG00005019462	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSJJAP00000004240	ENSJJAG00000008784	Jaculus_jaculus
ENSLACP00000018737	ENSLACG00000016494	Latimeria_chalumnae
ENSMLEP00000021666	ENSMLEG00000034817	Mandrillus_leucophaeus
