ENSMUSP00000047284	ENSMUSG00000034833	Mus_musculus_strain_reference_(CL57BL6)
ENSLBEP00000019623	ENSLBEG00000015088	Labrus_bergylta
ENSNSUP00000001104	ENSNSUG00000001011	Notechis_scutatus	ENSNSUT00000001211
ENSPMGP00000003983	ENSPMGG00000003375	Periophthalmus_magnuspinnatus
ENSCSAP00000001668	ENSCSAG00000005358	Chlorocebus_sabaeus
ENSPCOP00000008689	ENSPCOG00000015648	Propithecus_coquereli
ENSAPOP00000016745	ENSAPOG00000019871	Acanthochromis_polyacanthus
ENSMALP00000013847	ENSMALG00000009757	Monopterus_albus
ENSPNYP00000018716	ENSPNYG00000014134	Pundamilia_nyererei
ENSCVAP00000025230	ENSCVAG00000009843	Cyprinodon_variegatus
ENSONIP00000006435	ENSONIG00000005120	Oreochromis_niloticus
ENSSPAP00000030387	ENSSPAG00000022815	Stegastes_partitus
ENSVPAP00000005021	ENSVPAG00000005407	Vicugna_pacos
ENSTBEP00000004756	ENSTBEG00000005528	Tupaia_belangeri
ENSDORP00000009970	ENSDORG00000010605	Dipodomys_ordii
ENSCLAP00000015921	ENSCLAG00000010955	Chinchilla_lanigera
ENSCAFP00020023369	ENSCAFG00020018443	Canis_lupus_dingo
ENSPKIP00000015804	ENSPKIG00000002388	Paramormyrops_kingsleyae
ENSGAGP00000016985	ENSGAGG00000012679	Gopherus_agassizii
ENSMGAP00000019583	ENSMGAG00000017285	Meleagris_gallopavo
ENSPPYP00000005261	ENSPPYG00000004612	Pongo_abelii
ENSHGLP00100002240	ENSHGLG00100001746	Heterocephalus_glaber_HetGla_1.0
ENSSDUP00000025908	ENSSDUG00000018786	Seriola_dumerili
ENSCGRP00015037454	ENSCGRG00015028057	Cricetulus_griseus_CriGri-PICR
ENSEASP00005014739	ENSEASG00005010282	Equus_asinus_asinus
ENSGAFP00000019723	ENSGAFG00000013328	Gambusia_affinis
ENSCPBP00000013504	ENSCPBG00000010098	Chrysemys_picta_bellii
ENSPTRP00000008591	ENSPTRG00000005048	Pan_troglodytes
