ENSDARP00000139066	ENSDARG00000099511	Danio_rerio	ENSDART00000171432
ENSDARP00000149709	ENSDARG00000013022	Danio_rerio	ENSDART00000193046
ENSDARP00000138000	ENSDARG00000079645	Danio_rerio	ENSDART00000162028
ENSDARP00000096859	ENSDARG00000071636	Danio_rerio	ENSDART00000106081
ENSAPLP00000015368	ENSAPLG00000015518	Anas_platyrhynchos_platyrhynchos
ENSABRP00000016218	ENSABRG00000014217	Anser_brachyrhynchus
ENSGALP00000008427	ENSGALG00000005257	Gallus_gallus
ENSMGAP00000006945	ENSMGAG00000006885	Meleagris_gallopavo
ENSCJPP00005027817	ENSCJPG00005021517	Coturnix_japonica
ENSNMEP00000020644	ENSNMEG00000017712	Numida_meleagris
ENSDNVP00000009461	ENSDNVG00000006678	Dromaius_novaehollandiae
ENSARWP00000028003	ENSARWG00000018906	Apteryx_rowi
ENSAHAP00000010163	ENSAHAG00000007347	Apteryx_haastii
ENSCPUP00000005739	ENSCPUG00000004204	Calidris_pugnax
ENSPMJP00000026441	ENSPMJG00000019323	Parus_major
