ENSMUGP00000013846	ENSMUGG00000011990	Meriones_unguiculatus
ENSLCAP00010017473	ENSLCAG00010008295	Lates_calcarifer
ENSXETP00000011764	ENSXETG00000015325	Xenopus_tropicalis
ENSPTRP00000062771	ENSPTRG00000044746	Pan_troglodytes
ENSORLP00015028740	ENSORLG00015011519	Oryzias_latipes_ASM223469v1
ENSRNOP00000068606	ENSRNOG00000014811	Rattus_norvegicus
ENSBIXP00000030339	ENSBIXG00000012261	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSTTRP00000001825	ENSTTRG00000001944	Tursiops_truncatus
ENSOGAP00000017993	ENSOGAG00000028334	Otolemur_garnettii
ENSDNVP00000002590	ENSDNVG00000001856	Dromaius_novaehollandiae
ENSCPOP00000026816	ENSCPOG00000035127	Cavia_porcellus
ENSPEMP00000019168	ENSPEMG00000017548	Peromyscus_maniculatus_bairdii
ENSTGEP00000023502	ENSTGEG00000019024	Theropithecus_gelada
ENSPMGP00000002218	ENSPMGG00000001984	Periophthalmus_magnuspinnatus
ENSPCOP00000030642	ENSPCOG00000028052	Propithecus_coquereli
ENSHGLP00100023558	ENSHGLG00100017303	Heterocephalus_glaber_HetGla_1.0
ENSCATP00000016620	ENSCATG00000032222	Cercocebus_atys
ENSMEUP00000008382	ENSMEUG00000009186	Notamacropus_eugenii
ENSODEP00000016767	ENSODEG00000012351	Octodon_degus
ENSGACP00000007385	ENSGACG00000005591	Gasterosteus_aculeatus
ENSHHUP00000034704	ENSHHUG00000021840	Hucho_hucho
ENSMZEP00005007488	ENSMZEG00005005727	Maylandia_zebra
ENSOPRP00000002512	ENSOPRG00000002736	Ochotona_princeps
ENSLOCP00000006963	ENSLOCG00000005765	Lepisosteus_oculatus
ENSAOWP00000002035	ENSAOWG00000001476	Apteryx_owenii
ENSPSIP00000011253	ENSPSIG00000010180	Pelodiscus_sinensis
ENSNGAP00000024540	ENSNGAG00000022772	Nannospalax_galili
ENSABRP00000014245	ENSABRG00000012624	Anser_brachyrhynchus
ENSAMEP00000005853	ENSAMEG00000005547	Ailuropoda_melanoleuca
ENSCGOP00000038841	ENSCGOG00000017786	Cottoperca_gobio
ENSAPOP00000018454	ENSAPOG00000021811	Acanthochromis_polyacanthus
ENSDORP00000010149	ENSDORG00000010801	Dipodomys_ordii
ENSCABP00000018047	ENSCABG00000013402	Chelonoidis_abingdonii
ENSONIP00000002890	ENSONIG00000002313	Oreochromis_niloticus
ENSEEUP00000007751	ENSEEUG00000008537	Erinaceus_europaeus
ENSHGLP00100011091	ENSHGLG00100008248	Heterocephalus_glaber_HetGla_1.0
ENSP00000433769	ENSG00000187954	Homo_sapiens
ENSMICP00000034919	ENSMICG00000015866	Microcebus_murinus
ENSGGOP00000015852	ENSGGOG00000016252	Gorilla_gorilla
