ENSMAMP00000022368	ENSMAMG00000015062	Mastacembelus_armatus
ENSMMOP00000007474	ENSMMOG00000005824	Mola_mola
ENSCGRP00000023221	ENSCGRG00000016815	Cricetulus_griseus_CriGri_1.0
ENSGACP00000022871	ENSGACG00000017317	Gasterosteus_aculeatus
ENSVVUP00000010674	ENSVVUG00000007845	Vulpes_vulpes
ENSANAP00000009771	ENSANAG00000022838	Aotus_nancymaae
ENSXMAP00000036148	ENSXMAG00000009868	Xiphophorus_maculatus
ENSAHAP00000004641	ENSAHAG00000003600	Apteryx_haastii	ENSAHAT00000005216
ENSOGAP00000002956	ENSOGAG00000003310	Otolemur_garnettii
ENSXCOP00000014657	ENSXCOG00000011127	Xiphophorus_couchianus
ENSHGLP00100019517	ENSHGLG00100014387	Heterocephalus_glaber_HetGla_1.0
ENSFCAP00000018305	ENSFCAG00000030844	Felis_catus
ENSEEUP00000005477	ENSEEUG00000005964	Erinaceus_europaeus
ENSCGOP00000002188	ENSCGOG00000001152	Cottoperca_gobio
ENSCGRP00000001937	ENSCGRG00000001444	Cricetulus_griseus_CriGri_1.0
ENSOCUP00000048095	ENSOCUG00000008013	Oryctolagus_cuniculus
MGP_CAROLIEiJ_P0074076	MGP_CAROLIEiJ_G0028447	Mus_caroli_strain_CAROLI_EIJ
ENSGMOP00000003523	ENSGMOG00000003304	Gadus_morhua
ENSSMRP00000016621	ENSSMRG00000012955	Salvator_merianae
ENSFALP00000006302	ENSFALG00000005987	Ficedula_albicollis
ENSVPAP00000002569	ENSVPAG00000002775	Vicugna_pacos
ENSGALP00000016858	ENSGALG00000010363	Gallus_gallus	ENSGALT00000016877
ENSPREP00000002150	ENSPREG00000001535	Poecilia_reticulata
ENSMUNP00000000210	ENSMUNG00000000237	Melopsittacus_undulatus
ENSSHAP00000000791	ENSSHAG00000000708	Sarcophilus_harrisii
ENSNMEP00000016319	ENSNMEG00000014415	Numida_meleagris	ENSNMET00000024328
ENSLBEP00000021926	ENSLBEG00000016794	Labrus_bergylta
ENSAOCP00000018214	ENSAOCG00000023400	Amphiprion_ocellaris
ENSBMUP00000027513	ENSBMUG00000020601	Bos_mutus
ENSOARP00000000100	ENSOARG00000000117	Ovis_aries
ENSNBRP00000015154	ENSNBRG00000011703	Neolamprologus_brichardi
ENSMEUP00000000715	ENSMEUG00000000768	Notamacropus_eugenii
ENSUAMP00000007888	ENSUAMG00000006644	Ursus_americanus
ENSRNOP00000010241	ENSRNOG00000007304	Rattus_norvegicus
ENSPNYP00000014846	ENSPNYG00000011226	Pundamilia_nyererei
MGP_SPRETEiJ_P0076959	MGP_SPRETEiJ_G0029451	Mus_spretus_strain_SPRET/EiJ
ENSPSIP00000018640	ENSPSIG00000016415	Pelodiscus_sinensis
ENSPFOP00000005664	ENSPFOG00000005400	Poecilia_formosa
ENSNLEP00000011895	ENSNLEG00000009752	Nomascus_leucogenys
ENSNVIP00000028716	ENSNVIG00000022153	Neovison_vison
ENSACLP00000034206	ENSACLG00000023117	Astatotilapia_calliptera
ENSBTAP00000013357	ENSBTAG00000010120	Bos_taurus
ENSLACP00000012631	ENSLACG00000011128	Latimeria_chalumnae
ENSSMAP00000009426	ENSSMAG00000005759	Scophthalmus_maximus
ENSCSAP00000000592	ENSCSAG00000004279	Chlorocebus_sabaeus
ENSECRP00000003954	ENSECRG00000002597	Erpetoichthys_calabaricus
ENSNGAP00000002327	ENSNGAG00000001945	Nannospalax_galili
ENSPANP00000012282	ENSPANG00000011209	Papio_anubis
ENSTTRP00000003674	ENSTTRG00000003903	Tursiops_truncatus
ENSSDUP00000010697	ENSSDUG00000007794	Seriola_dumerili
ENSLCAP00010003474	ENSLCAG00010001789	Lates_calcarifer
ENSSHAP00000001492	ENSSHAG00000001330	Sarcophilus_harrisii
ENSSPUP00000012303	ENSSPUG00000009435	Sphenodon_punctatus
ENSMNEP00000045344	ENSMNEG00000045189	Macaca_nemestrina
ENSODEP00000000731	ENSODEG00000000605	Octodon_degus
ENSMVIP00005003074	ENSMVIG00005002409	Manacus_vitellinus
ENSPVIP00000024294	ENSPVIG00000017746	Pogona_vitticeps
ENSCPOP00000009982	ENSCPOG00000011101	Cavia_porcellus
ENSAPLP00000010124	ENSAPLG00000010277	Anas_platyrhynchos_platyrhynchos
ENSCMIP00000025444	ENSCMIG00000011166	Callorhinchus_milii
ENSCPRP00005018639	ENSCPRG00005013035	Crocodylus_porosus
ENSDNOP00000008245	ENSDNOG00000010620	Dasypus_novemcinctus
ENSSPAP00000012441	ENSSPAG00000009420	Stegastes_partitus
ENSEASP00005018265	ENSEASG00005012596	Equus_asinus_asinus
ENSECAP00000051033	ENSECAG00000011129	Equus_caballus
ENSTGUP00000003142	ENSTGUG00000002965	Taeniopygia_guttata
ENSLBEP00000004431	ENSLBEG00000003405	Labrus_bergylta
ENSCAPP00000017462	ENSCAPG00000017108	Cavia_aperea
ENSCPGP00000007349	ENSCPGG00000005261	Calidris_pygmaea
ENSMUGP00000003840	ENSMUGG00000003499	Meriones_unguiculatus
ENSTGEP00000006342	ENSTGEG00000005206	Theropithecus_gelada
ENSSDAP00000000235	ENSSDAG00000000199	Spermophilus_dauricus
ENSHBUP00000006138	ENSHBUG00000007549	Haplochromis_burtoni
ENSPPAP00000011063	ENSPPAG00000028738	Pan_paniscus
ENSORLP00000009137	ENSORLG00000007283	Oryzias_latipes_ASM223467v1
ENSBIXP00005013271	ENSBIXG00005017431	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSAPEP00000017939	ENSAPEG00000012760	Amphiprion_percula
ENSUAMP00000029509	ENSUAMG00000022732	Ursus_americanus
ENSCCNP00000018226	ENSCCNG00000018500	Castor_canadensis
ENSEEEP00000028717	ENSEEEG00000013059	Electrophorus_electricus
ENSSFOP00015027406	ENSSFOG00015017569	Scleropages_formosus
ENSDORP00000003339	ENSDORG00000003569	Dipodomys_ordii
ENSLOCP00000011209	ENSLOCG00000009178	Lepisosteus_oculatus
ENSUPAP00010012584	ENSUPAG00010010189	Urocitellus_parryii
ENSRBIP00000012055	ENSRBIG00000029948	Rhinopithecus_bieti
