ENSPRNP00000053870	ENSPRNG00000025355	Parambassis_ranga
ENSACIP00000015360	ENSACIG00000011928	Amphilophus_citrinellus
ENSORLP00000014503	ENSORLG00000011576	Oryzias_latipes_ASM223467v1
ENSORLP00015029551	ENSORLG00015012720	Oryzias_latipes_ASM223469v1
ENSORLP00020025069	ENSORLG00020006789	Oryzias_latipes_ASM223471v1
ENSOMEP00000010260	ENSOMEG00000011537	Oryzias_melastigma
ENSPMEP00000034914	ENSPMEG00000024278	Poecilia_mexicana
ENSPREP00000013000	ENSPREG00000008834	Poecilia_reticulata
ENSGAFP00000020262	ENSGAFG00000013695	Gambusia_affinis
ENSXMAP00000020603	ENSXMAG00000022465	Xiphophorus_maculatus
ENSXCOP00000025965	ENSXCOG00000019398	Xiphophorus_couchianus
ENSGWIP00000006942	ENSGWIG00000004066	Gouania_willdenowi
ENSLCRP00005023696	ENSLCRG00005009534	Larimichthys_crocea
ENSMMOP00000021847	ENSMMOG00000016616	Mola_mola	ENSMMOT00000022211
ENSLBEP00000020838	ENSLBEG00000016031	Labrus_bergylta
ENSCGOP00000031277	ENSCGOG00000014626	Cottoperca_gobio
ENSSLDP00000029643	ENSSLDG00000022869	Seriola_lalandi_dorsalis
ENSSDUP00000013217	ENSSDUG00000009605	Seriola_dumerili
ENSLCAP00010021167	ENSLCAG00010009979	Lates_calcarifer
ENSSMAP00000020408	ENSSMAG00000012531	Scophthalmus_maximus
ENSATEP00000032345	ENSATEG00000022272	Anabas_testudineus
ENSBSLP00000029013	ENSBSLG00000014515	Betta_splendens
ENSMALP00000014404	ENSMALG00000010132	Monopterus_albus
ENSAPEP00000013290	ENSAPEG00000009465	Amphiprion_percula
ENSAOCP00000001717	ENSAOCG00000004787	Amphiprion_ocellaris
ENSHCOP00000027419	ENSHCOG00000019233	Hippocampus_comes
ENSPMGP00000028511	ENSPMGG00000022951	Periophthalmus_magnuspinnatus
ENSPKIP00000014855	ENSPKIG00000001769	Paramormyrops_kingsleyae
