ENSMMOP00000017432	ENSMMOG00000013249	Mola_mola
ENSPREP00000034277	ENSPREG00000023213	Poecilia_reticulata
ENSMEUP00000001158	ENSMEUG00000001256	Notamacropus_eugenii
ENSMPUP00000017557	ENSMPUG00000017669	Mustela_putorius_furo
ENSAMEP00000004196	ENSAMEG00000003960	Ailuropoda_melanoleuca
ENSMNEP00000042342	ENSMNEG00000043900	Macaca_nemestrina
ENSMODP00000047861	ENSMODG00000016216	Monodelphis_domestica
ENSAOWP00000006506	ENSAOWG00000004469	Apteryx_owenii
ENSLCAP00010019338	ENSLCAG00010009078	Lates_calcarifer
ENSPEMP00000013407	ENSPEMG00000013465	Peromyscus_maniculatus_bairdii
ENSNVIP00000014857	ENSNVIG00000011576	Neovison_vison
ENSACLP00000024667	ENSACLG00000016726	Astatotilapia_calliptera
ENSMAUP00000005917	ENSMAUG00000007993	Mesocricetus_auratus
ENSVVUP00000026081	ENSVVUG00000019151	Vulpes_vulpes
ENSEBUP00000011910	ENSEBUG00000007615	Eptatretus_burgeri
ENSPKIP00000008514	ENSPKIG00000023972	Paramormyrops_kingsleyae
ENSTGUP00000005446	ENSTGUG00000005271	Taeniopygia_guttata
ENSOARP00000004196	ENSOARG00000003928	Ovis_aries
ENSHCOP00000006674	ENSHCOG00000008516	Hippocampus_comes
ENSJHYP00000003128	ENSJHYG00000002536	Junco_hyemalis
ENSRNOP00000071432	ENSRNOG00000008895	Rattus_norvegicus
ENSACAP00000016570	ENSACAG00000016803	Anolis_carolinensis
ENSONIP00000020795	ENSONIG00000016515	Oreochromis_niloticus
ENSJJAP00000019168	ENSJJAG00000020210	Jaculus_jaculus
ENSOPRP00000013039	ENSOPRG00000014280	Ochotona_princeps
ENSPVAP00000007003	ENSPVAG00000007420	Pteropus_vampyrus
ENSTGEP00000026892	ENSTGEG00000021663	Theropithecus_gelada
ENSOMEP00000013476	ENSOMEG00000014972	Oryzias_melastigma
ENSECAP00000048870	ENSECAG00000024450	Equus_caballus
ENSPLAP00000015078	ENSPLAG00000018927	Poecilia_latipinna
ENSELUP00000029571	ENSELUG00000006558	Esox_lucius
ENSCCNP00000006512	ENSCCNG00000006872	Castor_canadensis
ENSFDAP00000001159	ENSFDAG00000011216	Fukomys_damarensis
ENSXETP00000006340	ENSXETG00000009018	Xenopus_tropicalis
ENSTNIP00000015407	ENSTNIG00000012436	Tetraodon_nigroviridis
ENSAPLP00000024308	ENSAPLG00000008950	Anas_platyrhynchos_platyrhynchos
ENSPMGP00000013954	ENSPMGG00000011466	Periophthalmus_magnuspinnatus
ENSSDUP00000007263	ENSSDUG00000005321	Seriola_dumerili
ENSCPUP00000003809	ENSCPUG00000002906	Calidris_pugnax
ENSPCAP00000010044	ENSPCAG00000010776	Procavia_capensis
ENSPPRP00000018305	ENSPPRG00000010106	Panthera_pardus
ENSAMXP00000004435	ENSAMXG00000004326	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000004435
ENSCGOP00000009196	ENSCGOG00000004571	Cottoperca_gobio
ENSLAFP00000017398	ENSLAFG00000022279	Loxodonta_africana
ENSARWP00000002029	ENSARWG00000001556	Apteryx_rowi
ENSAHAP00000000615	ENSAHAG00000000540	Apteryx_haastii
ENSLOCP00000002274	ENSLOCG00000001957	Lepisosteus_oculatus
ENSBTAP00000016078	ENSBTAG00000012116	Bos_taurus
ENSGMOP00000012211	ENSGMOG00000011421	Gadus_morhua
ENSNLEP00000008037	ENSNLEG00000006596	Nomascus_leucogenys
ENSHGLP00000013296	ENSHGLG00000009505	Heterocephalus_glaber_HetGla_female_1.0
ENSZALP00000005409	ENSZALG00000005013	Zonotrichia_albicollis
ENSPTEP00000020824	ENSPTEG00000021985	Piliocolobus_tephrosceles
ENSABRP00000022370	ENSABRG00000018904	Anser_brachyrhynchus
ENSMICP00000007509	ENSMICG00000008240	Microcebus_murinus
ENSAOCP00000009003	ENSAOCG00000002513	Amphiprion_ocellaris
ENSBBBP00000017733	ENSBBBG00000001755	Bison_bison_bison
ENSKMAP00000018200	ENSKMAG00000013544	Kryptolebias_marmoratus
