ENSHBUP00000016371	ENSHBUG00000018302	Haplochromis_burtoni
ENSHHUP00000082882	ENSHHUG00000048104	Hucho_hucho
ENSORLP00000032505	ENSORLG00000013947	Oryzias_latipes_ASM223467v1
ENSSMAP00000000341	ENSSMAG00000000226	Scophthalmus_maximus
ENSDARP00000090963	ENSDARG00000041569	Danio_rerio
ENSCVAP00000012947	ENSCVAG00000015396	Cyprinodon_variegatus
ENSAOCP00000018086	ENSAOCG00000023324	Amphiprion_ocellaris
ENSLCRP00005063733	ENSLCRG00005023357	Larimichthys_crocea
ENSPLAP00000010954	ENSPLAG00000014084	Poecilia_latipinna
ENSPMEP00000032020	ENSPMEG00000019555	Poecilia_mexicana
ENSATEP00000008118	ENSATEG00000005709	Anabas_testudineus
ENSHCOP00000011964	ENSHCOG00000014906	Hippocampus_comes
ENSLCAP00010044761	ENSLCAG00010020780	Lates_calcarifer
ENSNBRP00000021475	ENSNBRG00000016481	Neolamprologus_brichardi
ENSMMOP00000003184	ENSMMOG00000002543	Mola_mola
ENSPREP00000028842	ENSPREG00000019506	Poecilia_reticulata
ENSAPEP00000007870	ENSAPEG00000005688	Amphiprion_percula
ENSPKIP00000018307	ENSPKIG00000003830	Paramormyrops_kingsleyae
ENSHCOP00000010495	ENSHCOG00000013144	Hippocampus_comes
ENSDARP00000120746	ENSDARG00000041595	Danio_rerio
ENSAPOP00000013756	ENSAPOG00000016561	Acanthochromis_polyacanthus
ENSPLAP00000006544	ENSPLAG00000008714	Poecilia_latipinna
ENSTNIP00000007171	ENSTNIG00000004525	Tetraodon_nigroviridis
ENSCHAP00000046680	ENSCHAG00000021517	Clupea_harengus
ENSORLP00020015163	ENSORLG00020016167	Oryzias_latipes_ASM223471v1
ENSAPOP00000007078	ENSAPOG00000008965	Acanthochromis_polyacanthus
ENSBSLP00000049831	ENSBSLG00000023704	Betta_splendens
ENSSPAP00000021943	ENSSPAG00000016571	Stegastes_partitus
ENSMZEP00005021564	ENSMZEG00005016193	Maylandia_zebra
ENSCGOP00000005984	ENSCGOG00000003135	Cottoperca_gobio
ENSAMXP00000003793	ENSAMXG00000003711	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000003793
ENSONIP00000013526	ENSONIG00000010760	Oreochromis_niloticus
ENSELUP00000035079	ENSELUG00000013883	Esox_lucius
ENSIPUP00000028164	ENSIPUG00000019075	Ictalurus_punctatus
ENSPMGP00000002247	ENSPMGG00000001993	Periophthalmus_magnuspinnatus
ENSPRNP00000015270	ENSPRNG00000008228	Parambassis_ranga
ENSPFOP00000016140	ENSPFOG00000015926	Poecilia_formosa
ENSGAFP00000022457	ENSGAFG00000015170	Gambusia_affinis
ENSACIP00000019738	ENSACIG00000015245	Amphilophus_citrinellus
ENSKMAP00000009909	ENSKMAG00000007453	Kryptolebias_marmoratus
ENSONIP00000005040	ENSONIG00000003999	Oreochromis_niloticus
ENSGACP00000003336	ENSGACG00000002541	Gasterosteus_aculeatus
ENSOMEP00000014596	ENSOMEG00000016127	Oryzias_melastigma
ENSXMAP00000020594	ENSXMAG00000006261	Xiphophorus_maculatus
ENSSDUP00000004473	ENSSDUG00000003148	Seriola_dumerili
ENSGMOP00000000154	ENSGMOG00000000154	Gadus_morhua
ENSMAMP00000018035	ENSMAMG00000012187	Mastacembelus_armatus
ENSLBEP00000009405	ENSLBEG00000007304	Labrus_bergylta
ENSEEEP00000021228	ENSEEEG00000010338	Electrophorus_electricus
ENSPNYP00000008841	ENSPNYG00000006596	Pundamilia_nyererei
ENSSPAP00000021959	ENSSPAG00000016591	Stegastes_partitus
ENSSLDP00000006378	ENSSLDG00000005094	Seriola_lalandi_dorsalis
ENSORLP00015025327	ENSORLG00015006371	Oryzias_latipes_ASM223469v1
ENSPFOP00000030263	ENSPFOG00000023224	Poecilia_formosa
ENSGWIP00000000874	ENSGWIG00000000529	Gouania_willdenowi
ENSACLP00000001681	ENSACLG00000001188	Astatotilapia_calliptera
ENSPNAP00000011303	ENSPNAG00000016947	Pygocentrus_nattereri
ENSAMXP00005040942	ENSAMXG00005019129	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSTRUP00000003117	ENSTRUG00000001356	Takifugu_rubripes
