ENSSPUP00000009551	ENSSPUG00000007412	Sphenodon_punctatus
ENSCLAP00000015196	ENSCLAG00000010463	Chinchilla_lanigera
ENSOMEP00000029468	ENSOMEG00000013125	Oryzias_melastigma
ENSTGUP00000012708	ENSTGUG00000012342	Taeniopygia_guttata
ENSPMGP00000028011	ENSPMGG00000022579	Periophthalmus_magnuspinnatus
ENSECAP00000015892	ENSECAG00000018266	Equus_caballus
ENSCPUP00000010873	ENSCPUG00000007711	Calidris_pugnax
ENSCMIP00000025469	ENSCMIG00000011189	Callorhinchus_milii
ENSGWIP00000026311	ENSGWIG00000013816	Gouania_willdenowi
ENSSLDP00000028353	ENSSLDG00000021941	Seriola_lalandi_dorsalis
ENSGACP00000008851	ENSGACG00000006686	Gasterosteus_aculeatus
ENSCANP00000038032	ENSCANG00000042708	Colobus_angolensis_palliatus
ENSKMAP00000025963	ENSKMAG00000019246	Kryptolebias_marmoratus
ENSHCOP00000008718	ENSHCOG00000011065	Hippocampus_comes
ENSPRNP00000030947	ENSPRNG00000015455	Parambassis_ranga
ENSFDAP00000002403	ENSFDAG00000012115	Fukomys_damarensis
ENSMAMP00000035744	ENSMAMG00000024010	Mastacembelus_armatus
ENSMOCP00000021911	ENSMOCG00000019114	Microtus_ochrogaster
ENSZALP00000017433	ENSZALG00000014081	Zonotrichia_albicollis
ENSECRP00000031103	ENSECRG00000021082	Erpetoichthys_calabaricus
ENSCSAP00000007076	ENSCSAG00000010854	Chlorocebus_sabaeus
ENSOANP00000026839	ENSOANG00000021094	Ornithorhynchus_anatinus
ENSCJAP00000073148	ENSCJAG00000047934	Callithrix_jacchus
ENSODEP00000001751	ENSODEG00000001378	Octodon_degus
ENSAPEP00000020318	ENSAPEG00000014515	Amphiprion_percula
ENSONIP00000008899	ENSONIG00000007048	Oreochromis_niloticus
ENSBMUP00000021903	ENSBMUG00000016512	Bos_mutus
MGP_PahariEiJ_P0041578	MGP_PahariEiJ_G0019800	Mus_pahari_strain_PAHARI_EIJ
ENSCJPP00005005666	ENSCJPG00005005383	Coturnix_japonica
