ENSCATP00000016412	ENSCATG00000032142	Cercocebus_atys
ENSMLEP00000000538	ENSMLEG00000001600	Mandrillus_leucophaeus
ENSMMUP00000044893	ENSMMUG00000044879	Macaca_mulatta
ENSMFAP00000012005	ENSMFAG00000020678	Macaca_fascicularis
ENSMNEP00000003635	ENSMNEG00000016913	Macaca_nemestrina
ENSPTEP00000012182	ENSPTEG00000013722	Piliocolobus_tephrosceles
ENSMMUP00000071789	ENSMMUG00000059690	Macaca_mulatta
ENSTGEP00000012759	ENSTGEG00000010424	Theropithecus_gelada
ENSTGEP00000004014	ENSTGEG00000003380	Theropithecus_gelada
ENSPTEP00000041274	ENSPTEG00000037852	Piliocolobus_tephrosceles
ENSPTRP00000084257	ENSPTRG00000051369	Pan_troglodytes
ENSPPAP00000001408	ENSPPAG00000006329	Pan_paniscus
ENSGGOP00000035660	ENSGGOG00000037204	Gorilla_gorilla
ENSNLEP00000034467	ENSNLEG00000027799	Nomascus_leucogenys
ENSCPGP00000004868	ENSCPGG00000003506	Calidris_pygmaea	ENSCPGT00000005345
