ENSLCRP00005033093	ENSLCRG00005013037	Larimichthys_crocea
ENSPCOP00000005444	ENSPCOG00000013626	Propithecus_coquereli
ENSSMAP00000015227	ENSSMAG00000009347	Scophthalmus_maximus
ENSJHYP00000016589	ENSJHYG00000012661	Junco_hyemalis
FBpp0080563	FBgn0051803	Drosophila_melanogaster
ENSRROP00000043953	ENSRROG00000044978	Rhinopithecus_roxellana
ENSGAFP00000007669	ENSGAFG00000005219	Gambusia_affinis
ENSMMUP00000070985	ENSMMUG00000053865	Macaca_mulatta
ENSSPUP00000015009	ENSSPUG00000011524	Sphenodon_punctatus
ENSMVIP00005009539	ENSMVIG00005007027	Manacus_vitellinus
ENSPEMP00000010110	ENSPEMG00000011206	Peromyscus_maniculatus_bairdii
ENSMMOP00000010827	ENSMMOG00000008351	Mola_mola
ENSAOCP00000026801	ENSAOCG00000015253	Amphiprion_ocellaris
ENSLBEP00000004478	ENSLBEG00000003432	Labrus_bergylta
ENSXCOP00000009493	ENSXCOG00000007227	Xiphophorus_couchianus
MGP_PahariEiJ_P0044467	MGP_PahariEiJ_G0020649	Mus_pahari_strain_PAHARI_EIJ
ENSGAGP00000024594	ENSGAGG00000017959	Gopherus_agassizii	ENSGAGT00000027991
ENSTRUP00000038794	ENSTRUG00000015187	Takifugu_rubripes
ENSNSUP00000011339	ENSNSUG00000008549	Notechis_scutatus
ENSCJPP00005013430	ENSCJPG00005011325	Coturnix_japonica
ENSCANP00000036243	ENSCANG00000041823	Colobus_angolensis_palliatus
ENSCGRP00015025299	ENSCGRG00015019208	Cricetulus_griseus_CriGri-PICR
ENSHGLP00000020182	ENSHGLG00000014446	Heterocephalus_glaber_HetGla_female_1.0
ENSCPBP00000036331	ENSCPBG00000025233	Chrysemys_picta_bellii
ENSTGUP00000008399	ENSTGUG00000008150	Taeniopygia_guttata
ENSTTRP00000006012	ENSTTRG00000006353	Tursiops_truncatus
ENSORLP00020022526	ENSORLG00020002870	Oryzias_latipes_ASM223471v1
ENSCSEP00000030677	ENSCSEG00000019644	Cynoglossus_semilaevis
ENSHCOP00000023662	ENSHCOG00000012389	Hippocampus_comes
ENSAMXP00005020282	ENSAMXG00005010499	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSMAMP00000022979	ENSMAMG00000015475	Mastacembelus_armatus
ENSFCAP00000052145	ENSFCAG00000009746	Felis_catus
MGP_SPRETEiJ_P0046842	MGP_SPRETEiJ_G0022569	Mus_spretus_strain_SPRET/EiJ
ENSCGRP00001026261	ENSCGRG00001023633	Cricetulus_griseus_CHOK1GS_HDv1
ENSARWP00000006563	ENSARWG00000004631	Apteryx_rowi
ENSACLP00000011962	ENSACLG00000008189	Astatotilapia_calliptera
ENSSHAP00000017628	ENSSHAG00000014967	Sarcophilus_harrisii
ENSSLDP00000033230	ENSSLDG00000025434	Seriola_lalandi_dorsalis
ENSPRNP00000041772	ENSPRNG00000020465	Parambassis_ranga
ENSOGAP00000015205	ENSOGAG00000016981	Otolemur_garnettii
ENSELUP00000004108	ENSELUG00000005279	Esox_lucius
ENSDCDP00000006539	ENSDCDG00000003423	Denticeps_clupeoides
ENSPPYP00000019372	ENSPPYG00000017281	Pongo_abelii
ENSEEUP00000004976	ENSEEUG00000005483	Erinaceus_europaeus
