Y53C12A.1.1	WBGene00006940	Caenorhabditis_elegans_strain_N2	Y53C12A.1.1
F35H8.7.1	WBGene00006938	Caenorhabditis_elegans_strain_N2	F35H8.7.1
FBpp0076824	FBgn0040298	Drosophila_melanogaster	FBtr0077118
ENSLACP00000022110	ENSLACG00000012504	Latimeria_chalumnae	ENSLACT00000026166
ENSXETP00000034894	ENSXETG00000014676	Xenopus_tropicalis	ENSXETT00000037613
ENSGAGP00000009249	ENSGAGG00000007307	Gopherus_agassizii
ENSCABP00000004148	ENSCABG00000003044	Chelonoidis_abingdonii
ENSCPBP00000007535	ENSCPBG00000005859	Chrysemys_picta_bellii
ENSPSIP00000013073	ENSPSIG00000011732	Pelodiscus_sinensis
ENSPVIP00000031080	ENSPVIG00000022849	Pogona_vitticeps
ENSACAP00000006742	ENSACAG00000006893	Anolis_carolinensis
ENSNSUP00000009621	ENSNSUG00000007364	Notechis_scutatus
ENSSMRP00000005389	ENSSMRG00000004389	Salvator_merianae
ENSAHAP00000003886	ENSAHAG00000003047	Apteryx_haastii
ENSAOWP00000015776	ENSAOWG00000010730	Apteryx_owenii
ENSCPGP00000026473	ENSCPGG00000018251	Calidris_pygmaea
ENSCPUP00000011755	ENSCPUG00000008329	Calidris_pugnax
ENSBIXP00000000397	ENSBIXG00000029874	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005001964	ENSBIXG00005008403	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000006206	ENSBTAG00000004729	Bos_taurus
ENSBMUP00000019054	ENSBMUG00000014431	Bos_mutus
ENSBBBP00000026825	ENSBBBG00000022861	Bison_bison_bison
ENSCHIP00000008738	ENSCHIG00000011829	Capra_hircus
ENSOARP00000000760	ENSOARG00000000736	Ovis_aries
ENSTTRP00000015738	ENSTTRG00000016601	Tursiops_truncatus
ENSSSCP00000052537	ENSSSCG00000029264	Sus_scrofa_strain_reference
ENSECAP00000020376	ENSECAG00000022901	Equus_caballus
ENSEASP00005008370	ENSEASG00005006028	Equus_asinus_asinus
ENSUMAP00000000711	ENSUMAG00000000779	Ursus_maritimus
ENSUAMP00000009558	ENSUAMG00000007932	Ursus_americanus
ENSAMEP00000008844	ENSAMEG00000008397	Ailuropoda_melanoleuca
ENSNVIP00000030174	ENSNVIG00000023251	Neovison_vison
ENSMPUP00000015147	ENSMPUG00000015256	Mustela_putorius_furo
ENSCAFP00000028562	ENSCAFG00000019338	Canis_lupus_familiaris
ENSCAFP00020033373	ENSCAFG00020025901	Canis_lupus_dingo
ENSVVUP00000011789	ENSVVUG00000008691	Vulpes_vulpes
ENSPPRP00000012598	ENSPPRG00000006105	Panthera_pardus
ENSPTIP00000020771	ENSPTIG00000018138	Panthera_tigris_altaica
ENSFCAP00000055419	ENSFCAG00000007272	Felis_catus
ENSPVAP00000008480	ENSPVAG00000008988	Pteropus_vampyrus
ENSMLUP00000011834	ENSMLUG00000013006	Myotis_lucifugus
ENSCATP00000042306	ENSCATG00000043771	Cercocebus_atys
ENSMMUP00000005636	ENSMMUG00000004214	Macaca_mulatta
ENSTGEP00000032462	ENSTGEG00000025942	Theropithecus_gelada
ENSCSAP00000006516	ENSCSAG00000010299	Chlorocebus_sabaeus
ENSPTEP00000015414	ENSPTEG00000017093	Piliocolobus_tephrosceles
ENSP00000262300	ENSG00000127564	Homo_sapiens
ENSPPYP00000007944	ENSPPYG00000007022	Pongo_abelii
ENSRROP00000030333	ENSRROG00000038930	Rhinopithecus_roxellana
ENSRBIP00000018143	ENSRBIG00000033066	Rhinopithecus_bieti
ENSCANP00000006780	ENSCANG00000022512	Colobus_angolensis_palliatus
ENSMFAP00000043879	ENSMFAG00000039317	Macaca_fascicularis
ENSPANP00000021871	ENSPANG00000021736	Papio_anubis
ENSMNEP00000045071	ENSMNEG00000045080	Macaca_nemestrina
ENSPTRP00000013108	ENSPTRG00000007674	Pan_troglodytes
ENSPPAP00000027506	ENSPPAG00000036826	Pan_paniscus
ENSGGOP00000005036	ENSGGOG00000005141	Gorilla_gorilla
ENSNLEP00000011575	ENSNLEG00000009515	Nomascus_leucogenys
ENSMLEP00000019907	ENSMLEG00000034173	Mandrillus_leucophaeus
ENSCCAP00000036484	ENSCCAG00000036161	Cebus_capucinus_imitator
ENSSBOP00000010423	ENSSBOG00000022064	Saimiri_boliviensis_boliviensis
ENSCJAP00000028413	ENSCJAG00000015415	Callithrix_jacchus
ENSANAP00000023099	ENSANAG00000029282	Aotus_nancymaae
ENSTSYP00000030585	ENSTSYG00000002537	Carlito_syrichta
ENSMICP00000001707	ENSMICG00000001874	Microcebus_murinus
ENSPCOP00000023783	ENSPCOG00000024043	Propithecus_coquereli
ENSPSMP00000024228	ENSPSMG00000017083	Prolemur_simus
ENSOGAP00000007687	ENSOGAG00000008578	Otolemur_garnettii
ENSPEMP00000009355	ENSPEMG00000010679	Peromyscus_maniculatus_bairdii
ENSMOCP00000012933	ENSMOCG00000012885	Microtus_ochrogaster
ENSCGRP00015014988	ENSCGRG00015011492	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000008684	ENSCGRG00000006343	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001010700	ENSCGRG00001012525	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000003913	ENSMAUG00000004623	Mesocricetus_auratus
ENSMSIP00000016975	ENSMSIG00000014522	Mus_spicilegus
MGP_SPRETEiJ_P0044859	MGP_SPRETEiJ_G0022066	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000024701	ENSMUSG00000023908	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0042958	MGP_CAROLIEiJ_G0021156	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0055250	MGP_PahariEiJ_G0023473	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000004936	ENSRNOG00000003657	Rattus_norvegicus
ENSMUGP00000020808	ENSMUGG00000017545	Meriones_unguiculatus
ENSNGAP00000010835	ENSNGAG00000013153	Nannospalax_galili
ENSJJAP00000006998	ENSJJAG00000011513	Jaculus_jaculus
ENSCLAP00000021589	ENSCLAG00000014774	Chinchilla_lanigera
ENSODEP00000017490	ENSODEG00000012892	Octodon_degus
ENSCPOP00000007603	ENSCPOG00000008456	Cavia_porcellus
ENSCAPP00000013407	ENSCAPG00000014033	Cavia_aperea
ENSHGLP00100021609	ENSHGLG00100015901	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000022135	ENSHGLG00000015795	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000004361	ENSFDAG00000013602	Fukomys_damarensis
ENSCCNP00000017819	ENSCCNG00000018118	Castor_canadensis
ENSDORP00000005448	ENSDORG00000005819	Dipodomys_ordii
ENSSDAP00000009575	ENSSDAG00000008709	Spermophilus_dauricus
ENSUPAP00010023241	ENSUPAG00010018406	Urocitellus_parryii
ENSMMMP00000009326	ENSMMMG00000008342	Marmota_marmota_marmota
ENSSTOP00000024526	ENSSTOG00000010078	Ictidomys_tridecemlineatus
ENSOPRP00000015317	ENSOPRG00000016771	Ochotona_princeps
ENSOCUP00000014758	ENSOCUG00000017181	Oryctolagus_cuniculus
ENSDNOP00000013717	ENSDNOG00000017689	Dasypus_novemcinctus
ENSCHOP00000003606	ENSCHOG00000004075	Choloepus_hoffmanni
ENSPCAP00000006187	ENSPCAG00000006628	Procavia_capensis
ENSLAFP00000001884	ENSLAFG00000002254	Loxodonta_africana
ENSETEP00000004389	ENSETEG00000005402	Echinops_telfairi
ENSETEP00000010283	ENSETEG00000012684	Echinops_telfairi
ENSETEP00000001331	ENSETEG00000001649	Echinops_telfairi
ENSEEUP00000013138	ENSEEUG00000014397	Erinaceus_europaeus
ENSMODP00000034567	ENSMODG00000016524	Monodelphis_domestica
ENSSHAP00000020752	ENSSHAG00000017599	Sarcophilus_harrisii
ENSVURP00010000594	ENSVURG00010000531	Vombatus_ursinus
ENSVURP00010030012	ENSVURG00010022947	Vombatus_ursinus
ENSPCIP00000022813	ENSPCIG00000017311	Phascolarctos_cinereus
ENSMEUP00000001241	ENSMEUG00000001356	Notamacropus_eugenii
ENSOANP00000010004	ENSOANG00000006251	Ornithorhynchus_anatinus
ENSHHUP00000033915	ENSHHUG00000021385	Hucho_hucho
ENSELUP00000024631	ENSELUG00000023367	Esox_lucius
ENSLCRP00005005180	ENSLCRG00005002662	Larimichthys_crocea
ENSLBEP00000029297	ENSLBEG00000022199	Labrus_bergylta
ENSCGOP00000021171	ENSCGOG00000010224	Cottoperca_gobio
ENSAPEP00000016038	ENSAPEG00000011438	Amphiprion_percula
ENSAOCP00000031870	ENSAOCG00000023805	Amphiprion_ocellaris
ENSAPOP00000033954	ENSAPOG00000022863	Acanthochromis_polyacanthus
ENSSPAP00000006419	ENSSPAG00000004944	Stegastes_partitus
ENSPRNP00000025645	ENSPRNG00000012976	Parambassis_ranga
ENSCVAP00000022677	ENSCVAG00000005491	Cyprinodon_variegatus
ENSFHEP00000008429	ENSFHEG00000009609	Fundulus_heteroclitus
ENSXMAP00000018490	ENSXMAG00000018446	Xiphophorus_maculatus
ENSXCOP00000001242	ENSXCOG00000001011	Xiphophorus_couchianus
ENSGAFP00000028606	ENSGAFG00000019339	Gambusia_affinis
ENSPFOP00000007412	ENSPFOG00000007455	Poecilia_formosa
ENSPMEP00000031643	ENSPMEG00000018893	Poecilia_mexicana
ENSPLAP00000029998	ENSPLAG00000020674	Poecilia_latipinna
ENSORLP00000007215	ENSORLG00000005741	Oryzias_latipes_ASM223467v1
ENSORLP00015013702	ENSORLG00015014592	Oryzias_latipes_ASM223469v1
ENSORLP00020015572	ENSORLG00020016586	Oryzias_latipes_ASM223471v1
ENSOMEP00000034885	ENSOMEG00000021762	Oryzias_melastigma
ENSGWIP00000048959	ENSGWIG00000023926	Gouania_willdenowi
ENSMZEP00005019133	ENSMZEG00005014363	Maylandia_zebra
ENSACLP00000015205	ENSACLG00000010357	Astatotilapia_calliptera
ENSPNYP00000023254	ENSPNYG00000017506	Pundamilia_nyererei
ENSHBUP00000024532	ENSHBUG00000006044	Haplochromis_burtoni
ENSONIP00000014512	ENSONIG00000011527	Oreochromis_niloticus
ENSNBRP00000014956	ENSNBRG00000011577	Neolamprologus_brichardi
ENSACIP00000018343	ENSACIG00000014312	Amphilophus_citrinellus
ENSMMOP00000001521	ENSMMOG00000001277	Mola_mola
ENSKMAP00000028638	ENSKMAG00000021235	Kryptolebias_marmoratus
ENSGACP00000009564	ENSGACG00000007222	Gasterosteus_aculeatus
ENSSLDP00000023071	ENSSLDG00000018021	Seriola_lalandi_dorsalis
ENSSDUP00000031893	ENSSDUG00000022916	Seriola_dumerili
ENSLCAP00010013869	ENSLCAG00010006583	Lates_calcarifer
ENSSMAP00000028566	ENSSMAG00000017490	Scophthalmus_maximus
ENSCSEP00000014554	ENSCSEG00000009368	Cynoglossus_semilaevis
ENSMALP00000011238	ENSMALG00000007988	Monopterus_albus
ENSMAMP00000019982	ENSMAMG00000013454	Mastacembelus_armatus
ENSATEP00000028482	ENSATEG00000019662	Anabas_testudineus
ENSBSLP00000037914	ENSBSLG00000018496	Betta_splendens
ENSTRUP00000048543	ENSTRUG00000024878	Takifugu_rubripes
ENSTNIP00000022121	ENSTNIG00000018934	Tetraodon_nigroviridis
ENSPMGP00000017756	ENSPMGG00000014442	Periophthalmus_magnuspinnatus
ENSHCOP00000013508	ENSHCOG00000000469	Hippocampus_comes
ENSCHAP00000006618	ENSCHAG00000004134	Clupea_harengus
ENSDCDP00000026615	ENSDCDG00000019664	Denticeps_clupeoides
ENSAMXP00000020887	ENSAMXG00000020282	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005051260	ENSAMXG00005023180	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000036663	ENSPNAG00000027650	Pygocentrus_nattereri
ENSEEEP00000047926	ENSEEEG00000022566	Electrophorus_electricus
ENSIPUP00000030730	ENSIPUG00000020745	Ictalurus_punctatus
ENSDARP00000100899	ENSDARG00000074730	Danio_rerio
ENSGMOP00000005960	ENSGMOG00000005592	Gadus_morhua
ENSPKIP00000036242	ENSPKIG00000014877	Paramormyrops_kingsleyae
ENSSFOP00015021113	ENSSFOG00015013598	Scleropages_formosus
ENSECRP00000016434	ENSECRG00000010940	Erpetoichthys_calabaricus
ENSCMIP00000012529	ENSCMIG00000006359	Callorhinchus_milii
ENSPMAP00000003413	ENSPMAG00000003136	Petromyzon_marinus
ENSEBUP00000025314	ENSEBUG00000015613	Eptatretus_burgeri
YJL187C_mRNA	YJL187C	Saccharomyces_cerevisiae_strain_S288C
