ENSSLDP00000028939	ENSSLDG00000022358	Seriola_lalandi_dorsalis
ENSSCAP00000006505	ENSSCAG00000005088	Serinus_canaria
ENSLSDP00000010343	ENSLSDG00000007619	Lonchura_striata_domestica
ENSSMRP00000018632	ENSSMRG00000014497	Salvator_merianae
ENSZALP00000021893	ENSZALG00000017076	Zonotrichia_albicollis
ENSAOCP00000012844	ENSAOCG00000017358	Amphiprion_ocellaris
ENSAMXP00000042382	ENSAMXG00000037676	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSLCOP00000019647	ENSLCOG00000013915	Lepidothrix_coronata
ENSLACP00000016474	ENSLACG00000014515	Latimeria_chalumnae
ENSAMXP00005021809	ENSAMXG00005011302	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSCPGP00000003997	ENSCPGG00000002966	Calidris_pygmaea
ENSCPUP00000002467	ENSCPUG00000001906	Calidris_pugnax
ENSJHYP00000000175	ENSJHYG00000000198	Junco_hyemalis
ENSCPBP00000024663	ENSCPBG00000017562	Chrysemys_picta_bellii
ENSATEP00000015634	ENSATEG00000010861	Anabas_testudineus
ENSMVIP00005015363	ENSMVIG00005011061	Manacus_vitellinus
ENSTGUP00000009072	ENSTGUG00000008813	Taeniopygia_guttata	ENSTGUT00000009169
ENSCHAP00000035543	ENSCHAG00000016847	Clupea_harengus
ENSPMGP00000001028	ENSPMGG00000000934	Periophthalmus_magnuspinnatus
ENSPRNP00000054796	ENSPRNG00000025741	Parambassis_ranga
ENSARWP00000014398	ENSARWG00000009966	Apteryx_rowi
ENSGAGP00000001222	ENSGAGG00000000979	Gopherus_agassizii
ENSHHUP00000000012	ENSHHUG00000000023	Hucho_hucho
ENSCCEP00000008711	ENSCCEG00000008937	Cyanistes_caeruleus
ENSPNAP00000021161	ENSPNAG00000005729	Pygocentrus_nattereri
ENSAOWP00000025419	ENSAOWG00000017180	Apteryx_owenii
ENSLOCP00000002507	ENSLOCG00000002153	Lepisosteus_oculatus
ENSLCAP00010026113	ENSLCAG00010012212	Lates_calcarifer
ENSPVIP00000012599	ENSPVIG00000009833	Pogona_vitticeps
ENSCGOP00000014538	ENSCGOG00000007083	Cottoperca_gobio
ENSCJPP00005012664	ENSCJPG00005010753	Coturnix_japonica
ENSSDUP00000023203	ENSSDUG00000016873	Seriola_dumerili
ENSDNVP00000019087	ENSDNVG00000013355	Dromaius_novaehollandiae
ENSMUNP00000018780	ENSMUNG00000014379	Melopsittacus_undulatus
ENSSFOP00015002122	ENSSFOG00015001401	Scleropages_formosus
ENSSMAP00000005963	ENSSMAG00000003685	Scophthalmus_maximus
ENSCGOP00000015029	ENSCGOG00000007280	Cottoperca_gobio
ENSPSIP00000002576	ENSPSIG00000002528	Pelodiscus_sinensis
ENSPKIP00000015711	ENSPKIG00000002339	Paramormyrops_kingsleyae
ENSNPEP00000019368	ENSNPEG00000014437	Nothoprocta_perdicaria
ENSGALP00000041208	ENSGALG00000028696	Gallus_gallus
ENSCPRP00005000565	ENSCPRG00005000446	Crocodylus_porosus
ENSSPUP00000002263	ENSSPUG00000001764	Sphenodon_punctatus
ENSACAP00000000052	ENSACAG00000000053	Anolis_carolinensis
ENSNMEP00000011282	ENSNMEG00000010624	Numida_meleagris
ENSCMIP00000027559	ENSCMIG00000012006	Callorhinchus_milii
ENSDARP00000067027	ENSDARG00000045586	Danio_rerio
ENSAPEP00000022671	ENSAPEG00000016163	Amphiprion_percula
ENSAPLP00000005130	ENSAPLG00000005561	Anas_platyrhynchos_platyrhynchos
ENSABRP00000020326	ENSABRG00000017331	Anser_brachyrhynchus
ENSCSEP00000003422	ENSCSEG00000002238	Cynoglossus_semilaevis
ENSMGAP00000007296	ENSMGAG00000007193	Meleagris_gallopavo
ENSLBEP00000006342	ENSLBEG00000004893	Labrus_bergylta
ENSLCRP00005054024	ENSLCRG00005020203	Larimichthys_crocea
ENSPMJP00000011063	ENSPMJG00000008624	Parus_major
ENSCABP00000021585	ENSCABG00000015905	Chelonoidis_abingdonii
ENSDCDP00000011902	ENSDCDG00000006912	Denticeps_clupeoides
ENSAHAP00000011161	ENSAHAG00000008108	Apteryx_haastii
ENSIPUP00000006780	ENSIPUG00000004699	Ictalurus_punctatus
