FBpp0084375	FBgn0039417	Drosophila_melanogaster
Y54H5A.2.1	WBGene00021900	Caenorhabditis_elegans_strain_N2
ENSCINP00000030425	ENSCING00000018681	Ciona_intestinalis
ENSCINP00000031695	ENSCING00000018703	Ciona_intestinalis
ENSCSAVP00000019825	ENSCSAVG00000011643	Ciona_savignyi
ENSGAGP00000007990	ENSGAGG00000006356	Gopherus_agassizii	ENSGAGT00000009206
ENSCABP00000008270	ENSCABG00000006244	Chelonoidis_abingdonii	ENSCABT00000009068
ENSCPBP00000026568	ENSCPBG00000018876	Chrysemys_picta_bellii
ENSSFOP00015016377	ENSSFOG00015010554	Scleropages_formosus
ENSPKIP00000002317	ENSPKIG00000020253	Paramormyrops_kingsleyae
ENSAMXP00005012953	ENSAMXG00005006986	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000040754	ENSAMXG00000037748	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000010163	ENSPNAG00000015671	Pygocentrus_nattereri
ENSEEEP00000007415	ENSEEEG00000003896	Electrophorus_electricus
ENSIPUP00000018195	ENSIPUG00000012316	Ictalurus_punctatus
ENSDARP00000130997	ENSDARG00000101259	Danio_rerio
ENSDCDP00000053464	ENSDCDG00000032053	Denticeps_clupeoides
ENSHHUP00000042987	ENSHHUG00000026436	Hucho_hucho
ENSHHUP00000017913	ENSHHUG00000011161	Hucho_hucho
ENSELUP00000041345	ENSELUG00000022164	Esox_lucius
ENSAOCP00000020318	ENSAOCG00000004303	Amphiprion_ocellaris
ENSAPEP00000031619	ENSAPEG00000022424	Amphiprion_percula
ENSAPOP00000014539	ENSAPOG00000017431	Acanthochromis_polyacanthus
ENSSPAP00000011194	ENSSPAG00000008489	Stegastes_partitus
ENSGWIP00000002153	ENSGWIG00000001182	Gouania_willdenowi
ENSPFOP00000003240	ENSPFOG00000003252	Poecilia_formosa
ENSPMEP00000017810	ENSPMEG00000020692	Poecilia_mexicana
ENSPLAP00000004390	ENSPLAG00000006101	Poecilia_latipinna
ENSPREP00000014354	ENSPREG00000009723	Poecilia_reticulata
ENSXCOP00000023374	ENSXCOG00000017456	Xiphophorus_couchianus
ENSXMAP00000000315	ENSXMAG00000000313	Xiphophorus_maculatus
ENSGAFP00000021036	ENSGAFG00000014182	Gambusia_affinis
ENSCVAP00000019190	ENSCVAG00000022524	Cyprinodon_variegatus
ENSKMAP00000016405	ENSKMAG00000012229	Kryptolebias_marmoratus
ENSORLP00000024585	ENSORLG00000019785	Oryzias_latipes_ASM223467v1
ENSORLP00015006125	ENSORLG00015006940	Oryzias_latipes_ASM223469v1
ENSORLP00020027480	ENSORLG00020010452	Oryzias_latipes_ASM223471v1
ENSOMEP00000003187	ENSOMEG00000004111	Oryzias_melastigma
ENSPNYP00000029495	ENSPNYG00000022220	Pundamilia_nyererei
ENSHBUP00000012850	ENSHBUG00000014590	Haplochromis_burtoni
ENSMZEP00005022741	ENSMZEG00005017028	Maylandia_zebra
ENSACLP00000007033	ENSACLG00000004720	Astatotilapia_calliptera
ENSNBRP00000016889	ENSNBRG00000013015	Neolamprologus_brichardi
ENSONIP00000000588	ENSONIG00000000462	Oreochromis_niloticus
ENSACIP00000013481	ENSACIG00000010475	Amphilophus_citrinellus
ENSPRNP00000052485	ENSPRNG00000024804	Parambassis_ranga
ENSTRUP00000050615	ENSTRUG00000010126	Takifugu_rubripes
ENSTNIP00000008608	ENSTNIG00000005883	Tetraodon_nigroviridis
ENSMMOP00000017886	ENSMMOG00000013571	Mola_mola
ENSLCRP00005052727	ENSLCRG00005019797	Larimichthys_crocea
ENSCGOP00000016166	ENSCGOG00000007772	Cottoperca_gobio
ENSCGOP00000016086	ENSCGOG00000007742	Cottoperca_gobio
ENSGACP00000005295	ENSGACG00000004030	Gasterosteus_aculeatus
ENSLBEP00000022220	ENSLBEG00000017077	Labrus_bergylta
ENSLBEP00000035041	ENSLBEG00000026331	Labrus_bergylta
ENSSMAP00000006234	ENSSMAG00000003836	Scophthalmus_maximus
ENSCSEP00000019881	ENSCSEG00000012684	Cynoglossus_semilaevis
ENSSLDP00000008397	ENSSLDG00000006647	Seriola_lalandi_dorsalis
ENSSDUP00000026853	ENSSDUG00000019464	Seriola_dumerili
ENSLCAP00010008713	ENSLCAG00010004203	Lates_calcarifer
ENSMAMP00000001150	ENSMAMG00000000802	Mastacembelus_armatus
ENSMALP00000032940	ENSMALG00000022661	Monopterus_albus
ENSATEP00000003160	ENSATEG00000002220	Anabas_testudineus
ENSBSLP00000006257	ENSBSLG00000003194	Betta_splendens
ENSHCOP00000024314	ENSHCOG00000013569	Hippocampus_comes
ENSPMGP00000023413	ENSPMGG00000018936	Periophthalmus_magnuspinnatus
ENSGMOP00000000413	ENSGMOG00000000422	Gadus_morhua
ENSLOCP00000009057	ENSLOCG00000007462	Lepisosteus_oculatus
