ENSTTRP00000013215	ENSTTRG00000013928	Tursiops_truncatus
ENSPKIP00000025220	ENSPKIG00000008175	Paramormyrops_kingsleyae
ENSHBUP00000016163	ENSHBUG00000018137	Haplochromis_burtoni
ENSSLDP00000023147	ENSSLDG00000018075	Seriola_lalandi_dorsalis
ENSCHAP00000025031	ENSCHAG00000012220	Clupea_harengus
ENSHCOP00000028053	ENSHCOG00000020390	Hippocampus_comes
ENSLOCP00000019067	ENSLOCG00000015493	Lepisosteus_oculatus
ENSAMXP00005013052	ENSAMXG00005006998	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPRNP00000038105	ENSPRNG00000018848	Parambassis_ranga
ENSEASP00005001066	ENSEASG00005000906	Equus_asinus_asinus
ENSTRUP00000015049	ENSTRUG00000006183	Takifugu_rubripes
ENSKMAP00000027541	ENSKMAG00000020417	Kryptolebias_marmoratus
ENSMICP00000015602	ENSMICG00000017125	Microcebus_murinus
ENSMLEP00000017974	ENSMLEG00000033166	Mandrillus_leucophaeus
MGP_CAROLIEiJ_P0042803	MGP_CAROLIEiJ_G0021093	Mus_caroli_strain_CAROLI_EIJ
ENSACLP00000016896	ENSACLG00000011496	Astatotilapia_calliptera
ENSCCAP00000008829	ENSCCAG00000022159	Cebus_capucinus_imitator
ENSKMAP00000016668	ENSKMAG00000012416	Kryptolebias_marmoratus
ENSCPOP00000017174	ENSCPOG00000024133	Cavia_porcellus
ENSLCOP00000009134	ENSLCOG00000006682	Lepidothrix_coronata
ENSSMAP00000007613	ENSSMAG00000004701	Scophthalmus_maximus
ENSPRNP00000048094	ENSPRNG00000022995	Parambassis_ranga
ENSPANP00000005240	ENSPANG00000015697	Papio_anubis
ENSLCRP00005025473	ENSLCRG00005010176	Larimichthys_crocea
ENSMUSP00000014917	ENSMUSG00000014773	Mus_musculus_strain_reference_(CL57BL6)
ENSPTIP00000024632	ENSPTIG00000020668	Panthera_tigris_altaica
ENSAOCP00000000989	ENSAOCG00000003916	Amphiprion_ocellaris
ENSFHEP00000002047	ENSFHEG00000002839	Fundulus_heteroclitus
ENSAPEP00000008418	ENSAPEG00000006042	Amphiprion_percula
ENSATEP00000031769	ENSATEG00000021885	Anabas_testudineus
ENSBSLP00000014329	ENSBSLG00000007537	Betta_splendens
ENSCAPP00000006759	ENSCAPG00000008837	Cavia_aperea
ENSXMAP00000014491	ENSXMAG00000014461	Xiphophorus_maculatus
ENSCGRP00001013832	ENSCGRG00001014863	Cricetulus_griseus_CHOK1GS_HDv1
ENSIPUP00000019604	ENSIPUG00000013296	Ictalurus_punctatus
ENSSPAP00000013032	ENSSPAG00000009866	Stegastes_partitus
ENSOMEP00000004250	ENSOMEG00000005200	Oryzias_melastigma
ENSOMEP00000028280	ENSOMEG00000011280	Oryzias_melastigma
ENSPREP00000014738	ENSPREG00000009944	Poecilia_reticulata
ENSUAMP00000028916	ENSUAMG00000022306	Ursus_americanus
ENSMFAP00000043385	ENSMFAG00000002701	Macaca_fascicularis
ENSNPEP00000010427	ENSNPEG00000007826	Nothoprocta_perdicaria
ENSCJPP00005003796	ENSCJPG00005003913	Coturnix_japonica
ENSFCAP00000059464	ENSFCAG00000004661	Felis_catus
ENSUPAP00010008484	ENSUPAG00010006815	Urocitellus_parryii
ENSTRUP00000026316	ENSTRUG00000010455	Takifugu_rubripes
ENSACLP00000013144	ENSACLG00000008971	Astatotilapia_calliptera
ENSPMGP00000001580	ENSPMGG00000001407	Periophthalmus_magnuspinnatus
ENSORLP00020002853	ENSORLG00020003617	Oryzias_latipes_ASM223471v1
ENSCSAP00000008010	ENSCSAG00000011815	Chlorocebus_sabaeus
ENSTGEP00000035412	ENSTGEG00000028176	Theropithecus_gelada
ENSHHUP00000091418	ENSHHUG00000052736	Hucho_hucho
ENSSHAP00000017182	ENSSHAG00000014603	Sarcophilus_harrisii
ENSMAMP00000029273	ENSMAMG00000019707	Mastacembelus_armatus
ENSMMMP00000008803	ENSMMMG00000007861	Marmota_marmota_marmota
ENSNBRP00000005363	ENSNBRG00000004234	Neolamprologus_brichardi
ENSGAFP00000007883	ENSGAFG00000005357	Gambusia_affinis
ENSVVUP00000009270	ENSVVUG00000006909	Vulpes_vulpes
ENSMOCP00000001652	ENSMOCG00000001279	Microtus_ochrogaster
ENSUMAP00000011417	ENSUMAG00000008582	Ursus_maritimus
ENSLACP00000009351	ENSLACG00000008249	Latimeria_chalumnae
ENSAOCP00000015610	ENSAOCG00000020419	Amphiprion_ocellaris
ENSSCAP00000004052	ENSSCAG00000003330	Serinus_canaria
ENSHHUP00000066027	ENSHHUG00000038935	Hucho_hucho
ENSSFOP00015023660	ENSSFOG00015015205	Scleropages_formosus
ENSLCAP00010056443	ENSLCAG00010026344	Lates_calcarifer
ENSCJAP00000069799	ENSCJAG00000020658	Callithrix_jacchus
ENSAOWP00000020323	ENSAOWG00000013756	Apteryx_owenii
ENSCHIP00000023056	ENSCHIG00000020787	Capra_hircus
ENSCHAP00000002081	ENSCHAG00000001484	Clupea_harengus	ENSCHAT00000002391
ENSCABP00000017702	ENSCABG00000013158	Chelonoidis_abingdonii
ENSCSEP00000031986	ENSCSEG00000020522	Cynoglossus_semilaevis
ENSMLUP00000004628	ENSMLUG00000005071	Myotis_lucifugus
ENSCPUP00000017421	ENSCPUG00000012003	Calidris_pugnax
ENSORLP00000028786	ENSORLG00000027625	Oryzias_latipes_ASM223467v1
ENSLSDP00000023434	ENSLSDG00000016466	Lonchura_striata_domestica
ENSNGAP00000003103	ENSNGAG00000003324	Nannospalax_galili
ENSBSLP00000030963	ENSBSLG00000015187	Betta_splendens
ENSSMRP00000028699	ENSSMRG00000022069	Salvator_merianae
ENSHBUP00000014478	ENSHBUG00000016370	Haplochromis_burtoni
ENSTNIP00000005857	ENSTNIG00000003274	Tetraodon_nigroviridis
ENSJHYP00000008693	ENSJHYG00000006896	Junco_hyemalis
ENSXMAP00000032377	ENSXMAG00000014878	Xiphophorus_maculatus
ENSECRP00000005491	ENSECRG00000003695	Erpetoichthys_calabaricus
ENSAHAP00000015625	ENSAHAG00000011175	Apteryx_haastii
ENSCPRP00005024997	ENSCPRG00005017339	Crocodylus_porosus
ENSPLAP00000018919	ENSPLAG00000023727	Poecilia_latipinna
ENSPEMP00000002935	ENSPEMG00000003760	Peromyscus_maniculatus_bairdii
ENSORLP00020034349	ENSORLG00020020781	Oryzias_latipes_ASM223471v1
ENSLCRP00005046814	ENSLCRG00005017669	Larimichthys_crocea
ENSIPUP00000008949	ENSIPUG00000006099	Ictalurus_punctatus
ENSSTOP00000018225	ENSSTOG00000026359	Ictidomys_tridecemlineatus
ENSVURP00010025624	ENSVURG00010019615	Vombatus_ursinus
ENSPCOP00000004575	ENSPCOG00000012947	Propithecus_coquereli
ENSGMOP00000013299	ENSGMOG00000012424	Gadus_morhua
ENSORLP00000043224	ENSORLG00000010606	Oryzias_latipes_ASM223467v1
ENSMZEP00005014912	ENSMZEG00005011205	Maylandia_zebra
ENSPPAP00000028099	ENSPPAG00000037108	Pan_paniscus
MGP_SPRETEiJ_P0044683	MGP_SPRETEiJ_G0021994	Mus_spretus_strain_SPRET/EiJ
ENSBIXP00000018797	ENSBIXG00000007529	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSPPRP00000010211	ENSPPRG00000004452	Panthera_pardus
ENSCAFP00000006075	ENSCAFG00000004094	Canis_lupus_familiaris
ENSMAUP00000012278	ENSMAUG00000012625	Mesocricetus_auratus
ENSNLEP00000028248	ENSNLEG00000000274	Nomascus_leucogenys
ENSBTAP00000067364	ENSBTAG00000031476	Bos_taurus
ENSMUNP00000001711	ENSMUNG00000001471	Melopsittacus_undulatus
ENSCPGP00000021540	ENSCPGG00000015022	Calidris_pygmaea
ENSSBOP00000015636	ENSSBOG00000024537	Saimiri_boliviensis_boliviensis
ENSDORP00000000697	ENSDORG00000000746	Dipodomys_ordii
ENSPNAP00000009525	ENSPNAG00000003348	Pygocentrus_nattereri
ENSCGRP00015019255	ENSCGRG00015014781	Cricetulus_griseus_CriGri-PICR
ENSMALP00000004384	ENSMALG00000003161	Monopterus_albus
ENSSLDP00000031178	ENSSLDG00000023953	Seriola_lalandi_dorsalis
ENSPFOP00000021178	ENSPFOG00000010460	Poecilia_formosa
ENSSPAP00000017586	ENSSPAG00000013265	Stegastes_partitus
ENSPPYP00000019254	ENSPPYG00000017189	Pongo_abelii
ENSSMAP00000034511	ENSSMAG00000021110	Scophthalmus_maximus
ENSPMEP00000000983	ENSPMEG00000001839	Poecilia_mexicana
