ENSPPYP00000009548	ENSPPYG00000008497	Pongo_abelii	ENSPPYT00000009929
ENSPTEP00000019073	ENSPTEG00000020459	Piliocolobus_tephrosceles	ENSPTET00000027904
ENSPTRP00000058814	ENSPTRG00000033797	Pan_troglodytes	ENSPTRT00000067228
ENSPPAP00000028622	ENSPPAG00000037357	Pan_paniscus	ENSPPAT00000051470
ENSGGOP00000012559	ENSGGOG00000040439	Gorilla_gorilla	ENSGGOT00000012921
ENSNLEP00000030449	ENSNLEG00000034336	Nomascus_leucogenys	ENSNLET00000041674
ENSNLEP00000041202	ENSNLEG00000029670	Nomascus_leucogenys	ENSNLET00000052154
ENSTGEP00000025141	ENSTGEG00000020285	Theropithecus_gelada	ENSTGET00000029938
ENSCJAP00000070656	ENSCJAG00000051718	Callithrix_jacchus	ENSCJAT00000114559
ENSCCNP00000011215	ENSCCNG00000011615	Castor_canadensis	ENSCCNT00000014676
ENSTTRP00000012724	ENSTTRG00000013410	Tursiops_truncatus
