ENSLBEP00000006754	ENSLBEG00000005191	Labrus_bergylta
ENSTNIP00000017074	ENSTNIG00000014067	Tetraodon_nigroviridis
ENSSDUP00000003157	ENSSDUG00000002390	Seriola_dumerili
ENSSLDP00000016403	ENSSLDG00000012993	Seriola_lalandi_dorsalis
ENSSMAP00000007048	ENSSMAG00000004167	Scophthalmus_maximus
ENSLCAP00010011702	ENSLCAG00010005531	Lates_calcarifer
ENSLCRP00005049428	ENSLCRG00005018659	Larimichthys_crocea
ENSMMOP00000028285	ENSMMOG00000021381	Mola_mola
ENSGACP00000025105	ENSGACG00000018990	Gasterosteus_aculeatus
ENSCGOP00000002962	ENSCGOG00000001537	Cottoperca_gobio
ENSMALP00000008620	ENSMALG00000006104	Monopterus_albus
ENSMAMP00000017424	ENSMAMG00000011746	Mastacembelus_armatus
ENSATEP00000027966	ENSATEG00000019332	Anabas_testudineus
ENSBSLP00000005370	ENSBSLG00000002924	Betta_splendens
ENSAPEP00000018774	ENSAPEG00000013411	Amphiprion_percula
ENSAOCP00000006423	ENSAOCG00000010049	Amphiprion_ocellaris
ENSAPOP00000025976	ENSAPOG00000009524	Acanthochromis_polyacanthus
ENSSPAP00000010981	ENSSPAG00000008349	Stegastes_partitus
ENSPRNP00000021938	ENSPRNG00000011297	Parambassis_ranga
ENSXMAP00000040488	ENSXMAG00000012876	Xiphophorus_maculatus
ENSXCOP00000019215	ENSXCOG00000014443	Xiphophorus_couchianus
ENSGAFP00000015487	ENSGAFG00000010469	Gambusia_affinis
ENSPFOP00000004990	ENSPFOG00000004577	Poecilia_formosa
ENSPLAP00000008245	ENSPLAG00000010763	Poecilia_latipinna
ENSPMEP00000028765	ENSPMEG00000014049	Poecilia_mexicana
ENSPREP00000000559	ENSPREG00000000419	Poecilia_reticulata
ENSFHEP00000008316	ENSFHEG00000009577	Fundulus_heteroclitus
ENSCVAP00000000925	ENSCVAG00000001873	Cyprinodon_variegatus
ENSKMAP00000025095	ENSKMAG00000018579	Kryptolebias_marmoratus
ENSACLP00000030352	ENSACLG00000020487	Astatotilapia_calliptera
ENSHBUP00000016482	ENSHBUG00000018543	Haplochromis_burtoni
ENSPNYP00000001813	ENSPNYG00000001374	Pundamilia_nyererei
ENSNBRP00000031331	ENSNBRG00000023797	Neolamprologus_brichardi
ENSONIP00000022334	ENSONIG00000017713	Oreochromis_niloticus
ENSACIP00000012056	ENSACIG00000009298	Amphilophus_citrinellus
ENSGWIP00000013904	ENSGWIG00000007887	Gouania_willdenowi
ENSCSEP00000017858	ENSCSEG00000011429	Cynoglossus_semilaevis
ENSHCOP00000016719	ENSHCOG00000020488	Hippocampus_comes
ENSPMGP00000020316	ENSPMGG00000016443	Periophthalmus_magnuspinnatus
ENSORLP00000014888	ENSORLG00000011882	Oryzias_latipes_ASM223467v1
ENSORLP00020004462	ENSORLG00020005284	Oryzias_latipes_ASM223471v1
ENSORLP00015003084	ENSORLG00015003791	Oryzias_latipes_ASM223469v1
ENSOMEP00000029533	ENSOMEG00000013233	Oryzias_melastigma
ENSCMIP00000005065	ENSCMIG00000002995	Callorhinchus_milii
ENSHHUP00000082821	ENSHHUG00000048081	Hucho_hucho
ENSHHUP00000045318	ENSHHUG00000027630	Hucho_hucho
ENSELUP00000031001	ENSELUG00000008445	Esox_lucius
ENSGACP00000016426	ENSGACG00000012422	Gasterosteus_aculeatus
ENSMMOP00000006521	ENSMMOG00000005097	Mola_mola
ENSLCRP00005002629	ENSLCRG00005001222	Larimichthys_crocea
ENSCGOP00000017085	ENSCGOG00000007448	Cottoperca_gobio
ENSSLDP00000033502	ENSSLDG00000025625	Seriola_lalandi_dorsalis
ENSSDUP00000002713	ENSSDUG00000002110	Seriola_dumerili
ENSLCAP00010029896	ENSLCAG00010014044	Lates_calcarifer
ENSSMAP00000019895	ENSSMAG00000012166	Scophthalmus_maximus
ENSMAMP00000035221	ENSMAMG00000023639	Mastacembelus_armatus
ENSMALP00000006992	ENSMALG00000004958	Monopterus_albus
ENSATEP00000036010	ENSATEG00000024744	Anabas_testudineus
ENSBSLP00000014678	ENSBSLG00000007610	Betta_splendens
ENSAOCP00000006528	ENSAOCG00000010189	Amphiprion_ocellaris
ENSAPEP00000012083	ENSAPEG00000008575	Amphiprion_percula
ENSAPOP00000028043	ENSAPOG00000012989	Acanthochromis_polyacanthus
ENSSPAP00000010883	ENSSPAG00000008244	Stegastes_partitus
ENSMZEP00005014942	ENSMZEG00005011227	Maylandia_zebra
ENSHBUP00000029981	ENSHBUG00000014760	Haplochromis_burtoni
ENSACLP00000002263	ENSACLG00000001424	Astatotilapia_calliptera
ENSPNYP00000018550	ENSPNYG00000014008	Pundamilia_nyererei
ENSNBRP00000007651	ENSNBRG00000005876	Neolamprologus_brichardi
ENSONIP00000002695	ENSONIG00000002163	Oreochromis_niloticus
ENSMZEP00005031565	ENSMZEG00005022974	Maylandia_zebra
ENSCHAP00000010904	ENSCHAG00000006158	Clupea_harengus
ENSCHAP00000010472	ENSCHAG00000005963	Clupea_harengus
ENSDCDP00000002011	ENSDCDG00000001040	Denticeps_clupeoides
ENSAMXP00000035257	ENSAMXG00000036582	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005017627	ENSAMXG00005009195	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000005942	ENSPNAG00000012026	Pygocentrus_nattereri
ENSIPUP00000011882	ENSIPUG00000008034	Ictalurus_punctatus
ENSDARP00000032748	ENSDARG00000026489	Danio_rerio
ENSHHUP00000013866	ENSHHUG00000008523	Hucho_hucho
ENSHHUP00000065548	ENSHHUG00000038704	Hucho_hucho
ENSELUP00000016506	ENSELUG00000016310	Esox_lucius
ENSGMOP00000002344	ENSGMOG00000002166	Gadus_morhua
ENSPKIP00000017163	ENSPKIG00000003200	Paramormyrops_kingsleyae
ENSSFOP00015029266	ENSSFOG00015018719	Scleropages_formosus
ENSSFOP00015016716	ENSSFOG00015010767	Scleropages_formosus
ENSPKIP00000020247	ENSPKIG00000005077	Paramormyrops_kingsleyae
ENSLOCP00000007528	ENSLOCG00000006229	Lepisosteus_oculatus
ENSPVIP00000011585	ENSPVIG00000008718	Pogona_vitticeps
ENSNSUP00000018203	ENSNSUG00000013328	Notechis_scutatus
ENSSMRP00000021977	ENSSMRG00000017081	Salvator_merianae
ENSACAP00000015207	ENSACAG00000015398	Anolis_carolinensis
ENSSPUP00000021443	ENSSPUG00000016462	Sphenodon_punctatus
ENSGAGP00000032496	ENSGAGG00000023246	Gopherus_agassizii
ENSCABP00000005703	ENSCABG00000004282	Chelonoidis_abingdonii
ENSCPBP00000006661	ENSCPBG00000005286	Chrysemys_picta_bellii
ENSPSIP00000009278	ENSPSIG00000008244	Pelodiscus_sinensis
ENSNPEP00000021201	ENSNPEG00000015726	Nothoprocta_perdicaria
ENSLSDP00000004102	ENSLSDG00000003191	Lonchura_striata_domestica
ENSCCNP00000028181	ENSCCNG00000027177	Castor_canadensis
ENSDORP00000027212	ENSDORG00000002447	Dipodomys_ordii
ENSMSIP00000025958	ENSMSIG00000021874	Mus_spicilegus
MGP_SPRETEiJ_P0047286	MGP_SPRETEiJ_G0022711	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000007814	ENSMUSG00000007670	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0045394	MGP_CAROLIEiJ_G0021800	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0044900	MGP_PahariEiJ_G0020789	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000072174	ENSRNOG00000047628	Rattus_norvegicus
ENSMUGP00000006994	ENSMUGG00000006409	Meriones_unguiculatus
ENSPEMP00000026894	ENSPEMG00000022853	Peromyscus_maniculatus_bairdii
ENSMOCP00000020721	ENSMOCG00000018305	Microtus_ochrogaster
ENSCGRP00001008857	ENSCGRG00001011031	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015002034	ENSCGRG00015001678	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000021101	ENSCGRG00000015331	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000021184	ENSMAUG00000018966	Mesocricetus_auratus
ENSNGAP00000025007	ENSNGAG00000023093	Nannospalax_galili
ENSJJAP00000003356	ENSJJAG00000006370	Jaculus_jaculus
ENSUPAP00010030134	ENSUPAG00010023657	Urocitellus_parryii
ENSSTOP00000002125	ENSSTOG00000002371	Ictidomys_tridecemlineatus
ENSMMMP00000022138	ENSMMMG00000019257	Marmota_marmota_marmota
ENSSDAP00000011046	ENSSDAG00000009904	Spermophilus_dauricus
ENSODEP00000020364	ENSODEG00000015021	Octodon_degus
