ENSUAMP00000009852	ENSUAMG00000008152	Ursus_americanus	ENSUAMT00000011087
ENSUMAP00000031031	ENSUMAG00000022409	Ursus_maritimus	ENSUMAT00000036665
ENSNVIP00000014617	ENSNVIG00000011463	Neovison_vison	ENSNVIT00000017062
ENSCAFP00020023219	ENSCAFG00020018328	Canis_lupus_dingo
ENSCAFP00000039054	ENSCAFG00000015952	Canis_lupus_familiaris
ENSVVUP00000025735	ENSVVUG00000018879	Vulpes_vulpes
ENSPPRP00000011257	ENSPPRG00000005162	Panthera_pardus
ENSPTIP00000001339	ENSPTIG00000003392	Panthera_tigris_altaica
ENSFCAP00000011538	ENSFCAG00000012438	Felis_catus
ENSBIXP00000033753	ENSBIXG00000000843	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000054159	ENSBTAG00000047165	Bos_taurus
ENSBIXP00005046722	ENSBIXG00005031441	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000031113	ENSBMUG00000023224	Bos_mutus
ENSOARP00000018350	ENSOARG00000017099	Ovis_aries
ENSVPAP00000005010	ENSVPAG00000005396	Vicugna_pacos
ENSSARP00000000018	ENSSARG00000000019	Sorex_araneus
ENSEEUP00000007109	ENSEEUG00000007776	Erinaceus_europaeus
ENSECAP00000044170	ENSECAG00000034483	Equus_caballus
ENSCLAP00000024163	ENSCLAG00000016583	Chinchilla_lanigera
ENSODEP00000024503	ENSODEG00000017935	Octodon_degus
ENSCPOP00000032357	ENSCPOG00000033124	Cavia_porcellus
ENSDORP00000027095	ENSDORG00000026645	Dipodomys_ordii
MGP_SPRETEiJ_P0031243	MGP_SPRETEiJ_G0018004	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000055255	ENSMUSG00000051617	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000001435	ENSMSIG00000001354	Mus_spicilegus
MGP_CAROLIEiJ_P0029824	MGP_CAROLIEiJ_G0017162	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0036553	MGP_PahariEiJ_G0018291	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000019330	ENSRNOG00000014370	Rattus_norvegicus
ENSMUGP00000006012	ENSMUGG00000005542	Meriones_unguiculatus
ENSCGRP00001022487	ENSCGRG00001021018	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015004900	ENSCGRG00015003783	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000013912	ENSCGRG00000010081	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000008460	ENSMAUG00000009863	Mesocricetus_auratus
ENSPEMP00000005817	ENSPEMG00000008176	Peromyscus_maniculatus_bairdii
ENSMOCP00000007503	ENSMOCG00000007293	Microtus_ochrogaster
ENSNGAP00000018558	ENSNGAG00000018654	Nannospalax_galili
ENSJJAP00000022604	ENSJJAG00000022627	Jaculus_jaculus
ENSSDAP00000008712	ENSSDAG00000007941	Spermophilus_dauricus
ENSSDAP00000008768	ENSSDAG00000007954	Spermophilus_dauricus
ENSMMMP00000007429	ENSMMMG00000006665	Marmota_marmota_marmota
ENSUPAP00010011115	ENSUPAG00010009000	Urocitellus_parryii
ENSPCOP00000010058	ENSPCOG00000016464	Propithecus_coquereli
ENSPSMP00000020074	ENSPSMG00000014177	Prolemur_simus
ENSMICP00000011755	ENSMICG00000012911	Microcebus_murinus
ENSOGAP00000010270	ENSOGAG00000011469	Otolemur_garnettii
ENSCJAP00000069103	ENSCJAG00000048395	Callithrix_jacchus
ENSCCAP00000022618	ENSCCAG00000029116	Cebus_capucinus_imitator
ENSSBOP00000006757	ENSSBOG00000020353	Saimiri_boliviensis_boliviensis
ENSANAP00000038874	ENSANAG00000036881	Aotus_nancymaae
ENSPTRP00000015619	ENSPTRG00000009169	Pan_troglodytes
ENSPPAP00000021807	ENSPPAG00000034094	Pan_paniscus
ENSP00000246662	ENSG00000171403	Homo_sapiens
ENSGGOP00000005214	ENSGGOG00000005324	Gorilla_gorilla
ENSPPYP00000010059	ENSPPYG00000008965	Pongo_abelii
ENSNLEP00000013140	ENSNLEG00000010814	Nomascus_leucogenys
ENSCANP00000025925	ENSCANG00000036387	Colobus_angolensis_palliatus
ENSPTEP00000031497	ENSPTEG00000030414	Piliocolobus_tephrosceles
ENSRROP00000035825	ENSRROG00000041389	Rhinopithecus_roxellana
ENSRBIP00000012629	ENSRBIG00000030289	Rhinopithecus_bieti
ENSMFAP00000026487	ENSMFAG00000044683	Macaca_fascicularis
ENSMMUP00000011205	ENSMMUG00000008543	Macaca_mulatta
ENSMNEP00000035072	ENSMNEG00000040688	Macaca_nemestrina
ENSPANP00000020656	ENSPANG00000021534	Papio_anubis
ENSTGEP00000010181	ENSTGEG00000008353	Theropithecus_gelada
ENSCATP00000031045	ENSCATG00000038671	Cercocebus_atys
ENSMLEP00000006253	ENSMLEG00000026289	Mandrillus_leucophaeus
ENSCSAP00000015043	ENSCSAG00000002997	Chlorocebus_sabaeus
ENSTSYP00000029684	ENSTSYG00000031839	Carlito_syrichta
ENSETEP00000007280	ENSETEG00000008964	Echinops_telfairi
ENSPCIP00000010557	ENSPCIG00000008602	Phascolarctos_cinereus
ENSMEUP00000003355	ENSMEUG00000003667	Notamacropus_eugenii
ENSSHAP00000001381	ENSSHAG00000001231	Sarcophilus_harrisii
ENSMODP00000018274	ENSMODG00000014625	Monodelphis_domestica
ENSMODP00000059047	ENSMODG00000036504	Monodelphis_domestica
