ENSSPUP00000006223	ENSSPUG00000004811	Sphenodon_punctatus
ENSSMRP00000000202	ENSSMRG00000000188	Salvator_merianae
ENSCPBP00000002695	ENSCPBG00000002141	Chrysemys_picta_bellii
ENSDORP00000003203	ENSDORG00000003424	Dipodomys_ordii
ENSCCNP00000009360	ENSCCNG00000009813	Castor_canadensis
ENSCGRP00000015742	ENSCGRG00000011413	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001025463	ENSCGRG00001023056	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015009710	ENSCGRG00015007466	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000001775	ENSMAUG00000001310	Mesocricetus_auratus
ENSPEMP00000028810	ENSPEMG00000024240	Peromyscus_maniculatus_bairdii
ENSMOCP00000014314	ENSMOCG00000013851	Microtus_ochrogaster
ENSMSIP00000014834	ENSMSIG00000012753	Mus_spicilegus
MGP_SPRETEiJ_P0061256	MGP_SPRETEiJ_G0026197	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000035737	ENSMUSG00000042244	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0058900	MGP_CAROLIEiJ_G0025254	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0069852	MGP_PahariEiJ_G0026698	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000016364	ENSRNOG00000046881	Rattus_norvegicus
ENSRNOP00000063591	ENSRNOG00000045617	Rattus_norvegicus
ENSNGAP00000004378	ENSNGAG00000005730	Nannospalax_galili
ENSJJAP00000018205	ENSJJAG00000019546	Jaculus_jaculus
ENSUPAP00010019953	ENSUPAG00010015788	Urocitellus_parryii
ENSSTOP00000004487	ENSSTOG00000005008	Ictidomys_tridecemlineatus
ENSSDAP00000002882	ENSSDAG00000002750	Spermophilus_dauricus
ENSMMMP00000020571	ENSMMMG00000018151	Marmota_marmota_marmota
ENSCLAP00000005079	ENSCLAG00000003607	Chinchilla_lanigera
ENSCPOP00000001514	ENSCPOG00000001678	Cavia_porcellus
ENSODEP00000012453	ENSODEG00000009237	Octodon_degus
ENSHGLP00100006106	ENSHGLG00100004600	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000004983	ENSFDAG00000014087	Fukomys_damarensis
ENSTBEP00000010655	ENSTBEG00000012306	Tupaia_belangeri
ENSPTRP00000002264	ENSPTRG00000001342	Pan_troglodytes
ENSPPAP00000042398	ENSPPAG00000043770	Pan_paniscus
ENSGGOP00000000841	ENSGGOG00000000853	Gorilla_gorilla
ENSP00000290722	ENSG00000159527	Homo_sapiens
ENSPPYP00000000955	ENSPPYG00000000818	Pongo_abelii
