ENSCCNP00000005550	ENSCCNG00000005900	Castor_canadensis
ENSDORP00000025594	ENSDORG00000025457	Dipodomys_ordii
ENSHGLP00100027287	ENSHGLG00100020342	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000022067	ENSHGLG00000015744	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000000438	ENSFDAG00000010695	Fukomys_damarensis
ENSODEP00000026295	ENSODEG00000019695	Octodon_degus
ENSCLAP00000025364	ENSCLAG00000017439	Chinchilla_lanigera
ENSCAPP00000005672	ENSCAPG00000007937	Cavia_aperea
ENSCPOP00000017412	ENSCPOG00000022073	Cavia_porcellus
ENSCAPP00000009810	ENSCAPG00000011218	Cavia_aperea
ENSOCUP00000017795	ENSOCUG00000022978	Oryctolagus_cuniculus
ENSMSIP00000000680	ENSMSIG00000000712	Mus_spicilegus
MGP_SPRETEiJ_P0080639	MGP_SPRETEiJ_G0030229	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000147586	ENSMUSG00000096228	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0077364	MGP_CAROLIEiJ_G0029168	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0045728	MGP_PahariEiJ_G0021037	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000064374	ENSRNOG00000045783	Rattus_norvegicus
ENSMUGP00000004551	ENSMUGG00000004228	Meriones_unguiculatus
ENSCGRP00015006954	ENSCGRG00015005410	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001013809	ENSCGRG00001014855	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000026391	ENSCGRG00000019454	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000014314	ENSMAUG00000014112	Mesocricetus_auratus
ENSMOCP00000013282	ENSMOCG00000013129	Microtus_ochrogaster
ENSPEMP00000020328	ENSPEMG00000030314	Peromyscus_maniculatus_bairdii
ENSNGAP00000012640	ENSNGAG00000014441	Nannospalax_galili
ENSJJAP00000008032	ENSJJAG00000012295	Jaculus_jaculus
ENSOCUP00000016522	ENSOCUG00000023624	Oryctolagus_cuniculus
ENSMSIP00000000642	ENSMSIG00000000673	Mus_spicilegus
ENSMUSP00000150162	ENSMUSG00000048620	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0080637	MGP_SPRETEiJ_G0030227	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0077362	MGP_CAROLIEiJ_G0029166	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0045726	MGP_PahariEiJ_G0021035	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000049800	ENSRNOG00000030070	Rattus_norvegicus
ENSMUGP00000004563	ENSMUGG00000004240	Meriones_unguiculatus
ENSCGRP00015006925	ENSCGRG00015005375	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001013448	ENSCGRG00001014586	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000017481	ENSMAUG00000016340	Mesocricetus_auratus
ENSMOCP00000026753	ENSMOCG00000022458	Microtus_ochrogaster
