ENSGALP00000041517	ENSGALG00000028254	Gallus_gallus	ENSGALT00000043887
ENSCVAP00000002181	ENSCVAG00000003311	Cyprinodon_variegatus
ENSSTOP00000012824	ENSSTOG00000014295	Ictidomys_tridecemlineatus
ENSBBBP00000022466	ENSBBBG00000016442	Bison_bison_bison
ENSPNYP00000028578	ENSPNYG00000021505	Pundamilia_nyererei
ENSMGAP00000013621	ENSMGAG00000012916	Meleagris_gallopavo	ENSMGAT00000014533
ENSCHIP00000017903	ENSCHIG00000017559	Capra_hircus
ENSAPEP00000016140	ENSAPEG00000011406	Amphiprion_percula
ENSDARP00000082748	ENSDARG00000061719	Danio_rerio
ENSNBRP00000029486	ENSNBRG00000022460	Neolamprologus_brichardi
ENSOARP00000018414	ENSOARG00000017159	Ovis_aries
ENSTTRP00000016082	ENSTTRG00000016963	Tursiops_truncatus
ENSRNOP00000011326	ENSRNOG00000008331	Rattus_norvegicus
ENSPMAP00000003196	ENSPMAG00000002928	Petromyzon_marinus
MGP_CAROLIEiJ_P0024288	MGP_CAROLIEiJ_G0015671	Mus_caroli_strain_CAROLI_EIJ
ENSHHUP00000057097	ENSHHUG00000034050	Hucho_hucho
ENSSSCP00000000894	ENSSSCG00000000840	Sus_scrofa_strain_reference
ENSPRNP00000011409	ENSPRNG00000006468	Parambassis_ranga
ENSPANP00000001004	ENSPANG00000006617	Papio_anubis
ENSPVIP00000000437	ENSPVIG00000000397	Pogona_vitticeps
ENSPPRP00000008145	ENSPPRG00000003069	Panthera_pardus
ENSNSUP00000018118	ENSNSUG00000013261	Notechis_scutatus
ENSAPLP00000014885	ENSAPLG00000015019	Anas_platyrhynchos_platyrhynchos
ENSCLAP00000010724	ENSCLAG00000007400	Chinchilla_lanigera
ENSVPAP00000010222	ENSVPAG00000010978	Vicugna_pacos
ENSHGLP00100003467	ENSHGLG00100002638	Heterocephalus_glaber_HetGla_1.0
ENSPPAP00000038924	ENSPPAG00000042140	Pan_paniscus
ENSAOCP00000017134	ENSAOCG00000022263	Amphiprion_ocellaris
ENSCPBP00000033152	ENSCPBG00000023215	Chrysemys_picta_bellii
ENSLSDP00000020756	ENSLSDG00000014703	Lonchura_striata_domestica
ENSPVAP00000016648	ENSPVAG00000017647	Pteropus_vampyrus
ENSCCEP00000006635	ENSCCEG00000007051	Cyanistes_caeruleus
ENSCHOP00000008029	ENSCHOG00000009061	Choloepus_hoffmanni
ENSCSAP00000015063	ENSCSAG00000002978	Chlorocebus_sabaeus
ENSGAGP00000024206	ENSGAGG00000017695	Gopherus_agassizii
Y53F4B.21.1	WBGene00013167	Caenorhabditis_elegans_strain_N2	Y53F4B.21.1
ENSSFOP00015035246	ENSSFOG00015022411	Scleropages_formosus
ENSFCAP00000059750	ENSFCAG00000001460	Felis_catus
ENSP00000484713	ENSG00000136051	Homo_sapiens
ENSVURP00010006940	ENSVURG00010005369	Vombatus_ursinus
ENSCPOP00000027652	ENSCPOG00000006434	Cavia_porcellus
ENSGAFP00000032447	ENSGAFG00000021853	Gambusia_affinis
ENSBIXP00000025232	ENSBIXG00000027343	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSLCRP00005040633	ENSLCRG00005015674	Larimichthys_crocea
ENSTSYP00000015951	ENSTSYG00000029813	Carlito_syrichta
ENSNGAP00000014703	ENSNGAG00000015936	Nannospalax_galili
ENSGWIP00000033889	ENSGWIG00000015940	Gouania_willdenowi
ENSMMMP00000019504	ENSMMMG00000017204	Marmota_marmota_marmota
ENSPFOP00000012207	ENSPFOG00000011885	Poecilia_formosa
ENSRROP00000019601	ENSRROG00000033797	Rhinopithecus_roxellana
ENSMLEP00000025855	ENSMLEG00000037120	Mandrillus_leucophaeus
ENSAHAP00000007441	ENSAHAG00000005054	Apteryx_haastii
ENSCCNP00000014888	ENSCCNG00000015351	Castor_canadensis
ENSSARP00000012173	ENSSARG00000013446	Sorex_araneus
ENSOGAP00000004341	ENSOGAG00000004852	Otolemur_garnettii
ENSCABP00000023920	ENSCABG00000017241	Chelonoidis_abingdonii
ENSMOCP00000005467	ENSMOCG00000004913	Microtus_ochrogaster
ENSOANP00000008809	ENSOANG00000005543	Ornithorhynchus_anatinus
ENSMNEP00000012310	ENSMNEG00000030404	Macaca_nemestrina
ENSCPRP00005026590	ENSCPRG00005018454	Crocodylus_porosus
ENSMVIP00005025364	ENSMVIG00005017739	Manacus_vitellinus
ENSUAMP00000033975	ENSUAMG00000025888	Ursus_americanus
ENSOCUP00000004360	ENSOCUG00000005030	Oryctolagus_cuniculus
ENSAMEP00000007272	ENSAMEG00000006900	Ailuropoda_melanoleuca
ENSPCAP00000012040	ENSPCAG00000012778	Procavia_capensis
ENSPLAP00000002022	ENSPLAG00000003200	Poecilia_latipinna
ENSEASP00005031065	ENSEASG00005021158	Equus_asinus_asinus
ENSPKIP00000039690	ENSPKIG00000016920	Paramormyrops_kingsleyae
ENSCATP00000031458	ENSCATG00000038821	Cercocebus_atys
ENSSLDP00000013646	ENSSLDG00000010814	Seriola_lalandi_dorsalis
ENSPMEP00000010326	ENSPMEG00000012368	Poecilia_mexicana
ENSPPYP00000005590	ENSPPYG00000004899	Pongo_abelii
ENSCINP00000010028	ENSCING00000004851	Ciona_intestinalis
ENSHGLP00000017091	ENSHGLG00000012237	Heterocephalus_glaber_HetGla_female_1.0
ENSDNOP00000032950	ENSDNOG00000001746	Dasypus_novemcinctus
ENSCPUP00000022478	ENSCPUG00000015258	Calidris_pugnax
ENSCAFP00020006663	ENSCAFG00020005219	Canis_lupus_dingo
ENSATEP00000026898	ENSATEG00000018550	Anabas_testudineus
ENSSCAP00000003911	ENSSCAG00000003035	Serinus_canaria
ENSPLAP00000021952	ENSPLAG00000000748	Poecilia_latipinna
ENSPSIP00000018796	ENSPSIG00000016709	Pelodiscus_sinensis
ENSPNAP00000029057	ENSPNAG00000005628	Pygocentrus_nattereri
ENSFDAP00000012620	ENSFDAG00000019947	Fukomys_damarensis
ENSCGRP00001003055	ENSCGRG00001003532	Cricetulus_griseus_CHOK1GS_HDv1
ENSTNIP00000011186	ENSTNIG00000008355	Tetraodon_nigroviridis
ENSHBUP00000005227	ENSHBUG00000006686	Haplochromis_burtoni
ENSCJAP00000027322	ENSCJAG00000014770	Callithrix_jacchus
ENSBSLP00000019793	ENSBSLG00000009433	Betta_splendens
ENSMMOP00000024847	ENSMMOG00000018880	Mola_mola
ENSPTEP00000015021	ENSPTEG00000016712	Piliocolobus_tephrosceles
ENSUAMP00000018180	ENSUAMG00000014426	Ursus_americanus
ENSJJAP00000017637	ENSJJAG00000019116	Jaculus_jaculus
ENSGMOP00000017553	ENSGMOG00000016333	Gadus_morhua
MGP_SPRETEiJ_P0025467	MGP_SPRETEiJ_G0016490	Mus_spretus_strain_SPRET/EiJ
ENSARWP00000010623	ENSARWG00000007374	Apteryx_rowi
ENSEASP00005031072	ENSEASG00005021163	Equus_asinus_asinus
ENSAOWP00000018577	ENSAOWG00000012648	Apteryx_owenii
ENSORLP00000020578	ENSORLG00000016434	Oryzias_latipes_ASM223467v1
ENSSBOP00000033712	ENSSBOG00000032838	Saimiri_boliviensis_boliviensis
ENSSDAP00000024209	ENSSDAG00000022055	Spermophilus_dauricus
ENSECRP00000000972	ENSECRG00000000652	Erpetoichthys_calabaricus
ENSLACP00000000026	ENSLACG00000000020	Latimeria_chalumnae
ENSBIXP00005018792	ENSBIXG00005022103	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSHHUP00000057184	ENSHHUG00000034109	Hucho_hucho
ENSTGUP00000011434	ENSTGUG00000011083	Taeniopygia_guttata
ENSMSIP00000001548	ENSMSIG00000001421	Mus_spicilegus
ENSMEUP00000000028	ENSMEUG00000000028	Notamacropus_eugenii
ENSPTRP00000049932	ENSPTRG00000005383	Pan_troglodytes
ENSDCDP00000030395	ENSDCDG00000021376	Denticeps_clupeoides
ENSHGLP00000005710	ENSHGLG00000004172	Heterocephalus_glaber_HetGla_female_1.0
ENSELUP00000030098	ENSELUG00000000264	Esox_lucius
ENSCAFP00000002782	ENSCAFG00000001894	Canis_lupus_familiaris
ENSAPOP00000032724	ENSAPOG00000020929	Acanthochromis_polyacanthus
ENSEEUP00000002411	ENSEEUG00000002613	Erinaceus_europaeus
ENSSPUP00000006049	ENSSPUG00000004671	Sphenodon_punctatus
ENSSMRP00000020434	ENSSMRG00000015904	Salvator_merianae
ENSCPGP00000016404	ENSCPGG00000011323	Calidris_pygmaea
ENSCSEP00000024390	ENSCSEG00000015558	Cynoglossus_semilaevis
ENSRBIP00000023228	ENSRBIG00000035525	Rhinopithecus_bieti
ENSORLP00015035757	ENSORLG00015022537	Oryzias_latipes_ASM223469v1
ENSNMEP00000013065	ENSNMEG00000011980	Numida_meleagris	ENSNMET00000020035
ENSSPUP00000006037	ENSSPUG00000004661	Sphenodon_punctatus
ENSKMAP00000000654	ENSKMAG00000000399	Kryptolebias_marmoratus
ENSLBEP00000005454	ENSLBEG00000004125	Labrus_bergylta
ENSAOWP00000018563	ENSAOWG00000012645	Apteryx_owenii
ENSMUNP00000002049	ENSMUNG00000001827	Melopsittacus_undulatus
ENSSPAP00000009031	ENSSPAG00000006834	Stegastes_partitus
ENSANAP00000039227	ENSANAG00000036953	Aotus_nancymaae
ENSECAP00000042922	ENSECAG00000005038	Equus_caballus
ENSDORP00000004448	ENSDORG00000004754	Dipodomys_ordii
ENSXMAP00000025763	ENSXMAG00000019275	Xiphophorus_maculatus
ENSETEP00000004704	ENSETEG00000005784	Echinops_telfairi
ENSTBEP00000013506	ENSTBEG00000015504	Tupaia_belangeri
ENSNLEP00000008059	ENSNLEG00000006603	Nomascus_leucogenys
ENSSHAP00000010830	ENSSHAG00000009337	Sarcophilus_harrisii
ENSABRP00000005212	ENSABRG00000004831	Anser_brachyrhynchus	ENSABRT00000007511
ENSHCOP00000006356	ENSHCOG00000008193	Hippocampus_comes
ENSBTAP00000069188	ENSBTAG00000033735	Bos_taurus
ENSACAP00000015441	ENSACAG00000015694	Anolis_carolinensis
ENSORLP00020008165	ENSORLG00020009076	Oryzias_latipes_ASM223471v1
ENSMFAP00000026451	ENSMFAG00000044577	Macaca_fascicularis
MGP_PahariEiJ_P0088374	MGP_PahariEiJ_G0031413	Mus_pahari_strain_PAHARI_EIJ
ENSMMUP00000012447	ENSMMUG00000009519	Macaca_mulatta
ENSMLUP00000006741	ENSMLUG00000007308	Myotis_lucifugus
ENSCANP00000039616	ENSCANG00000043473	Colobus_angolensis_palliatus
ENSTSYP00000003133	ENSTSYG00000003414	Carlito_syrichta
ENSPTIP00000009782	ENSPTIG00000010720	Panthera_tigris_altaica
ENSMAMP00000003794	ENSMAMG00000002499	Mastacembelus_armatus
ENSHGLP00100024436	ENSHGLG00100017941	Heterocephalus_glaber_HetGla_1.0
ENSNPEP00000021268	ENSNPEG00000015774	Nothoprocta_perdicaria
ENSPMJP00000011249	ENSPMJG00000008747	Parus_major
ENSODEP00000020109	ENSODEG00000014832	Octodon_degus
ENSCSAVP00000014666	ENSCSAVG00000008572	Ciona_savignyi
ENSPCOP00000012421	ENSPCOG00000017785	Propithecus_coquereli
ENSONIP00000013155	ENSONIG00000010465	Oreochromis_niloticus
ENSCCAP00000032581	ENSCCAG00000034148	Cebus_capucinus_imitator
ENSMUNP00000002058	ENSMUNG00000001837	Melopsittacus_undulatus
ENSDNVP00000010126	ENSDNVG00000007156	Dromaius_novaehollandiae
ENSLCAP00010041094	ENSLCAG00010019060	Lates_calcarifer
ENSUPAP00010002712	ENSUPAG00010002239	Urocitellus_parryii
ENSCJPP00005023022	ENSCJPG00005018294	Coturnix_japonica	ENSCJPT00005031550
ENSUMAP00000025186	ENSUMAG00000017619	Ursus_maritimus
ENSCGRP00015016284	ENSCGRG00015012427	Cricetulus_griseus_CriGri-PICR
ENSVVUP00000031681	ENSVVUG00000023049	Vulpes_vulpes
ENSEEEP00000039791	ENSEEEG00000018770	Electrophorus_electricus
ENSOMEP00000021344	ENSOMEG00000023213	Oryzias_melastigma
ENSCGOP00000006945	ENSCGOG00000003214	Cottoperca_gobio
ENSJHYP00000010244	ENSJHYG00000008026	Junco_hyemalis
ENSLOCP00000018532	ENSLOCG00000015056	Lepisosteus_oculatus
ENSLCOP00000012782	ENSLCOG00000009240	Lepidothrix_coronata
ENSHHUP00000016545	ENSHHUG00000010321	Hucho_hucho
ENSGGOP00000022877	ENSGGOG00000023259	Gorilla_gorilla
ENSACIP00000026768	ENSACIG00000020678	Amphilophus_citrinellus
ENSAMXP00005016926	ENSAMXG00005008447	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPSMP00000015727	ENSPSMG00000011164	Prolemur_simus
ENSCMIP00000017246	ENSCMIG00000008178	Callorhinchus_milii
ENSMAUP00000003168	ENSMAUG00000003292	Mesocricetus_auratus
ENSFALP00000014026	ENSFALG00000013439	Ficedula_albicollis
FBpp0307917	FBgn0030739	Drosophila_melanogaster	FBtr0336975
ENSSMAP00000016336	ENSSMAG00000009936	Scophthalmus_maximus
ENSZALP00000001258	ENSZALG00000001496	Zonotrichia_albicollis
ENSGACP00000017861	ENSGACG00000013499	Gasterosteus_aculeatus
ENSTGEP00000013135	ENSTGEG00000010690	Theropithecus_gelada
ENSMUGP00000024246	ENSMUGG00000020264	Meriones_unguiculatus
ENSPCIP00000034174	ENSPCIG00000025302	Phascolarctos_cinereus
ENSNBRP00000018934	ENSNBRG00000014583	Neolamprologus_brichardi
ENSXCOP00000002709	ENSXCOG00000002146	Xiphophorus_couchianus
ENSFHEP00000008276	ENSFHEG00000009541	Fundulus_heteroclitus
ENSPMGP00000011415	ENSPMGG00000009450	Periophthalmus_magnuspinnatus
ENSXETP00000016854	ENSXETG00000002702	Xenopus_tropicalis
ENSLAFP00000011872	ENSLAFG00000014172	Loxodonta_africana
ENSIPUP00000027311	ENSIPUG00000018375	Ictalurus_punctatus
ENSPMGP00000011419	ENSPMGG00000009452	Periophthalmus_magnuspinnatus
ENSMALP00000019051	ENSMALG00000013185	Monopterus_albus
ENSCAPP00000006566	ENSCAPG00000008683	Cavia_aperea
ENSTRUP00000003774	ENSTRUG00000001638	Takifugu_rubripes
ENSMODP00000002469	ENSMODG00000002024	Monodelphis_domestica
ENSMUSP00000039322	ENSMUSG00000034560	Mus_musculus_strain_reference_(CL57BL6)
ENSMPUP00000012009	ENSMPUG00000012104	Mustela_putorius_furo
ENSMICP00000013162	ENSMICG00000014415	Microcebus_murinus
ENSSDUP00000028037	ENSSDUG00000020208	Seriola_dumerili
ENSNVIP00000013908	ENSNVIG00000010917	Neovison_vison
ENSAMXP00000001011	ENSAMXG00000000983	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSBMUP00000009773	ENSBMUG00000007582	Bos_mutus
ENSPREP00000030816	ENSPREG00000020862	Poecilia_reticulata
ENSEBUP00000018302	ENSEBUG00000011421	Eptatretus_burgeri	ENSEBUT00000018878
ENSCGRP00000010730	ENSCGRG00000007850	Cricetulus_griseus_CriGri_1.0
ENSMZEP00005023040	ENSMZEG00005017251	Maylandia_zebra
ENSCHAP00000045209	ENSCHAG00000020949	Clupea_harengus
ENSPEMP00000017784	ENSPEMG00000016581	Peromyscus_maniculatus_bairdii
ENSACLP00000006117	ENSACLG00000004055	Astatotilapia_calliptera
ENSCAFP00020006734	ENSCAFG00020005405	Canis_lupus_dingo
ENSOPRP00000008364	ENSOPRG00000009111	Ochotona_princeps
