ENSPREP00000012065	ENSPREG00000008204	Poecilia_reticulata
ENSPMEP00000021068	ENSPMEG00000001017	Poecilia_mexicana
ENSXCOP00000017787	ENSXCOG00000013397	Xiphophorus_couchianus
ENSCABP00000007659	ENSCABG00000005781	Chelonoidis_abingdonii
ENSGAGP00000001569	ENSGAGG00000001266	Gopherus_agassizii
ENSCABP00000002588	ENSCABG00000002015	Chelonoidis_abingdonii
ENSCPBP00000000776	ENSCPBG00000000630	Chrysemys_picta_bellii
ENSPSIP00000009172	ENSPSIG00000008253	Pelodiscus_sinensis
ENSCPRP00005023743	ENSCPRG00005016471	Crocodylus_porosus
ENSLACP00000011933	ENSLACG00000010502	Latimeria_chalumnae
ENSPCIP00000005503	ENSPCIG00000004594	Phascolarctos_cinereus
ENSMEUP00000012535	ENSMEUG00000013738	Notamacropus_eugenii
ENSSHAP00000007795	ENSSHAG00000006767	Sarcophilus_harrisii
ENSOANP00000000539	ENSOANG00000000321	Ornithorhynchus_anatinus
ENSCPUP00000024715	ENSCPUG00000016734	Calidris_pugnax
ENSCPGP00000025649	ENSCPGG00000017695	Calidris_pygmaea
ENSGALP00000047166	ENSGALG00000030378	Gallus_gallus
ENSMGAP00000005496	ENSMGAG00000005572	Meleagris_gallopavo
ENSCJPP00005005255	ENSCJPG00005005075	Coturnix_japonica
ENSABRP00000014158	ENSABRG00000012523	Anser_brachyrhynchus
ENSLCOP00000013402	ENSLCOG00000009666	Lepidothrix_coronata
ENSMVIP00005011833	ENSMVIG00005008662	Manacus_vitellinus
ENSLSDP00000000510	ENSLSDG00000000423	Lonchura_striata_domestica
ENSTGUP00000001249	ENSTGUG00000001210	Taeniopygia_guttata
ENSSCAP00000008986	ENSSCAG00000006846	Serinus_canaria
ENSCCEP00000018314	ENSCCEG00000016810	Cyanistes_caeruleus
ENSFALP00000000533	ENSFALG00000000520	Ficedula_albicollis
ENSZALP00000020331	ENSZALG00000016006	Zonotrichia_albicollis
ENSJHYP00000000017	ENSJHYG00000000022	Junco_hyemalis
ENSARWP00000016115	ENSARWG00000011118	Apteryx_rowi
ENSAOWP00000015728	ENSAOWG00000010700	Apteryx_owenii
ENSDNVP00000012326	ENSDNVG00000008704	Dromaius_novaehollandiae
ENSMPUP00000019960	ENSMPUG00000020092	Mustela_putorius_furo
ENSPCOP00000014905	ENSPCOG00000019164	Propithecus_coquereli
ENSPEMP00000008181	ENSPEMG00000009906	Peromyscus_maniculatus_bairdii
ENSGGOP00000052231	ENSGGOG00000024275	Gorilla_gorilla
ENSTTRP00000015272	ENSTTRG00000016115	Tursiops_truncatus
ENSECAP00000044620	ENSECAG00000021136	Equus_caballus
ENSUAMP00000010901	ENSUAMG00000008926	Ursus_americanus
ENSUMAP00000017982	ENSUMAG00000013210	Ursus_maritimus
ENSAMEP00000010191	ENSAMEG00000009704	Ailuropoda_melanoleuca
ENSCAFP00020025423	ENSCAFG00020020012	Canis_lupus_dingo
ENSCAFP00000046142	ENSCAFG00000013232	Canis_lupus_familiaris
ENSVVUP00000037618	ENSVVUG00000026887	Vulpes_vulpes
ENSMLUP00000008081	ENSMLUG00000008868	Myotis_lucifugus
ENSOARP00000007831	ENSOARG00000007306	Ovis_aries
ENSODEP00000020179	ENSODEG00000014876	Octodon_degus
ENSCPOP00000023080	ENSCPOG00000008432	Cavia_porcellus
ENSHGLP00000020555	ENSHGLG00000014694	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100010829	ENSHGLG00100008038	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000018456	ENSFDAG00000009821	Fukomys_damarensis
ENSDORP00000011748	ENSDORG00000012496	Dipodomys_ordii
ENSPSMP00000019063	ENSPSMG00000013453	Prolemur_simus
ENSOGAP00000016226	ENSOGAG00000032741	Otolemur_garnettii
ENSPVIP00000027274	ENSPVIG00000020280	Pogona_vitticeps
ENSACAP00000004963	ENSACAG00000005058	Anolis_carolinensis
ENSNSUP00000027716	ENSNSUG00000019802	Notechis_scutatus
ENSSPUP00000001738	ENSSPUG00000001317	Sphenodon_punctatus
ENSCGRP00015027334	ENSCGRG00015020729	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001002510	ENSCGRG00001002780	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000016472	ENSMAUG00000015589	Mesocricetus_auratus
ENSRNOP00000072829	ENSRNOG00000026260	Rattus_norvegicus
ENSCLAP00000018155	ENSCLAG00000012453	Chinchilla_lanigera
MGP_SPRETEiJ_P0073008	MGP_SPRETEiJ_G0028655	Mus_spretus_strain_SPRET/EiJ
ENSRBIP00000004213	ENSRBIG00000019645	Rhinopithecus_bieti
ENSPTEP00000030442	ENSPTEG00000029648	Piliocolobus_tephrosceles
ENSRBIP00000017347	ENSRBIG00000032677	Rhinopithecus_bieti
ENSCANP00000006009	ENSCANG00000019971	Colobus_angolensis_palliatus
ENSBTAP00000027850	ENSBTAG00000020905	Bos_taurus
ENSSSCP00000060114	ENSSSCG00000024260	Sus_scrofa_strain_reference
ENSSARP00000009835	ENSSARG00000010904	Sorex_araneus
ENSMICP00000047583	ENSMICG00000044631	Microcebus_murinus
ENSVURP00010030315	ENSVURG00010023184	Vombatus_ursinus
ENSAHAP00000014058	ENSAHAG00000010100	Apteryx_haastii
ENSGAGP00000000772	ENSGAGG00000000655	Gopherus_agassizii
ENSMODP00000044088	ENSMODG00000012828	Monodelphis_domestica
ENSSMRP00000000469	ENSSMRG00000000323	Salvator_merianae
ENSODEP00000002288	ENSODEG00000001783	Octodon_degus
