ENSSCAP00000021119	ENSSCAG00000015217	Serinus_canaria
ENSLSDP00000002596	ENSLSDG00000002055	Lonchura_striata_domestica
ENSTGUP00000012905	ENSTGUG00000012534	Taeniopygia_guttata
ENSZALP00000010633	ENSZALG00000008984	Zonotrichia_albicollis
ENSJHYP00000008442	ENSJHYG00000006684	Junco_hyemalis
ENSPMJP00000018186	ENSPMJG00000013619	Parus_major
ENSFALP00000000984	ENSFALG00000000940	Ficedula_albicollis
ENSMVIP00005013905	ENSMVIG00005010051	Manacus_vitellinus
ENSLCOP00000002393	ENSLCOG00000001872	Lepidothrix_coronata
ENSCPGP00000023894	ENSCPGG00000016513	Calidris_pygmaea
ENSCPUP00000014932	ENSCPUG00000010424	Calidris_pugnax
ENSMGAP00000015837	ENSMGAG00000014941	Meleagris_gallopavo
ENSCJPP00005024885	ENSCJPG00005019575	Coturnix_japonica
ENSNMEP00000024710	ENSNMEG00000020943	Numida_meleagris
ENSGALP00000063469	ENSGALG00000016921	Gallus_gallus
ENSAPLP00000018779	ENSAPLG00000005020	Anas_platyrhynchos_platyrhynchos
ENSABRP00000000067	ENSABRG00000000087	Anser_brachyrhynchus
ENSMUNP00000003804	ENSMUNG00000003216	Melopsittacus_undulatus
ENSAHAP00000007200	ENSAHAG00000005407	Apteryx_haastii
ENSAOWP00000001986	ENSAOWG00000001435	Apteryx_owenii
ENSARWP00000004588	ENSARWG00000003342	Apteryx_rowi
ENSDNVP00000023527	ENSDNVG00000016364	Dromaius_novaehollandiae
ENSNPEP00000002269	ENSNPEG00000001744	Nothoprocta_perdicaria
ENSCPRP00005026953	ENSCPRG00005018669	Crocodylus_porosus
ENSCCEP00000000710	ENSCCEG00000000914	Cyanistes_caeruleus
ENSCABP00000024764	ENSCABG00000018223	Chelonoidis_abingdonii
ENSGAGP00000021363	ENSGAGG00000015691	Gopherus_agassizii
ENSCPBP00000022506	ENSCPBG00000016064	Chrysemys_picta_bellii
ENSPSIP00000018263	ENSPSIG00000016245	Pelodiscus_sinensis
ENSACAP00000002037	ENSACAG00000002035	Anolis_carolinensis	ENSACAT00000002086
ENSPVIP00000010785	ENSPVIG00000008512	Pogona_vitticeps	ENSPVIT00000013701
ENSNSUP00000011961	ENSNSUG00000008997	Notechis_scutatus	ENSNSUT00000012744
ENSSMRP00000022634	ENSSMRG00000017578	Salvator_merianae
ENSSPUP00000015476	ENSSPUG00000011947	Sphenodon_punctatus
ENSOANP00000010365	ENSOANG00000006493	Ornithorhynchus_anatinus
ENSOANP00000025545	ENSOANG00000020116	Ornithorhynchus_anatinus
ENSPCIP00000037603	ENSPCIG00000027693	Phascolarctos_cinereus
ENSPCIP00000029681	ENSPCIG00000022092	Phascolarctos_cinereus
ENSVURP00010012120	ENSVURG00010009372	Vombatus_ursinus
ENSMEUP00000012499	ENSMEUG00000013706	Notamacropus_eugenii
ENSMODP00000049021	ENSMODG00000000990	Monodelphis_domestica
ENSSHAP00000000184	ENSSHAG00000000154	Sarcophilus_harrisii
ENSCHOP00000004680	ENSCHOG00000005272	Choloepus_hoffmanni
ENSDNOP00000026173	ENSDNOG00000044332	Dasypus_novemcinctus
ENSDORP00000004264	ENSDORG00000004556	Dipodomys_ordii
ENSDORP00000026658	ENSDORG00000028919	Dipodomys_ordii
ENSCCNP00000019824	ENSCCNG00000019884	Castor_canadensis
ENSCCNP00000013734	ENSCCNG00000014228	Castor_canadensis
ENSNGAP00000000304	ENSNGAG00000000240	Nannospalax_galili
ENSNGAP00000009730	ENSNGAG00000012331	Nannospalax_galili
ENSNGAP00000015874	ENSNGAG00000016764	Nannospalax_galili
ENSNGAP00000001184	ENSNGAG00000000874	Nannospalax_galili
ENSMSIP00000015494	ENSMSIG00000013318	Mus_spicilegus
MGP_SPRETEiJ_P0039288	MGP_SPRETEiJ_G0020463	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000002289	ENSMUSG00000022111	Mus_musculus_strain_reference_(CL57BL6)
ENSMUSP00000045208	ENSMUSG00000035337	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000004671	ENSMSIG00000004289	Mus_spicilegus
MGP_CAROLIEiJ_P0037544	MGP_CAROLIEiJ_G0019567	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0085627	MGP_PahariEiJ_G0030584	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000029819	ENSRNOG00000046120	Rattus_norvegicus
ENSRNOP00000012842	ENSRNOG00000009530	Rattus_norvegicus
ENSMUGP00000017146	ENSMUGG00000014620	Meriones_unguiculatus
ENSMAUP00000020004	ENSMAUG00000018118	Mesocricetus_auratus
ENSMAUP00000017284	ENSMAUG00000016203	Mesocricetus_auratus
ENSCGRP00000005379	ENSCGRG00000003935	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015002541	ENSCGRG00015002054	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001011726	ENSCGRG00001013293	Cricetulus_griseus_CHOK1GS_HDv1
ENSPEMP00000022523	ENSPEMG00000019863	Peromyscus_maniculatus_bairdii
ENSMOCP00000006527	ENSMOCG00000006170	Microtus_ochrogaster
MGP_CAROLIEiJ_P0088304	MGP_CAROLIEiJ_G0032342	Mus_caroli_strain_CAROLI_EIJ
MGP_SPRETEiJ_P0091928	MGP_SPRETEiJ_G0033481	Mus_spretus_strain_SPRET/EiJ
ENSCGRP00000020482	ENSCGRG00000014896	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001022680	ENSCGRG00001021153	Cricetulus_griseus_CHOK1GS_HDv1
ENSJJAP00000009615	ENSJJAG00000013427	Jaculus_jaculus
ENSJJAP00000021113	ENSJJAG00000021577	Jaculus_jaculus
ENSODEP00000006653	ENSODEG00000004974	Octodon_degus
ENSODEP00000026837	ENSODEG00000020323	Octodon_degus
