ENSNSUP00000017778	ENSNSUG00000013042	Notechis_scutatus
ENSACAP00000007323	ENSACAG00000007481	Anolis_carolinensis
ENSSMRP00000019017	ENSSMRG00000014821	Salvator_merianae
ENSSPUP00000004582	ENSSPUG00000003533	Sphenodon_punctatus
ENSCPGP00000019935	ENSCPGG00000013975	Calidris_pygmaea
ENSCPUP00000010492	ENSCPUG00000007450	Calidris_pugnax
ENSPMJP00000006395	ENSPMJG00000005398	Parus_major
ENSCCEP00000027985	ENSCCEG00000024284	Cyanistes_caeruleus
ENSFALP00000009357	ENSFALG00000008969	Ficedula_albicollis
ENSLSDP00000018212	ENSLSDG00000013006	Lonchura_striata_domestica
ENSTGUP00000005905	ENSTGUG00000005727	Taeniopygia_guttata
ENSSCAP00000002052	ENSSCAG00000001781	Serinus_canaria
ENSZALP00000022516	ENSZALG00000017492	Zonotrichia_albicollis
ENSJHYP00000014845	ENSJHYG00000011479	Junco_hyemalis
ENSLCOP00000005218	ENSLCOG00000003895	Lepidothrix_coronata
ENSMVIP00005018276	ENSMVIG00005013004	Manacus_vitellinus
ENSTGUP00000017508	ENSTGUG00000017228	Taeniopygia_guttata
ENSMUNP00000009822	ENSMUNG00000007757	Melopsittacus_undulatus
ENSMGAP00000000542	ENSMGAG00000001127	Meleagris_gallopavo
ENSCJPP00005004097	ENSCJPG00005004145	Coturnix_japonica
ENSGALP00000057740	ENSGALG00000041428	Gallus_gallus
ENSNMEP00000008047	ENSNMEG00000007944	Numida_meleagris
ENSAPLP00000004350	ENSAPLG00000004795	Anas_platyrhynchos_platyrhynchos
ENSABRP00000021585	ENSABRG00000018305	Anser_brachyrhynchus
ENSAHAP00000004796	ENSAHAG00000003731	Apteryx_haastii
ENSAOWP00000009908	ENSAOWG00000006802	Apteryx_owenii
ENSARWP00000008567	ENSARWG00000005992	Apteryx_rowi
ENSDNVP00000004703	ENSDNVG00000003353	Dromaius_novaehollandiae
ENSNPEP00000004421	ENSNPEG00000003386	Nothoprocta_perdicaria
ENSCPRP00005020601	ENSCPRG00005014307	Crocodylus_porosus
ENSGAGP00000029877	ENSGAGG00000021569	Gopherus_agassizii
ENSCABP00000015460	ENSCABG00000011540	Chelonoidis_abingdonii
ENSCPBP00000025832	ENSCPBG00000018347	Chrysemys_picta_bellii
ENSPSIP00000012238	ENSPSIG00000011009	Pelodiscus_sinensis
ENSVURP00010019913	ENSVURG00010015208	Vombatus_ursinus
ENSPCIP00000024752	ENSPCIG00000018649	Phascolarctos_cinereus
ENSMEUP00000001873	ENSMEUG00000002036	Notamacropus_eugenii
ENSSHAP00000006165	ENSSHAG00000005365	Sarcophilus_harrisii
ENSMODP00000014006	ENSMODG00000011196	Monodelphis_domestica
ENSLAFP00000013493	ENSLAFG00000016078	Loxodonta_africana
ENSPCAP00000002054	ENSPCAG00000002167	Procavia_capensis
ENSETEP00000003300	ENSETEG00000004024	Echinops_telfairi
ENSDNOP00000004099	ENSDNOG00000005278	Dasypus_novemcinctus
ENSCHOP00000003449	ENSCHOG00000003896	Choloepus_hoffmanni
ENSBIXP00005001921	ENSBIXG00005008395	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000026289	ENSBIXG00000030293	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000006234	ENSBTAG00000004749	Bos_taurus
ENSBMUP00000000932	ENSBMUG00000000787	Bos_mutus
ENSBBBP00000022554	ENSBBBG00000016603	Bison_bison_bison
ENSCHIP00000017882	ENSCHIG00000017522	Capra_hircus
ENSOARP00000002059	ENSOARG00000001955	Ovis_aries
ENSTTRP00000002092	ENSTTRG00000002230	Tursiops_truncatus
ENSSSCP00000071744	ENSSSCG00000011446	Sus_scrofa_strain_reference
ENSVPAP00000006863	ENSVPAG00000007381	Vicugna_pacos
ENSUMAP00000028923	ENSUMAG00000020986	Ursus_maritimus
ENSUAMP00000015585	ENSUAMG00000012461	Ursus_americanus
ENSAMEP00000008858	ENSAMEG00000008388	Ailuropoda_melanoleuca
ENSMPUP00000016675	ENSMPUG00000016780	Mustela_putorius_furo
ENSNVIP00000029909	ENSNVIG00000023045	Neovison_vison
ENSCAFP00020003127	ENSCAFG00020002652	Canis_lupus_dingo
ENSCAFP00000049134	ENSCAFG00000008921	Canis_lupus_familiaris
ENSVVUP00000033901	ENSVVUG00000024437	Vulpes_vulpes
ENSPPRP00000017004	ENSPPRG00000009113	Panthera_pardus
ENSPTIP00000002789	ENSPTIG00000005708	Panthera_tigris_altaica
ENSFCAP00000014581	ENSFCAG00000015721	Felis_catus
ENSECAP00000015599	ENSECAG00000017761	Equus_caballus
ENSEASP00005021430	ENSEASG00005014673	Equus_asinus_asinus
ENSMLUP00000008289	ENSMLUG00000009093	Myotis_lucifugus
ENSPVAP00000011871	ENSPVAG00000012590	Pteropus_vampyrus
