ENSPEMP00000030470	ENSPEMG00000030192	Peromyscus_maniculatus_bairdii
ENSCCNP00000014716	ENSCCNG00000015192	Castor_canadensis
ENSOCUP00000042414	ENSOCUG00000036568	Oryctolagus_cuniculus
ENSPPAP00000013196	ENSPPAG00000029781	Pan_paniscus
ENSPTRP00000078663	ENSPTRG00000045943	Pan_troglodytes
ENSGGOP00000031145	ENSGGOG00000036723	Gorilla_gorilla
ENSNLEP00000024570	ENSNLEG00000034852	Nomascus_leucogenys
ENSMFAP00000037193	ENSMFAG00000037852	Macaca_fascicularis
ENSMNEP00000000804	ENSMNEG00000003900	Macaca_nemestrina
ENSCATP00000026501	ENSCATG00000036657	Cercocebus_atys
ENSMLEP00000001253	ENSMLEG00000005087	Mandrillus_leucophaeus
ENSTGEP00000027121	ENSTGEG00000021906	Theropithecus_gelada
ENSPANP00000030902	ENSPANG00000029955	Papio_anubis
ENSRBIP00000027060	ENSRBIG00000037393	Rhinopithecus_bieti
ENSRROP00000029204	ENSRROG00000038403	Rhinopithecus_roxellana
ENSPTEP00000005442	ENSPTEG00000006300	Piliocolobus_tephrosceles
ENSCANP00000017204	ENSCANG00000032057	Colobus_angolensis_palliatus
ENSANAP00000033429	ENSANAG00000034388	Aotus_nancymaae
ENSSBOP00000008890	ENSSBOG00000021351	Saimiri_boliviensis_boliviensis
ENSPSMP00000011526	ENSPSMG00000008321	Prolemur_simus
ENSUMAP00000029813	ENSUMAG00000021582	Ursus_maritimus
ENSUAMP00000031161	ENSUAMG00000023918	Ursus_americanus
ENSVVUP00000020458	ENSVVUG00000015060	Vulpes_vulpes
ENSNVIP00000000815	ENSNVIG00000000725	Neovison_vison
ENSSSCP00000073411	ENSSSCG00000050732	Sus_scrofa_strain_reference
ENSEASP00005008538	ENSEASG00005006143	Equus_asinus_asinus
ENSECAP00000044899	ENSECAG00000038166	Equus_caballus
