ENSPTRP00000063550	ENSPTRG00000045823	Pan_troglodytes	ENSPTRT00000096518
ENSPPAP00000008065	ENSPPAG00000027270	Pan_paniscus	ENSPPAT00000030700
ENSGGOP00000037212	ENSGGOG00000039588	Gorilla_gorilla	ENSGGOT00000062905
ENSNLEP00000048243	ENSNLEG00000036042	Nomascus_leucogenys	ENSNLET00000035726
ENSMLEP00000007047	ENSMLEG00000027483	Mandrillus_leucophaeus	ENSMLET00000030324
ENSCATP00000001882	ENSCATG00000008634	Cercocebus_atys	ENSCATT00000009498
ENSPANP00000030586	ENSPANG00000031064	Papio_anubis	ENSPANT00000037594
ENSTGEP00000012215	ENSTGEG00000009959	Theropithecus_gelada	ENSTGET00000014677
ENSMNEP00000001531	ENSMNEG00000006917	Macaca_nemestrina	ENSMNET00000007532
ENSMFAP00000014212	ENSMFAG00000030216	Macaca_fascicularis	ENSMFAT00000064689
ENSANAP00000007172	ENSANAG00000021661	Aotus_nancymaae	ENSANAT00000024948
ENSCCAP00000000194	ENSCCAG00000001067	Cebus_capucinus_imitator	ENSCCAT00000001101
