ENSPTRP00000073102	ENSPTRG00000010682	Pan_troglodytes
ENSEBUP00000006593	ENSEBUG00000004347	Eptatretus_burgeri
ENSORLP00000004111	ENSORLG00000003304	Oryzias_latipes_ASM223467v1
ENSLBEP00000026573	ENSLBEG00000020221	Labrus_bergylta
ENSMMMP00000000574	ENSMMMG00000000547	Marmota_marmota_marmota
ENSBSLP00000052826	ENSBSLG00000024941	Betta_splendens
ENSSBOP00000006649	ENSSBOG00000020295	Saimiri_boliviensis_boliviensis
ENSMFAP00000044242	ENSMFAG00000039483	Macaca_fascicularis
ENSONIP00000001424	ENSONIG00000001125	Oreochromis_niloticus
ENSGMOP00000001060	ENSGMOG00000001018	Gadus_morhua
ENSAMXP00000032609	ENSAMXG00000031234	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSKMAP00000018550	ENSKMAG00000013805	Kryptolebias_marmoratus
ENSCHIP00000021533	ENSCHIG00000019831	Capra_hircus
ENSBIXP00000041852	ENSBIXG00000026033	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSGWIP00000000779	ENSGWIG00000000501	Gouania_willdenowi
ENSMUGP00000016901	ENSMUGG00000014451	Meriones_unguiculatus
ENSFALP00000002776	ENSFALG00000002659	Ficedula_albicollis
ENSIPUP00000036959	ENSIPUG00000024752	Ictalurus_punctatus
ENSHHUP00000046951	ENSHHUG00000028551	Hucho_hucho
ENSBMUP00000033554	ENSBMUG00000025043	Bos_mutus
ENSBSLP00000020967	ENSBSLG00000010800	Betta_splendens
ENSPVIP00000018390	ENSPVIG00000014060	Pogona_vitticeps
ENSFCAP00000026423	ENSFCAG00000033175	Felis_catus
ENSPPRP00000012441	ENSPPRG00000005989	Panthera_pardus
ENSPRNP00000006588	ENSPRNG00000003958	Parambassis_ranga
ENSGWIP00000029718	ENSGWIG00000015525	Gouania_willdenowi
ENSGAFP00000028300	ENSGAFG00000019145	Gambusia_affinis
ENSRNOP00000025385	ENSRNOG00000018781	Rattus_norvegicus
ENSPPYP00000010893	ENSPPYG00000009721	Pongo_abelii
ENSORLP00020013114	ENSORLG00020014055	Oryzias_latipes_ASM223471v1
ENSETEP00000006354	ENSETEG00000007823	Echinops_telfairi
ENSLBEP00000029180	ENSLBEG00000022075	Labrus_bergylta
ENSCGRP00000017683	ENSCGRG00000012862	Cricetulus_griseus_CriGri_1.0
ENSPMEP00000019894	ENSPMEG00000022944	Poecilia_mexicana
ENSHBUP00000025657	ENSHBUG00000007748	Haplochromis_burtoni
ENSCAFP00020014562	ENSCAFG00020011769	Canis_lupus_dingo
ENSPMGP00000001037	ENSPMGG00000000944	Periophthalmus_magnuspinnatus
ENSORLP00020005203	ENSORLG00020005999	Oryzias_latipes_ASM223471v1
ENSELUP00000003026	ENSELUG00000004317	Esox_lucius
ENSSPUP00000008979	ENSSPUG00000007005	Sphenodon_punctatus
ENSUMAP00000015427	ENSUMAG00000011311	Ursus_maritimus
ENSKMAP00000006998	ENSKMAG00000005296	Kryptolebias_marmoratus
ENSLAFP00000002522	ENSLAFG00000003027	Loxodonta_africana
ENSCANP00000004687	ENSCANG00000016095	Colobus_angolensis_palliatus
ENSGAFP00000002229	ENSGAFG00000001551	Gambusia_affinis
ENSOGAP00000021588	ENSOGAG00000025035	Otolemur_garnettii
ENSANAP00000028557	ENSANAG00000032114	Aotus_nancymaae
ENSGAGP00000018388	ENSGAGG00000013614	Gopherus_agassizii
ENSMUNP00000022013	ENSMUNG00000016579	Melopsittacus_undulatus	ENSMUNT00000025115
MGP_SPRETEiJ_P0088355	MGP_SPRETEiJ_G0032293	Mus_spretus_strain_SPRET/EiJ
ENSEBUP00000007599	ENSEBUG00000004962	Eptatretus_burgeri	ENSEBUT00000008085
ENSCGOP00000055235	ENSCGOG00000024109	Cottoperca_gobio
ENSUAMP00000000295	ENSUAMG00000000342	Ursus_americanus
ENSPCOP00000011088	ENSPCOG00000017046	Propithecus_coquereli
ENSPRNP00000047251	ENSPRNG00000022727	Parambassis_ranga
ENSGACP00000012899	ENSGACG00000009771	Gasterosteus_aculeatus
ENSACIP00000023184	ENSACIG00000017992	Amphilophus_citrinellus
ENSMLEP00000025276	ENSMLEG00000036842	Mandrillus_leucophaeus
ENSCAPP00000013107	ENSCAPG00000013806	Cavia_aperea
ENSORLP00015001659	ENSORLG00015002287	Oryzias_latipes_ASM223469v1
ENSSPAP00000023934	ENSSPAG00000018052	Stegastes_partitus
ENSCJAP00000063090	ENSCJAG00000013920	Callithrix_jacchus
ENSMOCP00000017305	ENSMOCG00000015944	Microtus_ochrogaster
ENSOMEP00000005647	ENSOMEG00000006655	Oryzias_melastigma
ENSHBUP00000006699	ENSHBUG00000008143	Haplochromis_burtoni
ENSSFOP00015034669	ENSSFOG00015022088	Scleropages_formosus
ENSDARP00000137630	ENSDARG00000060805	Danio_rerio
ENSLCOP00000018929	ENSLCOG00000013387	Lepidothrix_coronata	ENSLCOT00000019995
ENSSTOP00000017491	ENSSTOG00000021851	Ictidomys_tridecemlineatus
ENSPLAP00000005939	ENSPLAG00000007979	Poecilia_latipinna
ENSLCAP00010030878	ENSLCAG00010014503	Lates_calcarifer
ENSODEP00000003409	ENSODEG00000002615	Octodon_degus
ENSMZEP00005000173	ENSMZEG00005000222	Maylandia_zebra
ENSHCOP00000016740	ENSHCOG00000020518	Hippocampus_comes
ENSARWP00000023189	ENSARWG00000015810	Apteryx_rowi	ENSARWT00000026284
ENSAPOP00000000309	ENSAPOG00000001497	Acanthochromis_polyacanthus
ENSXMAP00000024676	ENSXMAG00000024636	Xiphophorus_maculatus
ENSPNAP00000008413	ENSPNAG00000014029	Pygocentrus_nattereri
ENSACIP00000007551	ENSACIG00000005904	Amphilophus_citrinellus
ENSPNYP00000017536	ENSPNYG00000013227	Pundamilia_nyererei
ENSATEP00000011779	ENSATEG00000008234	Anabas_testudineus
ENSSPAP00000015781	ENSSPAG00000011893	Stegastes_partitus
ENSDNVP00000008967	ENSDNVG00000006381	Dromaius_novaehollandiae	ENSDNVT00000010809
ENSCSAP00000001811	ENSCSAG00000005503	Chlorocebus_sabaeus
ENSGGOP00000007081	ENSGGOG00000007237	Gorilla_gorilla
ENSTGEP00000016275	ENSTGEG00000013168	Theropithecus_gelada
ENSSMRP00000008743	ENSSMRG00000006995	Salvator_merianae
ENSMMUP00000043805	ENSMMUG00000022742	Macaca_mulatta
ENSAMXP00005044308	ENSAMXG00005020569	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPEMP00000036368	ENSPEMG00000029387	Peromyscus_maniculatus_bairdii
ENSCPGP00000020182	ENSCPGG00000014146	Calidris_pygmaea	ENSCPGT00000022113
ENSCAFP00000022440	ENSCAFG00000015229	Canis_lupus_familiaris
ENSCVAP00000027290	ENSCVAG00000013518	Cyprinodon_variegatus
ENSXCOP00000018832	ENSXCOG00000014173	Xiphophorus_couchianus
ENSPMJP00000015405	ENSPMJG00000011706	Parus_major
ENSCHAP00000019018	ENSCHAG00000009783	Clupea_harengus
ENSBIXP00005033891	ENSBIXG00005014741	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSOARP00000016681	ENSOARG00000015551	Ovis_aries
ENSCSEP00000005511	ENSCSEG00000003566	Cynoglossus_semilaevis
ENSPNYP00000018077	ENSPNYG00000013658	Pundamilia_nyererei
ENSAOCP00000007955	ENSAOCG00000011867	Amphiprion_ocellaris
ENSSMAP00000023957	ENSSMAG00000014633	Scophthalmus_maximus
ENSSDUP00000017434	ENSSDUG00000012723	Seriola_dumerili
ENSORLP00000027776	ENSORLG00000028835	Oryzias_latipes_ASM223467v1
ENSPSMP00000036781	ENSPSMG00000025300	Prolemur_simus
ENSHHUP00000028748	ENSHHUG00000018336	Hucho_hucho
ENSMAMP00000004118	ENSMAMG00000002800	Mastacembelus_armatus
ENSJJAP00000025169	ENSJJAG00000024424	Jaculus_jaculus
ENSCGRP00001005347	ENSCGRG00001007033	Cricetulus_griseus_CHOK1GS_HDv1
ENSFCAP00000058146	ENSFCAG00000050012	Felis_catus
ENSSLDP00000024547	ENSSLDG00000019115	Seriola_lalandi_dorsalis
ENSEEEP00000024656	ENSEEEG00000011948	Electrophorus_electricus
ENSVVUP00000014041	ENSVVUG00000010278	Vulpes_vulpes
ENSUPAP00010024248	ENSUPAG00010019249	Urocitellus_parryii
ENSPCAP00000000624	ENSPCAG00000000650	Procavia_capensis
ENSBBBP00000018297	ENSBBBG00000011114	Bison_bison_bison
ENSAPEP00000018375	ENSAPEG00000013056	Amphiprion_percula
ENSEASP00005008212	ENSEASG00005005933	Equus_asinus_asinus
ENSAMXP00000039424	ENSAMXG00000038103	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPVAP00000016391	ENSPVAG00000017372	Pteropus_vampyrus
ENSMMOP00000011320	ENSMMOG00000008712	Mola_mola
ENSXMAP00000010782	ENSXMAG00000010760	Xiphophorus_maculatus
ENSRROP00000015329	ENSRROG00000031854	Rhinopithecus_roxellana
ENSLCRP00005044602	ENSLCRG00005017088	Larimichthys_crocea
ENSGACP00000017743	ENSGACG00000013421	Gasterosteus_aculeatus
ENSGMOP00000012880	ENSGMOG00000012041	Gadus_morhua
ENSMUSP00000019405	ENSMUSG00000019261	Mus_musculus_strain_reference_(CL57BL6)
ENSDCDP00000061641	ENSDCDG00000035116	Denticeps_clupeoides
ENSMICP00000049213	ENSMICG00000041940	Microcebus_murinus
ENSMPUP00000015704	ENSMPUG00000015812	Mustela_putorius_furo
ENSMALP00000014513	ENSMALG00000010203	Monopterus_albus
ENSCSEP00000000829	ENSCSEG00000000588	Cynoglossus_semilaevis
ENSTRUP00000041038	ENSTRUG00000016047	Takifugu_rubripes
ENSPTEP00000032773	ENSPTEG00000031425	Piliocolobus_tephrosceles
ENSNLEP00000007071	ENSNLEG00000005844	Nomascus_leucogenys
ENSMALP00000030361	ENSMALG00000021002	Monopterus_albus
ENSIPUP00000020963	ENSIPUG00000014208	Ictalurus_punctatus
ENSMAUP00000011130	ENSMAUG00000011810	Mesocricetus_auratus
ENSSHAP00000010939	ENSSHAG00000009426	Sarcophilus_harrisii
ENSLSDP00000007189	ENSLSDG00000005410	Lonchura_striata_domestica
ENSCCNP00000022452	ENSCCNG00000022099	Castor_canadensis
ENSTNIP00000007375	ENSTNIG00000004722	Tetraodon_nigroviridis
ENSPNAP00000031085	ENSPNAG00000018220	Pygocentrus_nattereri
ENSAPOP00000012391	ENSAPOG00000015070	Acanthochromis_polyacanthus
ENSMMOP00000010049	ENSMMOG00000007772	Mola_mola
ENSTRUP00000056468	ENSTRUG00000008258	Takifugu_rubripes
ENSCATP00000014172	ENSCATG00000031132	Cercocebus_atys
ENSSMAP00000024003	ENSSMAG00000014673	Scophthalmus_maximus
ENSPPAP00000027952	ENSPPAG00000037035	Pan_paniscus
ENSACLP00000029518	ENSACLG00000020005	Astatotilapia_calliptera
ENSNBRP00000008613	ENSNBRG00000006763	Neolamprologus_brichardi
ENSNPEP00000016929	ENSNPEG00000012613	Nothoprocta_perdicaria
ENSRBIP00000043190	ENSRBIG00000044776	Rhinopithecus_bieti
ENSPFOP00000008775	ENSPFOG00000008796	Poecilia_formosa
ENSAMEP00000011300	ENSAMEG00000010743	Ailuropoda_melanoleuca
ENSCGRP00015002577	ENSCGRG00015002012	Cricetulus_griseus_CriGri-PICR
ENSP00000325313	ENSG00000130479	Homo_sapiens
ENSGALP00000046746	ENSGALG00000039108	Gallus_gallus
MGP_PahariEiJ_P0047727	MGP_PahariEiJ_G0021640	Mus_pahari_strain_PAHARI_EIJ
ENSCJPP00005012892	ENSCJPG00005010925	Coturnix_japonica
ENSPMEP00000002296	ENSPMEG00000003388	Poecilia_mexicana
ENSPREP00000008292	ENSPREG00000005678	Poecilia_reticulata
ENSOMEP00000010177	ENSOMEG00000011456	Oryzias_melastigma
ENSAOCP00000031727	ENSAOCG00000023597	Amphiprion_ocellaris
ENSLCRP00005042304	ENSLCRG00005016227	Larimichthys_crocea
ENSNVIP00000021541	ENSNVIG00000016851	Neovison_vison
ENSCMIP00000011291	ENSCMIG00000005873	Callorhinchus_milii
ENSPFOP00000014355	ENSPFOG00000014321	Poecilia_formosa
ENSCVAP00000014677	ENSCVAG00000017345	Cyprinodon_variegatus
ENSVURP00010019131	ENSVURG00010014460	Vombatus_ursinus
ENSFCAP00000040024	ENSFCAG00000044766	Felis_catus
ENSTNIP00000020325	ENSTNIG00000017188	Tetraodon_nigroviridis
ENSMZEP00005028083	ENSMZEG00005020955	Maylandia_zebra
ENSLOCP00000000942	ENSLOCG00000000850	Lepisosteus_oculatus
