ENSPSMP00000003350	ENSPSMG00000002747	Prolemur_simus
ENSPCOP00000011853	ENSPCOG00000017463	Propithecus_coquereli
ENSSBOP00000004380	ENSSBOG00000018747	Saimiri_boliviensis_boliviensis
ENSCCAP00000004576	ENSCCAG00000019840	Cebus_capucinus_imitator
ENSCJAP00000067691	ENSCJAG00000039445	Callithrix_jacchus
ENSANAP00000027254	ENSANAG00000031452	Aotus_nancymaae
ENSPTEP00000023060	ENSPTEG00000023872	Piliocolobus_tephrosceles
ENSCANP00000002524	ENSCANG00000009409	Colobus_angolensis_palliatus
ENSPANP00000027387	ENSPANG00000033284	Papio_anubis
ENSCATP00000003233	ENSCATG00000012956	Cercocebus_atys
ENSTGEP00000004843	ENSTGEG00000004055	Theropithecus_gelada
ENSMFAP00000013217	ENSMFAG00000028381	Macaca_fascicularis
ENSMNEP00000003329	ENSMNEG00000015507	Macaca_nemestrina
ENSMLEP00000003270	ENSMLEG00000013965	Mandrillus_leucophaeus
ENSRROP00000029127	ENSRROG00000038359	Rhinopithecus_roxellana
ENSRBIP00000013677	ENSRBIG00000030909	Rhinopithecus_bieti
ENSNLEP00000035104	ENSNLEG00000029139	Nomascus_leucogenys
ENSMUGP00000000807	ENSMUGG00000000763	Meriones_unguiculatus
ENSCGRP00015017568	ENSCGRG00015013516	Cricetulus_griseus_CriGri-PICR
ENSPPRP00000026250	ENSPPRG00000016855	Panthera_pardus	ENSPPRT00000026012
ENSPTIP00000016575	ENSPTIG00000015310	Panthera_tigris_altaica
ENSFCAP00000035277	ENSFCAG00000037177	Felis_catus
ENSEASP00005034367	ENSEASG00005023460	Equus_asinus_asinus
ENSCHIP00000009902	ENSCHIG00000012606	Capra_hircus
