ENSMEUP00000014176	ENSMEUG00000015523	Notamacropus_eugenii
ENSSHAP00000000435	ENSSHAG00000000384	Sarcophilus_harrisii
ENSVURP00010030926	ENSVURG00010023653	Vombatus_ursinus
ENSPCIP00000039430	ENSPCIG00000028941	Phascolarctos_cinereus
ENSSHAP00000013838	ENSSHAG00000011834	Sarcophilus_harrisii
ENSMODP00000008482	ENSMODG00000006845	Monodelphis_domestica
ENSMLUP00000012682	ENSMLUG00000013933	Myotis_lucifugus
ENSPVAP00000012657	ENSPVAG00000013417	Pteropus_vampyrus
ENSMLUP00000020369	ENSMLUG00000029464	Myotis_lucifugus
ENSUMAP00000001775	ENSUMAG00000001645	Ursus_maritimus
ENSUAMP00000031287	ENSUAMG00000024007	Ursus_americanus
ENSAMEP00000014358	ENSAMEG00000013603	Ailuropoda_melanoleuca
ENSNVIP00000005573	ENSNVIG00000004465	Neovison_vison
ENSMPUP00000014411	ENSMPUG00000014521	Mustela_putorius_furo
ENSCAFP00000028345	ENSCAFG00000019219	Canis_lupus_familiaris
ENSCAFP00020014131	ENSCAFG00020011430	Canis_lupus_dingo
ENSVVUP00000005890	ENSVVUG00000004615	Vulpes_vulpes
ENSPPRP00000027594	ENSPPRG00000019243	Panthera_pardus
ENSPTIP00000019077	ENSPTIG00000016967	Panthera_tigris_altaica
ENSFCAP00000024641	ENSFCAG00000030898	Felis_catus
ENSTTRP00000015346	ENSTTRG00000016189	Tursiops_truncatus
ENSSSCP00000035777	ENSSSCG00000038967	Sus_scrofa_strain_reference
ENSBIXP00000014042	ENSBIXG00000003305	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005009759	ENSBIXG00005002030	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000031730	ENSBMUG00000023673	Bos_mutus
ENSBTAP00000072989	ENSBTAG00000000212	Bos_taurus
ENSBBBP00000009233	ENSBBBG00000017329	Bison_bison_bison
ENSCHIP00000027602	ENSCHIG00000023452	Capra_hircus
ENSOARP00000002145	ENSOARG00000002033	Ovis_aries
ENSECAP00000020523	ENSECAG00000022883	Equus_caballus
ENSEASP00005021115	ENSEASG00005014442	Equus_asinus_asinus
ENSEEUP00000005313	ENSEEUG00000005801	Erinaceus_europaeus
ENSP00000367890	ENSG00000008130	Homo_sapiens
ENSGGOP00000000302	ENSGGOG00000000307	Gorilla_gorilla
ENSPPAP00000018428	ENSPPAG00000032335	Pan_paniscus
