ENSBIXP00000012150	ENSBIXG00000017235	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005017771	ENSBIXG00005007369	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000026517	ENSBMUG00000019921	Bos_mutus
ENSBBBP00000007635	ENSBBBG00000015655	Bison_bison_bison
ENSOARP00000010169	ENSOARG00000009473	Ovis_aries
ENSCHIP00000015679	ENSCHIG00000016235	Capra_hircus
ENSTTRP00000008253	ENSTTRG00000008708	Tursiops_truncatus
ENSVPAP00000010180	ENSVPAG00000010933	Vicugna_pacos
ENSCAFP00020015444	ENSCAFG00020012410	Canis_lupus_dingo
ENSCAFP00000006882	ENSCAFG00000004610	Canis_lupus_familiaris
ENSVVUP00000011251	ENSVVUG00000008286	Vulpes_vulpes
ENSNVIP00000009705	ENSNVIG00000007673	Neovison_vison
ENSMPUP00000006109	ENSMPUG00000006161	Mustela_putorius_furo
ENSUMAP00000032386	ENSUMAG00000023321	Ursus_maritimus
ENSUAMP00000005449	ENSUAMG00000004835	Ursus_americanus
ENSAMEP00000013395	ENSAMEG00000012730	Ailuropoda_melanoleuca
ENSPTIP00000024715	ENSPTIG00000020728	Panthera_tigris_altaica
ENSPPRP00000019694	ENSPPRG00000010972	Panthera_pardus
ENSFCAP00000015689	ENSFCAG00000018891	Felis_catus
ENSEASP00005019912	ENSEASG00005013735	Equus_asinus_asinus
ENSECAP00000011918	ENSECAG00000014224	Equus_caballus
ENSPVAP00000015050	ENSPVAG00000015949	Pteropus_vampyrus
ENSCJAP00000023943	ENSCJAG00000013040	Callithrix_jacchus
ENSSBOP00000036647	ENSSBOG00000034451	Saimiri_boliviensis_boliviensis
ENSCCAP00000013605	ENSCCAG00000024617	Cebus_capucinus_imitator
ENSANAP00000018917	ENSANAG00000027288	Aotus_nancymaae
ENSRROP00000045513	ENSRROG00000045650	Rhinopithecus_roxellana
ENSRBIP00000021919	ENSRBIG00000034907	Rhinopithecus_bieti
ENSCANP00000000047	ENSCANG00000000172	Colobus_angolensis_palliatus
ENSPTEP00000038713	ENSPTEG00000035928	Piliocolobus_tephrosceles
ENSPANP00000019549	ENSPANG00000024333	Papio_anubis
ENSTGEP00000024213	ENSTGEG00000019586	Theropithecus_gelada
ENSCATP00000019172	ENSCATG00000033379	Cercocebus_atys
ENSMLEP00000038715	ENSMLEG00000043412	Mandrillus_leucophaeus
ENSMFAP00000012478	ENSMFAG00000024498	Macaca_fascicularis
ENSMNEP00000030171	ENSMNEG00000038542	Macaca_nemestrina
ENSMMUP00000078807	ENSMMUG00000055305	Macaca_mulatta
ENSCSAP00000014808	ENSCSAG00000003240	Chlorocebus_sabaeus
ENSP00000466775	ENSG00000234906	Homo_sapiens
ENSGGOP00000030270	ENSGGOG00000022601	Gorilla_gorilla
ENSPPAP00000039494	ENSPPAG00000042437	Pan_paniscus
ENSPPYP00000011300	ENSPPYG00000010101	Pongo_abelii
ENSTSYP00000020398	ENSTSYG00000025580	Carlito_syrichta
ENSPCOP00000027568	ENSPCOG00000026300	Propithecus_coquereli
ENSMICP00000037836	ENSMICG00000030597	Microcebus_murinus
ENSPSMP00000036673	ENSPSMG00000025228	Prolemur_simus
ENSMMMP00000016570	ENSMMMG00000014736	Marmota_marmota_marmota
ENSSDAP00000011442	ENSSDAG00000010332	Spermophilus_dauricus
ENSUPAP00010027560	ENSUPAG00010021782	Urocitellus_parryii
ENSHGLP00000013783	ENSHGLG00000009840	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100024751	ENSHGLG00100018178	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000008493	ENSFDAG00000016747	Fukomys_damarensis
ENSCPOP00000019331	ENSCPOG00000009302	Cavia_porcellus
ENSCAPP00000011239	ENSCAPG00000012350	Cavia_aperea
ENSCLAP00000001523	ENSCLAG00000001142	Chinchilla_lanigera
ENSODEP00000011397	ENSODEG00000008478	Octodon_degus
ENSMUSP00000118305	ENSMUSG00000109350	Mus_musculus_strain_reference_(CL57BL6)
ENSMUSP00000115173	ENSMUSG00000002992	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0081115	MGP_SPRETEiJ_G0030386	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000008038	ENSMSIG00000007132	Mus_spicilegus
MGP_CAROLIEiJ_P0077806	MGP_CAROLIEiJ_G0029302	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0046156	MGP_PahariEiJ_G0021162	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000024800	ENSRNOG00000018402	Rattus_norvegicus
ENSMUGP00000000970	ENSMUGG00000000913	Meriones_unguiculatus
ENSCGRP00001004537	ENSCGRG00001005778	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000016102	ENSCGRG00000011691	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015008286	ENSCGRG00015006428	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000014563	ENSMAUG00000014292	Mesocricetus_auratus
ENSMOCP00000010402	ENSMOCG00000010632	Microtus_ochrogaster
ENSPEMP00000018764	ENSPEMG00000017266	Peromyscus_maniculatus_bairdii
ENSNGAP00000020180	ENSNGAG00000019759	Nannospalax_galili
ENSJJAP00000015354	ENSJJAG00000017546	Jaculus_jaculus
ENSCCNP00000000384	ENSCCNG00000000435	Castor_canadensis
ENSDORP00000025570	ENSDORG00000027051	Dipodomys_ordii
ENSDNOP00000027312	ENSDNOG00000048532	Dasypus_novemcinctus
ENSBTAP00000072164	ENSBTAG00000020558	Bos_taurus
ENSSSCP00000033486	ENSSSCG00000003086	Sus_scrofa_strain_reference
ENSOCUP00000023655	ENSOCUG00000020983	Oryctolagus_cuniculus
ENSLAFP00000019844	ENSLAFG00000027825	Loxodonta_africana
ENSPCAP00000009884	ENSPCAG00000010633	Procavia_capensis
ENSOPRP00000015870	ENSOPRG00000019048	Ochotona_princeps
ENSPCIP00000030792	ENSPCIG00000022899	Phascolarctos_cinereus
ENSVURP00010000400	ENSVURG00010000383	Vombatus_ursinus
ENSSHAP00000002704	ENSSHAG00000002392	Sarcophilus_harrisii
ENSOANP00000025221	ENSOANG00000019877	Ornithorhynchus_anatinus
ENSAMXP00000028150	ENSAMXG00000034641	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000054399
ENSPNAP00000019512	ENSPNAG00000004921	Pygocentrus_nattereri	ENSPNAT00000029359
ENSEEEP00000029311	ENSEEEG00000014043	Electrophorus_electricus	ENSEEET00000029650
ENSDARP00000112765	ENSDARG00000092155	Danio_rerio
ENSCHAP00000012410	ENSCHAG00000006934	Clupea_harengus
ENSCGOP00000018689	ENSCGOG00000008968	Cottoperca_gobio
ENSPMGP00000004247	ENSPMGG00000003623	Periophthalmus_magnuspinnatus
ENSBSLP00000050945	ENSBSLG00000024196	Betta_splendens
ENSGWIP00000023573	ENSGWIG00000012575	Gouania_willdenowi
ENSLBEP00000001830	ENSLBEG00000001445	Labrus_bergylta
ENSGACP00000004541	ENSGACG00000003473	Gasterosteus_aculeatus
ENSTRUP00000007424	ENSTRUG00000023643	Takifugu_rubripes
ENSTNIP00000009172	ENSTNIG00000006404	Tetraodon_nigroviridis
ENSKMAP00000016775	ENSKMAG00000012522	Kryptolebias_marmoratus
ENSFHEP00000010466	ENSFHEG00000000266	Fundulus_heteroclitus
ENSORLP00015004683	ENSORLG00015005463	Oryzias_latipes_ASM223469v1
ENSORLP00020019604	ENSORLG00020020620	Oryzias_latipes_ASM223471v1
ENSORLP00000042203	ENSORLG00000023335	Oryzias_latipes_ASM223467v1
ENSOMEP00000032202	ENSOMEG00000017501	Oryzias_melastigma
ENSMZEP00005004829	ENSMZEG00005003736	Maylandia_zebra
ENSPNYP00000019495	ENSPNYG00000014728	Pundamilia_nyererei
ENSHBUP00000016096	ENSHBUG00000018041	Haplochromis_burtoni
ENSACLP00000041078	ENSACLG00000027667	Astatotilapia_calliptera
ENSPRNP00000022407	ENSPRNG00000011482	Parambassis_ranga
ENSMAMP00000009906	ENSMAMG00000006680	Mastacembelus_armatus
ENSMALP00000019341	ENSMALG00000013499	Monopterus_albus
ENSATEP00000015870	ENSATEG00000010988	Anabas_testudineus
ENSSDUP00000012534	ENSSDUG00000009130	Seriola_dumerili
