ENSSLDP00000017202	ENSSLDG00000013553	Seriola_lalandi_dorsalis
ENSUMAP00000027497	ENSUMAG00000019904	Ursus_maritimus
ENSHGLP00100020150	ENSHGLG00100014851	Heterocephalus_glaber_HetGla_1.0
ENSXCOP00000007578	ENSXCOG00000005843	Xiphophorus_couchianus
ENSCGRP00000024172	ENSCGRG00000017522	Cricetulus_griseus_CriGri_1.0
ENSPPYP00000008412	ENSPPYG00000007446	Pongo_abelii
ENSMUSP00000105000	ENSMUSG00000014791	Mus_musculus_strain_reference_(CL57BL6)
ENSEEUP00000013189	ENSEEUG00000014436	Erinaceus_europaeus
ENSNBRP00000023537	ENSNBRG00000017988	Neolamprologus_brichardi
ENSNGAP00000004803	ENSNGAG00000006509	Nannospalax_galili
ENSCANP00000015589	ENSCANG00000031226	Colobus_angolensis_palliatus
ENSACIP00000006287	ENSACIG00000004869	Amphilophus_citrinellus
ENSGAGP00000013759	ENSGAGG00000010489	Gopherus_agassizii	ENSGAGT00000015757
ENSCMIP00000032853	ENSCMIG00000013751	Callorhinchus_milii
ENSCCEP00000008302	ENSCCEG00000008563	Cyanistes_caeruleus
ENSCCNP00000012063	ENSCCNG00000012480	Castor_canadensis
ENSAMEP00000018285	ENSAMEG00000017281	Ailuropoda_melanoleuca
ENSPREP00000001563	ENSPREG00000001162	Poecilia_reticulata
ENSLCRP00005041227	ENSLCRG00005013526	Larimichthys_crocea
MGP_CAROLIEiJ_P0085788	MGP_CAROLIEiJ_G0031474	Mus_caroli_strain_CAROLI_EIJ
ENSMPUP00000005632	ENSMPUG00000005677	Mustela_putorius_furo
ENSBMUP00000005475	ENSBMUG00000004292	Bos_mutus
ENSCPBP00000021779	ENSCPBG00000015646	Chrysemys_picta_bellii
ENSNSUP00000013027	ENSNSUG00000009512	Notechis_scutatus
ENSHBUP00000011149	ENSHBUG00000012815	Haplochromis_burtoni
ENSECAP00000005596	ENSECAG00000006824	Equus_caballus
ENSOGAP00000000010	ENSOGAG00000000011	Otolemur_garnettii
ENSPEMP00000030149	ENSPEMG00000009050	Peromyscus_maniculatus_bairdii
ENSSDUP00000030411	ENSSDUG00000021897	Seriola_dumerili
ENSCHAP00000009551	ENSCHAG00000002443	Clupea_harengus
ENSPMEP00000026680	ENSPMEG00000010517	Poecilia_mexicana
ENSVURP00010028274	ENSVURG00010021648	Vombatus_ursinus
ENSEASP00005017995	ENSEASG00005011163	Equus_asinus_asinus
ENSPTEP00000016581	ENSPTEG00000018196	Piliocolobus_tephrosceles
ENSRROP00000043811	ENSRROG00000044911	Rhinopithecus_roxellana
ENSGAFP00000030421	ENSGAFG00000020496	Gambusia_affinis
ENSPRNP00000003042	ENSPRNG00000001875	Parambassis_ranga
ENSTBEP00000009792	ENSTBEG00000011307	Tupaia_belangeri
MGP_PahariEiJ_P0054042	MGP_PahariEiJ_G0023074	Mus_pahari_strain_PAHARI_EIJ
ENSUPAP00010002134	ENSUPAG00010001733	Urocitellus_parryii
ENSVVUP00000015796	ENSVVUG00000011584	Vulpes_vulpes
ENSMODP00000007595	ENSMODG00000006128	Monodelphis_domestica
ENSJJAP00000009094	ENSJJAG00000013057	Jaculus_jaculus
ENSPNYP00000025958	ENSPNYG00000019559	Pundamilia_nyererei
ENSXCOP00000008173	ENSXCOG00000006275	Xiphophorus_couchianus
ENSJHYP00000002478	ENSJHYG00000002091	Junco_hyemalis
ENSPANP00000013077	ENSPANG00000005501	Papio_anubis
ENSMAMP00000025868	ENSMAMG00000017343	Mastacembelus_armatus
ENSORLP00015022859	ENSORLG00015002511	Oryzias_latipes_ASM223469v1
ENSLAFP00000005291	ENSLAFG00000006304	Loxodonta_africana
ENSHHUP00000011949	ENSHHUG00000007299	Hucho_hucho
ENSBIXP00005017719	ENSBIXG00005021218	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSEEEP00000015624	ENSEEEG00000007162	Electrophorus_electricus
ENSPMJP00000018900	ENSPMJG00000014170	Parus_major
ENSAMXP00000050143	ENSAMXG00000037632	Astyanax_mexicanus_Astyanax_mexicanus-2.0
