ENSCGRP00015031210	ENSCGRG00015023526	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000003839	ENSCGRG00000002830	Cricetulus_griseus_CriGri_1.0
ENSNLEP00000043949	ENSNLEG00000032260	Nomascus_leucogenys
ENSAOWP00000002271	ENSAOWG00000001629	Apteryx_owenii
ENSARWP00000000072	ENSARWG00000000092	Apteryx_rowi
ENSCJPP00005002945	ENSCJPG00005003217	Coturnix_japonica
ENSPMEP00000015767	ENSPMEG00000018338	Poecilia_mexicana
ENSPLAP00000025238	ENSPLAG00000012089	Poecilia_latipinna
ENSPREP00000010555	ENSPREG00000007203	Poecilia_reticulata
ENSGAFP00000019128	ENSGAFG00000012918	Gambusia_affinis
ENSACLP00000026348	ENSACLG00000017917	Astatotilapia_calliptera
ENSAOCP00000026811	ENSAOCG00000015284	Amphiprion_ocellaris
ENSMMOP00000013593	ENSMMOG00000010424	Mola_mola
ENSDCDP00000016744	ENSDCDG00000013712	Denticeps_clupeoides
