ENSPCAP00000006738	ENSPCAG00000007161	Procavia_capensis	ENSPCAT00000007201
ENSETEP00000012730	ENSETEG00000015695	Echinops_telfairi	ENSETET00000015694
ENSDNOP00000024702	ENSDNOG00000046939	Dasypus_novemcinctus	ENSDNOT00000033888
ENSMICP00000022234	ENSMICG00000028565	Microcebus_murinus
ENSPSMP00000023596	ENSPSMG00000016680	Prolemur_simus
ENSPCOP00000016510	ENSPCOG00000020022	Propithecus_coquereli
ENSOGAP00000022249	ENSOGAG00000029695	Otolemur_garnettii
ENSCCAP00000018957	ENSCCAG00000027319	Cebus_capucinus_imitator
ENSSBOP00000028184	ENSSBOG00000030495	Saimiri_boliviensis_boliviensis
ENSCJAP00000024340	ENSCJAG00000032351	Callithrix_jacchus
ENSANAP00000028827	ENSANAG00000032234	Aotus_nancymaae
ENSPTRP00000069703	ENSPTRG00000019756	Pan_troglodytes
ENSPPAP00000041088	ENSPPAG00000043167	Pan_paniscus
ENSP00000339356	ENSG00000188883	Homo_sapiens
ENSPPYP00000020252	ENSPPYG00000018049	Pongo_abelii
ENSNLEP00000017240	ENSNLEG00000014199	Nomascus_leucogenys
ENSRBIP00000033696	ENSRBIG00000040594	Rhinopithecus_bieti
ENSRROP00000000816	ENSRROG00000003075	Rhinopithecus_roxellana
ENSCANP00000007805	ENSCANG00000025679	Colobus_angolensis_palliatus
ENSTGEP00000033308	ENSTGEG00000026606	Theropithecus_gelada
ENSPANP00000006587	ENSPANG00000025362	Papio_anubis
ENSCATP00000005009	ENSCATG00000016932	Cercocebus_atys
ENSMFAP00000045389	ENSMFAG00000000430	Macaca_fascicularis
ENSMMUP00000034706	ENSMMUG00000030100	Macaca_mulatta
ENSMNEP00000015621	ENSMNEG00000031887	Macaca_nemestrina
ENSCSAP00000004651	ENSCSAG00000008399	Chlorocebus_sabaeus
ENSCCNP00000004720	ENSCCNG00000005031	Castor_canadensis
ENSDORP00000011304	ENSDORG00000012027	Dipodomys_ordii
ENSCGRP00001014946	ENSCGRG00001015691	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015036952	ENSCGRG00015027726	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000012817	ENSCGRG00000009330	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000010980	ENSMAUG00000011706	Mesocricetus_auratus
ENSPEMP00000026024	ENSPEMG00000022260	Peromyscus_maniculatus_bairdii
ENSMOCP00000007797	ENSMOCG00000007675	Microtus_ochrogaster
MGP_SPRETEiJ_P0076173	MGP_SPRETEiJ_G0029237	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000004780	ENSMSIG00000004359	Mus_spicilegus
ENSMUSP00000093732	ENSMUSG00000071537	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0073328	MGP_CAROLIEiJ_G0028238	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0049446	MGP_PahariEiJ_G0021995	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000009194	ENSRNOG00000006814	Rattus_norvegicus
ENSMUGP00000015708	ENSMUGG00000013514	Meriones_unguiculatus
ENSNGAP00000015106	ENSNGAG00000016229	Nannospalax_galili
ENSUPAP00010019563	ENSUPAG00010015492	Urocitellus_parryii
ENSMMMP00000013210	ENSMMMG00000011796	Marmota_marmota_marmota
ENSSDAP00000027203	ENSSDAG00000024649	Spermophilus_dauricus
ENSOPRP00000008171	ENSOPRG00000008929	Ochotona_princeps
ENSBIXP00000017768	ENSBIXG00000021708	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005045959	ENSBIXG00005030971	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000023659	ENSBTAG00000017793	Bos_taurus
ENSOARP00000012393	ENSOARG00000011560	Ovis_aries
ENSTTRP00000014366	ENSTTRG00000015153	Tursiops_truncatus
ENSSSCP00000017488	ENSSSCG00000016506	Sus_scrofa_strain_reference
ENSAMEP00000018909	ENSAMEG00000017901	Ailuropoda_melanoleuca
ENSMPUP00000003732	ENSMPUG00000003762	Mustela_putorius_furo
ENSCAFP00020028357	ENSCAFG00020022227	Canis_lupus_dingo
ENSPPRP00000000560	ENSPPRG00000024739	Panthera_pardus
ENSFCAP00000044589	ENSFCAG00000044414	Felis_catus
ENSECAP00000036500	ENSECAG00000031250	Equus_caballus
ENSEASP00005014234	ENSEASG00005009936	Equus_asinus_asinus
ENSMLUP00000013441	ENSMLUG00000014768	Myotis_lucifugus
ENSPCIP00000030980	ENSPCIG00000023028	Phascolarctos_cinereus
ENSVURP00010018593	ENSVURG00010014134	Vombatus_ursinus
ENSMODP00000017172	ENSMODG00000013737	Monodelphis_domestica
ENSMEUP00000008109	ENSMEUG00000008865	Notamacropus_eugenii
