FBpp0312150	FBgn0035444	Drosophila_melanogaster
F11G11.5.1	WBGene00017385	Caenorhabditis_elegans_strain_N2
ENSCSAVP00000003751	ENSCSAVG00000002224	Ciona_savignyi	ENSCSAVT00000003808
ENSCINP00000036586	ENSCING00000022819	Ciona_intestinalis	ENSCINT00000036016
ENSCINP00000000588	ENSCING00000000323	Ciona_intestinalis	ENSCINT00000000588
ENSCINP00000033643	ENSCING00000023262	Ciona_intestinalis	ENSCINT00000035836
ENSCINP00000034973	ENSCING00000019101	Ciona_intestinalis	ENSCINT00000032523
ENSDCDP00000016020	ENSDCDG00000013064	Denticeps_clupeoides
ENSDARP00000108026	ENSDARG00000086332	Danio_rerio
ENSSFOP00015034231	ENSSFOG00015021819	Scleropages_formosus
ENSAMXP00000041548	ENSAMXG00000034036	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005012094	ENSAMXG00005006574	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000011311	ENSPNAG00000016961	Pygocentrus_nattereri
ENSEEEP00000008925	ENSEEEG00000004608	Electrophorus_electricus
ENSIPUP00000004682	ENSIPUG00000003287	Ictalurus_punctatus
ENSMMOP00000009033	ENSMMOG00000006980	Mola_mola
ENSTRUP00000048797	ENSTRUG00000019735	Takifugu_rubripes
ENSCGOP00000022259	ENSCGOG00000010704	Cottoperca_gobio
ENSLCRP00005018023	ENSLCRG00005007407	Larimichthys_crocea
ENSLBEP00000036257	ENSLBEG00000027147	Labrus_bergylta
ENSCSEP00000019447	ENSCSEG00000012438	Cynoglossus_semilaevis
ENSPMGP00000012228	ENSPMGG00000010094	Periophthalmus_magnuspinnatus
ENSMAMP00000035069	ENSMAMG00000023545	Mastacembelus_armatus
ENSMALP00000009340	ENSMALG00000006649	Monopterus_albus
ENSBSLP00000023079	ENSBSLG00000011604	Betta_splendens
ENSACIP00000008806	ENSACIG00000006894	Amphilophus_citrinellus
ENSKMAP00000027606	ENSKMAG00000020477	Kryptolebias_marmoratus
ENSPNYP00000022069	ENSPNYG00000016675	Pundamilia_nyererei
ENSACLP00000041547	ENSACLG00000027966	Astatotilapia_calliptera
ENSMZEP00005017610	ENSMZEG00005013254	Maylandia_zebra
ENSHBUP00000010097	ENSHBUG00000011655	Haplochromis_burtoni
ENSNBRP00000005764	ENSNBRG00000004563	Neolamprologus_brichardi
ENSONIP00000002863	ENSONIG00000002292	Oreochromis_niloticus
ENSAOCP00000015215	ENSAOCG00000019940	Amphiprion_ocellaris
ENSAPEP00000013670	ENSAPEG00000009756	Amphiprion_percula
ENSAPOP00000003953	ENSAPOG00000005497	Acanthochromis_polyacanthus
ENSXCOP00000011531	ENSXCOG00000008707	Xiphophorus_couchianus
ENSXMAP00000029025	ENSXMAG00000023880	Xiphophorus_maculatus
ENSGAFP00000029869	ENSGAFG00000020133	Gambusia_affinis
ENSPMEP00000031712	ENSPMEG00000019012	Poecilia_mexicana
ENSPMEP00000019645	ENSPMEG00000022665	Poecilia_mexicana
ENSPFOP00000011013	ENSPFOG00000011051	Poecilia_formosa
ENSPLAP00000028234	ENSPLAG00000017468	Poecilia_latipinna
ENSPREP00000007666	ENSPREG00000005255	Poecilia_reticulata
ENSFHEP00000022332	ENSFHEG00000002614	Fundulus_heteroclitus
ENSCVAP00000011781	ENSCVAG00000014080	Cyprinodon_variegatus
ENSORLP00015025458	ENSORLG00015006572	Oryzias_latipes_ASM223469v1
ENSORLP00020031911	ENSORLG00020000462	Oryzias_latipes_ASM223471v1
ENSORLP00000011925	ENSORLG00000009510	Oryzias_latipes_ASM223467v1
ENSOMEP00000011785	ENSOMEG00000013099	Oryzias_melastigma
ENSGWIP00000013550	ENSGWIG00000007708	Gouania_willdenowi
ENSLCAP00010029341	ENSLCAG00010013791	Lates_calcarifer
ENSSLDP00000031165	ENSSLDG00000023954	Seriola_lalandi_dorsalis
