ENSXMAP00000006157	ENSXMAG00000006130	Xiphophorus_maculatus
ENSXCOP00000018825	ENSXCOG00000014082	Xiphophorus_couchianus
ENSGAFP00000022608	ENSGAFG00000015271	Gambusia_affinis
ENSPFOP00000017495	ENSPFOG00000017411	Poecilia_formosa
ENSPLAP00000017791	ENSPLAG00000022273	Poecilia_latipinna
ENSPMEP00000030134	ENSPMEG00000016344	Poecilia_mexicana
ENSPREP00000021644	ENSPREG00000014644	Poecilia_reticulata
ENSCVAP00000001889	ENSCVAG00000002935	Cyprinodon_variegatus
ENSFHEP00000022533	ENSFHEG00000002982	Fundulus_heteroclitus
ENSKMAP00000027295	ENSKMAG00000020246	Kryptolebias_marmoratus
ENSMZEP00005000106	ENSMZEG00005000108	Maylandia_zebra
ENSHBUP00000012229	ENSHBUG00000013934	Haplochromis_burtoni
ENSPNYP00000003148	ENSPNYG00000002462	Pundamilia_nyererei
ENSACLP00000005534	ENSACLG00000003729	Astatotilapia_calliptera
ENSONIP00000000717	ENSONIG00000000565	Oreochromis_niloticus
ENSACIP00000017172	ENSACIG00000013350	Amphilophus_citrinellus
ENSGWIP00000013141	ENSGWIG00000007563	Gouania_willdenowi
ENSCSEP00000015590	ENSCSEG00000009925	Cynoglossus_semilaevis
ENSAOCP00000023677	ENSAOCG00000000611	Amphiprion_ocellaris
ENSAPEP00000030401	ENSAPEG00000021608	Amphiprion_percula
ENSAPOP00000003144	ENSAPOG00000004616	Acanthochromis_polyacanthus
ENSSPAP00000004324	ENSSPAG00000003345	Stegastes_partitus
ENSPRNP00000000665	ENSPRNG00000000452	Parambassis_ranga
ENSMAMP00000002380	ENSMAMG00000001661	Mastacembelus_armatus
ENSMALP00000032972	ENSMALG00000022683	Monopterus_albus
ENSATEP00000036619	ENSATEG00000025165	Anabas_testudineus
ENSBSLP00000035082	ENSBSLG00000017141	Betta_splendens
ENSSMAP00000007432	ENSSMAG00000004600	Scophthalmus_maximus
ENSLCAP00010037975	ENSLCAG00010017782	Lates_calcarifer
ENSSLDP00000009551	ENSSLDG00000007579	Seriola_lalandi_dorsalis
ENSSDUP00000029641	ENSSDUG00000021370	Seriola_dumerili
ENSCGOP00000049040	ENSCGOG00000021871	Cottoperca_gobio
ENSGACP00000005584	ENSGACG00000004239	Gasterosteus_aculeatus
ENSLBEP00000034026	ENSLBEG00000025624	Labrus_bergylta
ENSTRUP00000049986	ENSTRUG00000004801	Takifugu_rubripes
ENSTNIP00000008665	ENSTNIG00000005931	Tetraodon_nigroviridis
ENSMMOP00000017747	ENSMMOG00000013471	Mola_mola
ENSLCRP00005016198	ENSLCRG00005006772	Larimichthys_crocea
ENSOMEP00000026307	ENSOMEG00000008055	Oryzias_melastigma
ENSHCOP00000010069	ENSHCOG00000012632	Hippocampus_comes
ENSPMGP00000009717	ENSPMGG00000008047	Periophthalmus_magnuspinnatus
ENSGMOP00000005941	ENSGMOG00000005597	Gadus_morhua
ENSSFOP00015006569	ENSSFOG00015004316	Scleropages_formosus
ENSPKIP00000041017	ENSPKIG00000017745	Paramormyrops_kingsleyae
ENSCHAP00000031632	ENSCHAG00000015109	Clupea_harengus
ENSDCDP00000046148	ENSDCDG00000028963	Denticeps_clupeoides
ENSAMXP00000049714	ENSAMXG00000034375	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005016757	ENSAMXG00005008736	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000022875	ENSPNAG00000000184	Pygocentrus_nattereri
ENSIPUP00000020969	ENSIPUG00000014224	Ictalurus_punctatus
ENSEEEP00000004464	ENSEEEG00000002324	Electrophorus_electricus
ENSDARP00000127954	ENSDARG00000007494	Danio_rerio
ENSHHUP00000035238	ENSHHUG00000022170	Hucho_hucho
ENSHHUP00000004481	ENSHHUG00000002800	Hucho_hucho
ENSELUP00000039353	ENSELUG00000019486	Esox_lucius
ENSLOCP00000007812	ENSLOCG00000006466	Lepisosteus_oculatus
ENSGAGP00000026431	ENSGAGG00000019257	Gopherus_agassizii
ENSCMIP00000044981	ENSCMIG00000018557	Callorhinchus_milii
