ENSMLUP00000014653	ENSMLUG00000016088	Myotis_lucifugus
ENSCSEP00000017827	ENSCSEG00000011441	Cynoglossus_semilaevis
ENSSPAP00000010361	ENSSPAG00000007888	Stegastes_partitus
ENSORLP00020014744	ENSORLG00020015756	Oryzias_latipes_ASM223471v1
ENSIPUP00000029583	ENSIPUG00000020001	Ictalurus_punctatus
ENSMMMP00000016566	ENSMMMG00000014738	Marmota_marmota_marmota
ENSMEUP00000009385	ENSMEUG00000010301	Notamacropus_eugenii
ENSHHUP00000087159	ENSHHUG00000050416	Hucho_hucho
ENSTNIP00000016940	ENSTNIG00000013935	Tetraodon_nigroviridis
ENSDARP00000098310	ENSDARG00000076773	Danio_rerio
ENSNMEP00000019779	ENSNMEG00000017015	Numida_meleagris
ENSLACP00000016057	ENSLACG00000014141	Latimeria_chalumnae
ENSAMXP00005041578	ENSAMXG00005019463	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000001801	ENSPNAG00000008371	Pygocentrus_nattereri
ENSJHYP00000001745	ENSJHYG00000001522	Junco_hyemalis
ENSHHUP00000054909	ENSHHUG00000032909	Hucho_hucho
ENSELUP00000028224	ENSELUG00000004704	Esox_lucius
ENSPPAP00000007413	ENSPPAG00000026667	Pan_paniscus
ENSPTIP00000021966	ENSPTIG00000018937	Panthera_tigris_altaica
ENSSMAP00000029947	ENSSMAG00000018367	Scophthalmus_maximus
ENSMAMP00000021994	ENSMAMG00000014791	Mastacembelus_armatus
ENSIPUP00000035637	ENSIPUG00000023880	Ictalurus_punctatus
ENSAPOP00000003787	ENSAPOG00000005325	Acanthochromis_polyacanthus
ENSGWIP00000007228	ENSGWIG00000004221	Gouania_willdenowi
ENSCATP00000010048	ENSCATG00000029315	Cercocebus_atys
ENSAPLP00000027260	ENSAPLG00000029420	Anas_platyrhynchos_platyrhynchos
ENSOCUP00000021348	ENSOCUG00000025190	Oryctolagus_cuniculus
ENSPRNP00000004911	ENSPRNG00000002785	Parambassis_ranga
ENSCGRP00001009896	ENSCGRG00001011907	Cricetulus_griseus_CHOK1GS_HDv1
MGP_SPRETEiJ_P0043437	MGP_SPRETEiJ_G0021633	Mus_spretus_strain_SPRET/EiJ
ENSRBIP00000000243	ENSRBIG00000001268	Rhinopithecus_bieti
ENSNSUP00000026695	ENSNSUG00000019154	Notechis_scutatus
ENSCPBP00000002612	ENSCPBG00000002101	Chrysemys_picta_bellii
ENSACLP00000006601	ENSACLG00000004446	Astatotilapia_calliptera
ENSCCEP00000016185	ENSCCEG00000015179	Cyanistes_caeruleus
ENSPPYP00000015103	ENSPPYG00000013505	Pongo_abelii
ENSAMXP00000030403	ENSAMXG00000032041	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSLCAP00010058437	ENSLCAG00010027254	Lates_calcarifer
ENSEEEP00000041082	ENSEEEG00000019447	Electrophorus_electricus
MGP_CAROLIEiJ_P0041559	MGP_CAROLIEiJ_G0020734	Mus_caroli_strain_CAROLI_EIJ
MGP_CAROLIEiJ_P0041558	MGP_CAROLIEiJ_G0020733	Mus_caroli_strain_CAROLI_EIJ
ENSLCRP00005034781	ENSLCRG00005013630	Larimichthys_crocea
ENSAPEP00000000492	ENSAPEG00000000383	Amphiprion_percula
ENSDNVP00000009791	ENSDNVG00000006917	Dromaius_novaehollandiae
ENSGAFP00000031640	ENSGAFG00000021312	Gambusia_affinis
ENSJJAP00000002816	ENSJJAG00000005130	Jaculus_jaculus
ENSBMUP00000035649	ENSBMUG00000026482	Bos_mutus
ENSSMRP00000006101	ENSSMRG00000004920	Salvator_merianae
ENSPKIP00000026559	ENSPKIG00000008994	Paramormyrops_kingsleyae
ENSDORP00000019018	ENSDORG00000008401	Dipodomys_ordii
ENSUPAP00010025318	ENSUPAG00010020027	Urocitellus_parryii
ENSHHUP00000039417	ENSHHUG00000024495	Hucho_hucho
ENSPKIP00000029794	ENSPKIG00000010904	Paramormyrops_kingsleyae
ENSPVIP00000034549	ENSPVIG00000025221	Pogona_vitticeps
ENSAMXP00005047788	ENSAMXG00005021900	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSOANP00000006337	ENSOANG00000004004	Ornithorhynchus_anatinus
