ENSBIXP00005025946	ENSBIXG00005028363	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000031871	ENSBIXG00000014317	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000016994	ENSBTAG00000012790	Bos_taurus
ENSCHIP00000007495	ENSCHIG00000010983	Capra_hircus
ENSOARP00000013193	ENSOARG00000012315	Ovis_aries
ENSTTRP00000000134	ENSTTRG00000000143	Tursiops_truncatus
ENSVPAP00000009639	ENSVPAG00000010360	Vicugna_pacos
ENSSSCP00000037571	ENSSSCG00000031152	Sus_scrofa_strain_reference
ENSECAP00000010061	ENSECAG00000012308	Equus_caballus
ENSEASP00005006400	ENSEASG00005004731	Equus_asinus_asinus
ENSMLUP00000009405	ENSMLUG00000010334	Myotis_lucifugus
ENSUMAP00000008052	ENSUMAG00000006170	Ursus_maritimus	ENSUMAT00000009634
ENSUAMP00000019612	ENSUAMG00000015521	Ursus_americanus	ENSUAMT00000021934
ENSAMEP00000013999	ENSAMEG00000013300	Ailuropoda_melanoleuca	ENSAMET00000014581
ENSCAFP00000036705	ENSCAFG00000030019	Canis_lupus_familiaris
ENSCAFP00020026232	ENSCAFG00020020601	Canis_lupus_dingo
ENSCAFP00000061336	ENSCAFG00000043755	Canis_lupus_familiaris
ENSCAFP00020028745	ENSCAFG00020022518	Canis_lupus_dingo
ENSVVUP00000028795	ENSVVUG00000021053	Vulpes_vulpes
ENSPTIP00000008339	ENSPTIG00000009729	Panthera_tigris_altaica
ENSPPRP00000004554	ENSPPRG00000000609	Panthera_pardus
ENSPCOP00000013435	ENSPCOG00000018332	Propithecus_coquereli
ENSANAP00000011400	ENSANAG00000023652	Aotus_nancymaae
ENSHGLP00100027920	ENSHGLG00100021105	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000027925	ENSHGLG00000020025	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00000028139	ENSHGLG00000020314	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100026770	ENSHGLG00100019726	Heterocephalus_glaber_HetGla_1.0
ENSCGRP00001000553	ENSCGRG00001000453	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000000101	ENSCGRG00000000119	Cricetulus_griseus_CriGri_1.0
ENSJJAP00000009356	ENSJJAG00000013253	Jaculus_jaculus
ENSETEP00000002118	ENSETEG00000002603	Echinops_telfairi
ENSXETP00000014300	ENSXETG00000000711	Xenopus_tropicalis
ENSLACP00000020770	ENSLACG00000018247	Latimeria_chalumnae
ENSAMXP00000047338	ENSAMXG00000034513	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005027661	ENSAMXG00005013854	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000031773	ENSPNAG00000019320	Pygocentrus_nattereri
ENSEEEP00000025219	ENSEEEG00000012234	Electrophorus_electricus
ENSIPUP00000008043	ENSIPUG00000005532	Ictalurus_punctatus
ENSDARP00000019097	ENSDARG00000014963	Danio_rerio
ENSCHAP00000014820	ENSCHAG00000007987	Clupea_harengus
ENSDCDP00000004564	ENSDCDG00000002317	Denticeps_clupeoides
ENSHHUP00000026516	ENSHHUG00000016794	Hucho_hucho
ENSHHUP00000044478	ENSHHUG00000027222	Hucho_hucho
ENSELUP00000022768	ENSELUG00000021682	Esox_lucius
ENSCGOP00000036961	ENSCGOG00000017059	Cottoperca_gobio
ENSLCRP00005024001	ENSLCRG00005009624	Larimichthys_crocea
ENSAPEP00000029601	ENSAPEG00000021047	Amphiprion_percula
ENSAOCP00000012150	ENSAOCG00000001148	Amphiprion_ocellaris
ENSAPOP00000027730	ENSAPOG00000012488	Acanthochromis_polyacanthus
ENSSPAP00000013907	ENSSPAG00000010501	Stegastes_partitus
ENSORLP00020020698	ENSORLG00020021687	Oryzias_latipes_ASM223471v1
