ENSACAP00000016541	ENSACAG00000016818	Anolis_carolinensis	ENSACAT00000016867
ENSHGLP00000016724	ENSHGLG00000011968	Heterocephalus_glaber_HetGla_female_1.0
ENSPNAP00000003977	ENSPNAG00000010417	Pygocentrus_nattereri
ENSPRNP00000012687	ENSPRNG00000007015	Parambassis_ranga
ENSFHEP00000029071	ENSFHEG00000013580	Fundulus_heteroclitus
ENSZALP00000003840	ENSZALG00000003724	Zonotrichia_albicollis
ENSPPRP00000028384	ENSPPRG00000020652	Panthera_pardus
ENSETEP00000014968	ENSETEG00000018413	Echinops_telfairi
ENSAPOP00000018976	ENSAPOG00000022326	Acanthochromis_polyacanthus
ENSGGOP00000012684	ENSGGOG00000013001	Gorilla_gorilla
ENSCCEP00000010316	ENSCCEG00000010299	Cyanistes_caeruleus
ENSLBEP00000037205	ENSLBEG00000027773	Labrus_bergylta
ENSTRUP00000036352	ENSTRUG00000014218	Takifugu_rubripes
ENSECAP00000019321	ENSECAG00000021688	Equus_caballus
ENSELUP00000041785	ENSELUG00000022767	Esox_lucius
ENSAOWP00000016475	ENSAOWG00000011215	Apteryx_owenii
ENSHCOP00000022563	ENSHCOG00000010366	Hippocampus_comes
ENSSBOP00000000146	ENSSBOG00000000400	Saimiri_boliviensis_boliviensis
ENSCABP00000025430	ENSCABG00000018707	Chelonoidis_abingdonii
ENSOANP00000024450	ENSOANG00000015521	Ornithorhynchus_anatinus
ENSCPRP00005004603	ENSCPRG00005003345	Crocodylus_porosus
ENSDORP00000002324	ENSDORG00000002475	Dipodomys_ordii
ENSPTIP00000015136	ENSPTIG00000014299	Panthera_tigris_altaica
ENSVPAP00000006591	ENSVPAG00000007084	Vicugna_pacos
ENSCPBP00000000496	ENSCPBG00000000449	Chrysemys_picta_bellii
ENSMAMP00000017297	ENSMAMG00000011676	Mastacembelus_armatus
ENSPTEP00000034326	ENSPTEG00000032592	Piliocolobus_tephrosceles
ENSSMAP00000004646	ENSSMAG00000002881	Scophthalmus_maximus
ENSSMRP00000007074	ENSSMRG00000005715	Salvator_merianae	ENSSMRT00000008285
ENSMSIP00000026845	ENSMSIG00000022572	Mus_spicilegus
ENSMUGP00000030413	ENSMUGG00000025250	Meriones_unguiculatus
ENSTGUP00000012417	ENSTGUG00000012048	Taeniopygia_guttata
ENSMAUP00000002439	ENSMAUG00000001969	Mesocricetus_auratus
ENSCPUP00000019016	ENSCPUG00000013100	Calidris_pugnax	ENSCPUT00000022584
ENSEASP00005026165	ENSEASG00005017828	Equus_asinus_asinus
ENSJJAP00000001234	ENSJJAG00000001167	Jaculus_jaculus
ENSRBIP00000005408	ENSRBIG00000023818	Rhinopithecus_bieti
ENSPNYP00000013216	ENSPNYG00000010007	Pundamilia_nyererei
ENSFDAP00000007252	ENSFDAG00000006460	Fukomys_damarensis
ENSRROP00000000981	ENSRROG00000003342	Rhinopithecus_roxellana
ENSNGAP00000004411	ENSNGAG00000005781	Nannospalax_galili
ENSAMXP00005003518	ENSAMXG00005002199	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSNLEP00000004907	ENSNLEG00000004000	Nomascus_leucogenys
ENSBSLP00000048493	ENSBSLG00000023080	Betta_splendens
ENSCCNP00000014411	ENSCCNG00000014898	Castor_canadensis
ENSCJPP00005025212	ENSCJPG00005019814	Coturnix_japonica
ENSHGLP00100013291	ENSHGLG00100009843	Heterocephalus_glaber_HetGla_1.0
ENSCVAP00000015488	ENSCVAG00000018290	Cyprinodon_variegatus
ENSSARP00000004841	ENSSARG00000005337	Sorex_araneus
ENSAPEP00000016326	ENSAPEG00000011660	Amphiprion_percula
ENSCATP00000043078	ENSCATG00000044102	Cercocebus_atys
ENSNSUP00000001119	ENSNSUG00000001016	Notechis_scutatus
ENSECRP00000009016	ENSECRG00000006051	Erpetoichthys_calabaricus
ENSMNEP00000000273	ENSMNEG00000000828	Macaca_nemestrina
ENSCPOP00000004519	ENSCPOG00000005021	Cavia_porcellus
ENSOARP00000009901	ENSOARG00000009224	Ovis_aries
ENSGWIP00000017333	ENSGWIG00000009633	Gouania_willdenowi
ENSPSMP00000012458	ENSPSMG00000008976	Prolemur_simus
ENSCSAP00000013698	ENSCSAG00000017674	Chlorocebus_sabaeus
ENSLCOP00000010147	ENSLCOG00000007384	Lepidothrix_coronata
ENSCANP00000021203	ENSCANG00000034012	Colobus_angolensis_palliatus
ENSRNOP00000061987	ENSRNOG00000012757	Rattus_norvegicus
ENSCPGP00000027306	ENSCPGG00000018802	Calidris_pygmaea	ENSCPGT00000029804
ENSPVIP00000002273	ENSPVIG00000001962	Pogona_vitticeps	ENSPVIT00000002946
ENSHBUP00000000481	ENSHBUG00000001640	Haplochromis_burtoni
MGP_CAROLIEiJ_P0083938	MGP_CAROLIEiJ_G0030893	Mus_caroli_strain_CAROLI_EIJ
ENSOPRP00000012316	ENSOPRG00000013489	Ochotona_princeps
ENSAPLP00000005340	ENSAPLG00000005738	Anas_platyrhynchos_platyrhynchos
ENSP00000484443	ENSG00000136098	Homo_sapiens
ENSSLDP00000028806	ENSSLDG00000022263	Seriola_lalandi_dorsalis
ENSORLP00020030487	ENSORLG00020014904	Oryzias_latipes_ASM223471v1
ENSACIP00000030861	ENSACIG00000023857	Amphilophus_citrinellus
ENSMLEP00000038436	ENSMLEG00000043270	Mandrillus_leucophaeus
ENSPPYP00000006138	ENSPPYG00000005388	Pongo_abelii
ENSTBEP00000005880	ENSTBEG00000006797	Tupaia_belangeri
ENSSFOP00015036877	ENSSFOG00015023456	Scleropages_formosus
ENSEEEP00000041558	ENSEEEG00000019656	Electrophorus_electricus
ENSUMAP00000026637	ENSUMAG00000019391	Ursus_maritimus
ENSMALP00000015347	ENSMALG00000010782	Monopterus_albus
ENSPEMP00000017308	ENSPEMG00000016252	Peromyscus_maniculatus_bairdii
ENSMMUP00000070380	ENSMMUG00000016530	Macaca_mulatta
ENSUPAP00010001470	ENSUPAG00010001209	Urocitellus_parryii
ENSLAFP00000000020	ENSLAFG00000000026	Loxodonta_africana
ENSCHAP00000053132	ENSCHAG00000024196	Clupea_harengus
MGP_SPRETEiJ_P0087389	MGP_SPRETEiJ_G0032006	Mus_spretus_strain_SPRET/EiJ
ENSPANP00000010722	ENSPANG00000007571	Papio_anubis
ENSMFAP00000022071	ENSMFAG00000035919	Macaca_fascicularis
ENSMEUP00000014315	ENSMEUG00000015675	Notamacropus_eugenii
ENSCGOP00000049427	ENSCGOG00000022008	Cottoperca_gobio
